AsAt,Occupation,Score,n,maxsub
07/2026,234513 Biochemist,95,3,46175.91525061343
07/2026,234513 Biochemist,90,3,46224.562332291665
07/2026,234513 Biochemist,85,3,46065.68807769676
07/2026,234513 Biochemist,55,1,45589.17766342593
07/2026,234513 Biochemist,60,1,45787.73199695602
07/2026,234513 Biochemist,50,1,45786.661457442126
07/2026,234611 Medical Laboratory Scientist,65,50,46230.49323896991
07/2026,234611 Medical Laboratory Scientist,75,91,46223.867836226855
07/2026,234611 Medical Laboratory Scientist,70,64,46230.73682283565
07/2026,234611 Medical Laboratory Scientist,80,15,46189.50745767361
07/2026,234611 Medical Laboratory Scientist,85,5,46189.52015914352
07/2026,234611 Medical Laboratory Scientist,55,4,45817.95497824074
07/2026,234611 Medical Laboratory Scientist,60,10,46176.832727430556
07/2026,234611 Medical Laboratory Scientist,50,1,45967.83668217593
07/2026,241511 Special Needs Teacher,65,4,46203.38027369213
07/2026,241511 Special Needs Teacher,75,3,46133.39482862269
07/2026,241511 Special Needs Teacher,70,6,46186.127267511576
07/2026,254425 Registered Nurse (Paediatrics),65,29,46226.8733747338
07/2026,254425 Registered Nurse (Paediatrics),75,16,46223.83096049768
07/2026,254425 Registered Nurse (Paediatrics),70,26,46225.410537233794
07/2026,254425 Registered Nurse (Paediatrics),85,4,46213.97230821759
07/2026,254425 Registered Nurse (Paediatrics),55,3,45977.13187427083
07/2026,254425 Registered Nurse (Paediatrics),60,5,45891.64862511574
07/2026,234399 Environmental Scientists nec,65,2,46161.495437997684
07/2026,234399 Environmental Scientists nec,75,1,46046.165510879626
07/2026,234399 Environmental Scientists nec,70,1,46105.53803449074
07/2026,234399 Environmental Scientists nec,80,3,46146.64582716435
07/2026,272399 Psychologists nec,65,15,46230.92359560185
07/2026,272399 Psychologists nec,75,17,46216.72879976852
07/2026,272399 Psychologists nec,70,17,46226.71982569445
07/2026,272399 Psychologists nec,80,6,46223.43175659722
07/2026,272399 Psychologists nec,85,2,46226.73466130787
07/2026,272399 Psychologists nec,55,1,45977.192993055556
07/2026,272399 Psychologists nec,60,2,45779.00876516204
07/2026,323214 Metal Machinist (First Class),65,9,46210.75585104167
07/2026,323214 Metal Machinist (First Class),75,7,46159.82995428241
07/2026,323214 Metal Machinist (First Class),70,2,46009.85377688657
07/2026,323214 Metal Machinist (First Class),55,4,46216.88405775463
07/2026,323214 Metal Machinist (First Class),60,2,46176.810528738424
07/2026,323214 Metal Machinist (First Class),50,1,45548.9662494213
07/2026,323214 Metal Machinist (First Class),40,1,45873.66949212963
07/2026,323214 Metal Machinist (First Class),45,1,45645.13128263889
07/2026,251912 Orthotist or Prosthetist,65,2,46087.75208792824
07/2026,251912 Orthotist or Prosthetist,75,3,46212.78802299769
07/2026,251912 Orthotist or Prosthetist,70,1,45981.82430674769
07/2026,331211 Carpenter and Joiner,65,11,46229.97365810185
07/2026,331211 Carpenter and Joiner,75,2,46199.70792931713
07/2026,331211 Carpenter and Joiner,70,7,46224.5669721875
07/2026,331211 Carpenter and Joiner,55,2,46198.49689228009
07/2026,331211 Carpenter and Joiner,60,3,46227.43792994213
07/2026,331211 Carpenter and Joiner,50,2,46126.62913908565
07/2026,254111 Midwife,65,7,46045.427852546294
07/2026,254111 Midwife,75,11,46030.340897372684
07/2026,254111 Midwife,70,10,46210.95041107639
07/2026,254111 Midwife,80,3,46218.73093371528
07/2026,254111 Midwife,60,2,46207.74375396991
07/2026,254111 Midwife,45,1,45671.925403472225
07/2026,233916 Naval Architect,65,7,46084.688886689815
07/2026,233916 Naval Architect,75,3,46114.295730011574
07/2026,233916 Naval Architect,70,5,46127.57685748843
07/2026,233916 Naval Architect,90,2,46185.96691565972
07/2026,233916 Naval Architect,85,1,46012.82882056713
07/2026,233916 Naval Architect,60,1,46042.513168171296
07/2026,252112 Osteopath,65,1,45766.895463113426
07/2026,252112 Osteopath,70,1,45695.69878012731
07/2026,252112 Osteopath,55,1,45797.66140138889
07/2026,234911 Conservator,75,1,45753.782192743056
07/2026,342314 Electronic Instrument Trades Worker (General),65,7,46182.803028159724
07/2026,342314 Electronic Instrument Trades Worker (General),75,4,45978.94903869213
07/2026,342314 Electronic Instrument Trades Worker (General),70,13,46224.89879803241
07/2026,342314 Electronic Instrument Trades Worker (General),80,1,46154.902519675925
07/2026,342314 Electronic Instrument Trades Worker (General),55,3,45825.75625983796
07/2026,342314 Electronic Instrument Trades Worker (General),60,3,46155.43514421296
07/2026,342314 Electronic Instrument Trades Worker (General),45,1,45681.36810972222
07/2026,334111 Plumber (General),65,5,46231.84705497685
07/2026,334111 Plumber (General),75,1,46231.86553487268
07/2026,334111 Plumber (General),70,1,46226.86871767361
07/2026,334111 Plumber (General),55,1,45943.52710165509
07/2026,334111 Plumber (General),60,1,45978.53015486111
07/2026,334111 Plumber (General),40,1,46097.569555208334
07/2026,234413 Hydrogeologist,65,4,45924.794443900464
07/2026,234413 Hydrogeologist,75,3,46114.91461273148
07/2026,234413 Hydrogeologist,70,3,46217.70269814815
07/2026,234413 Hydrogeologist,60,3,46066.68936099537
07/2026,254421 Registered Nurse (Medical Practice),65,14,46212.759433136576
07/2026,254421 Registered Nurse (Medical Practice),75,9,46231.895715046296
07/2026,254421 Registered Nurse (Medical Practice),70,15,46177.20673167824
07/2026,254421 Registered Nurse (Medical Practice),80,5,46217.9395321412
07/2026,254421 Registered Nurse (Medical Practice),85,1,46204.824036377315
07/2026,254421 Registered Nurse (Medical Practice),50,1,46129.64985258102
07/2026,254424 Registered Nurse (Surgical),65,92,46234.452342557866
07/2026,254424 Registered Nurse (Surgical),75,64,46213.95948005787
07/2026,254424 Registered Nurse (Surgical),70,70,46234.658469409726
07/2026,254424 Registered Nurse (Surgical),80,8,46231.79423680555
07/2026,254424 Registered Nurse (Surgical),90,1,46218.66371527778
07/2026,254424 Registered Nurse (Surgical),85,3,46228.14263248842
07/2026,254424 Registered Nurse (Surgical),55,19,46078.69015578704
07/2026,254424 Registered Nurse (Surgical),60,17,46072.62443556713
07/2026,254424 Registered Nurse (Surgical),50,2,45975.792439386576
07/2026,254424 Registered Nurse (Surgical),45,1,45591.50560065972
07/2026,324111 Panelbeater,65,6,46167.794156400465
07/2026,324111 Panelbeater,70,1,46114.7672190625
07/2026,224511 Land Economist,65,3,46197.492678587965
07/2026,224511 Land Economist,75,3,46097.43576797454
07/2026,224511 Land Economist,70,3,46197.936720949074
07/2026,224511 Land Economist,80,2,46211.49353017361
07/2026,224511 Land Economist,60,1,45807.99723533565
07/2026,452316 Tennis Coach,65,2,45992.9549903125
07/2026,452316 Tennis Coach,75,4,46134.57674621528
07/2026,452316 Tennis Coach,60,1,45565.733283761576
07/2026,399111 Boat Builder and Repairer,65,1,46182.71521689815
07/2026,399111 Boat Builder and Repairer,75,2,46099.50280798611
07/2026,399111 Boat Builder and Repairer,70,1,45577.477774652776
07/2026,253312 Cardiologist,70,1,45914.859558020835
07/2026,253312 Cardiologist,85,1,46191.8282096875
07/2026,253312 Cardiologist,60,1,45899.729234756946
07/2026,333212 Solid Plasterer,65,4,46217.895980057874
07/2026,333212 Solid Plasterer,75,2,46191.57352017361
07/2026,333212 Solid Plasterer,70,4,46223.81508637732
07/2026,333212 Solid Plasterer,60,2,45643.97768429398
07/2026,333411 Wall and Floor Tiler,65,16,46230.71430150463
07/2026,333411 Wall and Floor Tiler,75,4,46223.671223460646
07/2026,333411 Wall and Floor Tiler,70,8,46221.87359780093
07/2026,333411 Wall and Floor Tiler,80,1,46211.588863310186
07/2026,333411 Wall and Floor Tiler,55,4,46196.776544988425
07/2026,333411 Wall and Floor Tiler,60,6,46229.9334971412
07/2026,313211 Radiocommunications Technician,80,1,45885.593154710645
07/2026,254414 Registered Nurse (Community Health),65,8,46200.52959193287
07/2026,254414 Registered Nurse (Community Health),75,9,46226.43461304398
07/2026,254414 Registered Nurse (Community Health),70,12,46219.343027118055
07/2026,254414 Registered Nurse (Community Health),80,2,46060.61017716435
07/2026,254414 Registered Nurse (Community Health),85,1,45803.774679131944
07/2026,254414 Registered Nurse (Community Health),55,3,45812.86817361111
07/2026,254414 Registered Nurse (Community Health),60,2,46202.89221751157
07/2026,254414 Registered Nurse (Community Health),50,2,45974.577730289355
07/2026,254414 Registered Nurse (Community Health),45,1,46151.98056157408
07/2026,254413 Registered Nurse (Child and Family Health),65,2,45992.71107928241
07/2026,254413 Registered Nurse (Child and Family Health),70,1,45749.003741863424
07/2026,252711 Audiologist,65,24,46226.89042974537
07/2026,252711 Audiologist,75,10,46231.906800543984
07/2026,252711 Audiologist,70,19,46139.50662048611
07/2026,252711 Audiologist,55,5,46031.691437002315
07/2026,252711 Audiologist,60,3,45894.980907060184
07/2026,313214 Telecommunications Technical Officer or Technologist,65,20,46188.50267630787
07/2026,313214 Telecommunications Technical Officer or Technologist,75,31,46174.98049123843
07/2026,313214 Telecommunications Technical Officer or Technologist,70,11,46055.73582045139
07/2026,313214 Telecommunications Technical Officer or Technologist,80,11,46171.92970729167
07/2026,313214 Telecommunications Technical Officer or Technologist,90,7,46160.07611987268
07/2026,313214 Telecommunications Technical Officer or Technologist,85,7,46209.01481782408
07/2026,313214 Telecommunications Technical Officer or Technologist,55,2,45904.68646550926
07/2026,313214 Telecommunications Technical Officer or Technologist,60,7,46061.848972534724
07/2026,313214 Telecommunications Technical Officer or Technologist,50,1,46172.82042534722
07/2026,134213 Primary Health Organisation Manager,65,13,46189.88450671296
07/2026,134213 Primary Health Organisation Manager,75,6,46227.6452446412
07/2026,134213 Primary Health Organisation Manager,70,8,46230.769042789354
07/2026,134213 Primary Health Organisation Manager,80,1,46155.94699991898
07/2026,134213 Primary Health Organisation Manager,55,2,45971.76044733796
07/2026,134213 Primary Health Organisation Manager,60,6,45929.78453379629
07/2026,134213 Primary Health Organisation Manager,50,1,45969.15843283565
07/2026,253321 Paediatrician,65,3,46185.640392905094
07/2026,253321 Paediatrician,75,1,46222.62917878472
07/2026,253321 Paediatrician,70,1,45831.57684097222
07/2026,253321 Paediatrician,55,1,45989.802365625
07/2026,253321 Paediatrician,60,1,45994.70945945602
07/2026,253317 Intensive Care Specialist,65,1,45606.65368055555
07/2026,253317 Intensive Care Specialist,75,1,46014.9265255787
07/2026,253917 Diagnostic and Interventional Radiologist,65,2,46008.99924359954
07/2026,253917 Diagnostic and Interventional Radiologist,85,1,45983.80718498843
07/2026,253917 Diagnostic and Interventional Radiologist,60,1,46200.438814583336
07/2026,253917 Diagnostic and Interventional Radiologist,50,1,45948.57152928241
07/2026,234913 Meteorologist,65,2,45884.567569872685
07/2026,341112 Electrician (Special Class),60,1,45727.66899355324
07/2026,272313 Organisational Psychologist,65,1,45754.693447337966
07/2026,211213 Musician (Instrumental),65,1,46139.73327399306
07/2026,211213 Musician (Instrumental),70,1,45749.92567650463
07/2026,211213 Musician (Instrumental),85,1,46197.537683333336
07/2026,234518 Zoologist,80,2,45645.182060300926
07/2026,234518 Zoologist,95,3,46226.222508136576
07/2026,234518 Zoologist,90,2,46139.727301273146
07/2026,234518 Zoologist,85,5,46206.81858425926
07/2026,321111 Automotive Electrician,65,10,46174.60164603009
07/2026,321111 Automotive Electrician,75,4,46171.53639841435
07/2026,321111 Automotive Electrician,70,9,46174.92337311343
07/2026,321111 Automotive Electrician,80,1,45595.988608831016
07/2026,321111 Automotive Electrician,95,1,46220.86064753472
07/2026,321111 Automotive Electrician,60,1,45756.833266863425
07/2026,253411 Psychiatrist,75,1,45772.345140081015
07/2026,253411 Psychiatrist,55,1,45703.4713096875
07/2026,253411 Psychiatrist,60,1,45888.88405127315
07/2026,323213 Fitter-Welder,65,1,45619.30698587963
07/2026,323213 Fitter-Welder,60,1,46034.48684961806
07/2026,253918 Radiation Oncologist,70,1,45910.68308630787
07/2026,251411 Optometrist,65,2,46178.59812137732
07/2026,251411 Optometrist,75,9,46210.60311496528
07/2026,251411 Optometrist,70,2,46089.68811408565
07/2026,251411 Optometrist,80,2,46191.90710077546
07/2026,251411 Optometrist,85,1,46080.54922565972
07/2026,253399 Specialist Physicians nec,65,2,46066.50900659722
07/2026,251214 Sonographer,65,2,45811.900880243054
07/2026,251214 Sonographer,75,2,46066.66557329861
07/2026,251214 Sonographer,70,2,46026.603152048614
07/2026,251214 Sonographer,80,1,46231.649804976856
07/2026,334112 Airconditioning and Mechanical Services Plumber,65,4,46218.91738831018
07/2026,334112 Airconditioning and Mechanical Services Plumber,75,1,46226.97670204861
07/2026,334112 Airconditioning and Mechanical Services Plumber,55,2,46148.758778090276
07/2026,334112 Airconditioning and Mechanical Services Plumber,60,2,45872.70163865741
07/2026,253511 Surgeon (General),50,1,45907.03835821759
07/2026,253318 Neurologist,75,1,45725.44866886574
07/2026,272311 Clinical Psychologist,70,4,46072.42633278935
07/2026,254411 Nurse Practitioner,65,1,45590.24858672454
07/2026,254411 Nurse Practitioner,75,1,46030.36786265046
07/2026,254411 Nurse Practitioner,70,2,45699.94030188657
07/2026,342212 Technical Cable Jointer,65,1,45849.127949340276
07/2026,342212 Technical Cable Jointer,60,1,45770.21209722222
07/2026,251212 Medical Radiation Therapist,65,2,46118.21085859954
07/2026,251212 Medical Radiation Therapist,75,7,46096.813813622684
07/2026,251212 Medical Radiation Therapist,80,1,45796.48673579861
07/2026,251212 Medical Radiation Therapist,55,1,46038.98151450232
07/2026,341113 Lift Mechanic,65,4,46178.78684054398
07/2026,341113 Lift Mechanic,75,1,45973.90397804398
07/2026,341113 Lift Mechanic,70,1,45642.97364575231
07/2026,341113 Lift Mechanic,55,1,45833.58365289352
07/2026,252611 Podiatrist,65,2,46022.867708101854
07/2026,252611 Podiatrist,75,6,46203.957287881945
07/2026,252611 Podiatrist,70,3,46080.949699386576
07/2026,252611 Podiatrist,80,1,46179.75942905093
07/2026,241599 Special Education Teachers nec,65,1,45783.431232256946
07/2026,241599 Special Education Teachers nec,75,2,46065.86395917824
07/2026,241599 Special Education Teachers nec,70,1,45982.02508341435
07/2026,241599 Special Education Teachers nec,80,1,45931.574728356485
07/2026,241599 Special Education Teachers nec,55,1,45719.916216550926
07/2026,253311 Specialist Physician (General Medicine),65,4,46096.20611932871
07/2026,253311 Specialist Physician (General Medicine),75,2,45974.01642758102
07/2026,253311 Specialist Physician (General Medicine),80,1,45818.92538584491
07/2026,253311 Specialist Physician (General Medicine),95,1,46221.31880292824
07/2026,253311 Specialist Physician (General Medicine),85,1,46206.701241400464
07/2026,253311 Specialist Physician (General Medicine),60,1,46135.63031890046
07/2026,211112 Dancer or Choreographer,65,2,46210.89790393518
07/2026,211112 Dancer or Choreographer,75,2,46065.739467164356
07/2026,134214 Welfare Centre Manager,65,1,45971.18416053241
07/2026,134214 Welfare Centre Manager,70,1,45933.433421875
07/2026,361112 Horse Trainer,65,2,45740.54827453704
07/2026,361112 Horse Trainer,80,1,46058.477308333335
07/2026,272312 Educational Psychologist,75,1,45623.728942511574
07/2026,253913 Obstetrician and Gynaecologist,65,1,46028.59176299768
07/2026,253913 Obstetrician and Gynaecologist,75,2,45946.74975725694
07/2026,253913 Obstetrician and Gynaecologist,70,4,46174.9067246875
07/2026,253913 Obstetrician and Gynaecologist,50,1,45846.75719282407
07/2026,241512 Teacher of the Hearing Impaired,70,1,45764.104155092595
07/2026,253512 Cardiothoracic Surgeon,65,1,45973.74357997685
07/2026,253324 Thoracic Medicine Specialist,70,1,45603.90381736111
07/2026,333211 Fibrous Plasterer,65,1,46227.77656628472
07/2026,333211 Fibrous Plasterer,75,1,46181.69236246528
07/2026,333211 Fibrous Plasterer,70,1,46181.68716565972
07/2026,333211 Fibrous Plasterer,60,1,45567.187230787036
07/2026,334113 Drainer,70,1,46189.70231512732
07/2026,334114 Gasfitter,70,1,46217.77182094907
07/2026,253514 Orthopaedic Surgeon,55,1,45681.480832256944
07/2026,253514 Orthopaedic Surgeon,60,1,46184.977997222224
07/2026,254416 Registered Nurse (Developmental Disability),75,1,45517.97139116898
07/2026,254416 Registered Nurse (Developmental Disability),70,1,45571.92815494213
07/2026,253517 Plastic and Reconstructive Surgeon,65,1,46140.90435859954
07/2026,253517 Plastic and Reconstructive Surgeon,75,1,46221.57250929398
07/2026,253316 Gastroenterologist,65,1,46001.685996562504
07/2026,253316 Gastroenterologist,40,1,45640.513158217596
07/2026,321213 Motorcycle Mechanic,70,1,45712.74783487269
07/2026,331112 Stonemason,65,2,46176.92072592593
07/2026,253915 Pathologist,70,2,46182.98487615741
07/2026,253518 Urologist,65,1,45797.48168549768
07/2026,452411 Footballer,70,1,46170.51624355324
07/2026,253314 Medical Oncologist,70,1,46153.92623171296
07/2026,241513 Teacher of the Sight Impaired,75,1,45810.827872106485
06/2026,261312 Developer Programmer,65,381,46203.73637673611
06/2026,261312 Developer Programmer,75,601,46203.72479609954
06/2026,261312 Developer Programmer,70,524,46203.7734178588
06/2026,261312 Developer Programmer,80,528,46203.62539753472
06/2026,261312 Developer Programmer,95,335,46199.663024270834
06/2026,261312 Developer Programmer,90,531,46202.8562962963
06/2026,261312 Developer Programmer,85,569,46203.845609027776
06/2026,261312 Developer Programmer,55,31,46189.740790358795
06/2026,261312 Developer Programmer,60,91,46186.8717375
06/2026,261312 Developer Programmer,50,18,46161.667727858796
06/2026,261312 Developer Programmer,110,2,46029.97233229167
06/2026,261312 Developer Programmer,100,117,46198.80657083333
06/2026,261312 Developer Programmer,105,10,46153.833708680555
06/2026,261312 Developer Programmer,45,3,45673.74990501157
06/2026,261312 Developer Programmer,115,1,45603.902996875
06/2026,321211 Motor Mechanic (General),65,250,46201.27119158565
06/2026,321211 Motor Mechanic (General),75,242,46203.78894302083
06/2026,321211 Motor Mechanic (General),70,279,46188.71859826389
06/2026,321211 Motor Mechanic (General),80,128,46184.868829976855
06/2026,321211 Motor Mechanic (General),95,9,46133.85612777778
06/2026,321211 Motor Mechanic (General),90,31,46176.37560216435
06/2026,321211 Motor Mechanic (General),85,70,46197.78480115741
06/2026,321211 Motor Mechanic (General),55,22,46141.63364892361
06/2026,321211 Motor Mechanic (General),60,62,46176.55057349537
06/2026,321211 Motor Mechanic (General),50,4,46201.88106099537
06/2026,321211 Motor Mechanic (General),45,2,45945.334142858796
06/2026,321211 Motor Mechanic (General),30,1,45973.33527789352
06/2026,233211 Civil Engineer,65,641,46202.476592708335
06/2026,233211 Civil Engineer,75,757,46203.90715104167
06/2026,233211 Civil Engineer,70,712,46200.90222045139
06/2026,233211 Civil Engineer,80,625,46203.75609212963
06/2026,233211 Civil Engineer,95,119,46202.79750355324
06/2026,233211 Civil Engineer,90,298,46186.01561883102
06/2026,233211 Civil Engineer,85,552,46203.74703052083
06/2026,233211 Civil Engineer,55,68,46199.78159424769
06/2026,233211 Civil Engineer,60,155,46195.92668116898
06/2026,233211 Civil Engineer,50,26,46202.56196450231
06/2026,233211 Civil Engineer,100,32,46188.917857719905
06/2026,233211 Civil Engineer,105,1,45768.50243807871
06/2026,233211 Civil Engineer,40,1,45966.81000358796
06/2026,233211 Civil Engineer,45,7,46089.85430957176
06/2026,233211 Civil Engineer,30,1,46023.79353796296
06/2026,241111 Early Childhood (Pre-primary School) Teacher,65,882,46203.897057291666
06/2026,241111 Early Childhood (Pre-primary School) Teacher,75,1143,46203.79628174769
06/2026,241111 Early Childhood (Pre-primary School) Teacher,70,1316,46203.82419085648
06/2026,241111 Early Childhood (Pre-primary School) Teacher,80,1037,46202.54665940972
06/2026,241111 Early Childhood (Pre-primary School) Teacher,95,3,46025.450912500004
06/2026,241111 Early Childhood (Pre-primary School) Teacher,90,191,46202.99588553241
06/2026,241111 Early Childhood (Pre-primary School) Teacher,85,1152,46203.79208788194
06/2026,241111 Early Childhood (Pre-primary School) Teacher,55,66,46185.77906119213
06/2026,241111 Early Childhood (Pre-primary School) Teacher,60,239,46202.661486377314
06/2026,241111 Early Childhood (Pre-primary School) Teacher,50,23,46177.449916516205
06/2026,241111 Early Childhood (Pre-primary School) Teacher,100,1,45489.863321412035
06/2026,241111 Early Childhood (Pre-primary School) Teacher,40,2,46147.729611689814
06/2026,241111 Early Childhood (Pre-primary School) Teacher,45,4,46196.773953703705
06/2026,241111 Early Childhood (Pre-primary School) Teacher,30,1,46197.449707673615
06/2026,241111 Early Childhood (Pre-primary School) Teacher,125,1,46171.94125744213
06/2026,261111 ICT Business Analyst,65,418,46203.76626478009
06/2026,261111 ICT Business Analyst,75,653,46203.70658518519
06/2026,261111 ICT Business Analyst,70,512,46202.731465590274
06/2026,261111 ICT Business Analyst,80,699,46203.5034872338
06/2026,261111 ICT Business Analyst,95,380,46201.114979363425
06/2026,261111 ICT Business Analyst,90,656,46203.71448576389
06/2026,261111 ICT Business Analyst,85,586,46203.91736975694
06/2026,261111 ICT Business Analyst,55,39,46147.4503931713
06/2026,261111 ICT Business Analyst,60,93,46203.81379702546
06/2026,261111 ICT Business Analyst,50,14,46177.559720798614
06/2026,261111 ICT Business Analyst,110,1,45816.884143981486
06/2026,261111 ICT Business Analyst,100,138,46202.65079918981
06/2026,261111 ICT Business Analyst,105,6,45969.06711350694
06/2026,261111 ICT Business Analyst,45,1,45774.478677280094
06/2026,261313 Software Engineer,65,624,46203.97601435185
06/2026,261313 Software Engineer,75,847,46202.83392542824
06/2026,261313 Software Engineer,70,744,46203.921091516204
06/2026,261313 Software Engineer,80,687,46203.855937500004
06/2026,261313 Software Engineer,95,376,46199.683309837965
06/2026,261313 Software Engineer,90,675,46199.83045405093
06/2026,261313 Software Engineer,85,709,46203.6449133912
06/2026,261313 Software Engineer,55,64,46178.704256944446
06/2026,261313 Software Engineer,60,161,46202.91964861111
06/2026,261313 Software Engineer,50,16,46190.510248032406
06/2026,261313 Software Engineer,110,3,46029.98897653935
06/2026,261313 Software Engineer,100,138,46199.70743603009
06/2026,261313 Software Engineer,105,20,46177.042092013886
06/2026,261313 Software Engineer,45,3,46083.627992361115
06/2026,261313 Software Engineer,30,2,46039.65834603009
06/2026,261313 Software Engineer,25,1,46126.88979386574
06/2026,261313 Software Engineer,35,1,46177.63912908565
06/2026,221111 Accountant (General),65,418,46200.080643483794
06/2026,221111 Accountant (General),75,566,46202.90342592593
06/2026,221111 Accountant (General),70,584,46202.175589895836
06/2026,221111 Accountant (General),80,452,46198.48398105324
06/2026,221111 Accountant (General),95,184,46202.670455983796
06/2026,221111 Accountant (General),90,322,46203.55904907407
06/2026,221111 Accountant (General),85,431,46202.82447265046
06/2026,221111 Accountant (General),55,30,46186.565089780095
06/2026,221111 Accountant (General),60,90,46189.51372959491
06/2026,221111 Accountant (General),50,5,46190.45739571759
06/2026,221111 Accountant (General),110,1,46101.24581180555
06/2026,221111 Accountant (General),100,56,46185.55968827546
06/2026,221111 Accountant (General),105,4,46177.040444756945
06/2026,221111 Accountant (General),45,6,46023.80487291666
06/2026,221111 Accountant (General),35,1,45614.67377908565
06/2026,262112 ICT Security Specialist,65,189,46202.86480420139
06/2026,262112 ICT Security Specialist,75,252,46203.98777260417
06/2026,262112 ICT Security Specialist,70,214,46203.95103726852
06/2026,262112 ICT Security Specialist,80,262,46202.744824270834
06/2026,262112 ICT Security Specialist,95,131,46198.88942947917
06/2026,262112 ICT Security Specialist,90,224,46202.66496068287
06/2026,262112 ICT Security Specialist,85,221,46203.707427002315
06/2026,262112 ICT Security Specialist,55,21,46172.459437997684
06/2026,262112 ICT Security Specialist,60,38,46192.67511701389
06/2026,262112 ICT Security Specialist,50,6,46170.658505127314
06/2026,262112 ICT Security Specialist,100,34,46176.717370405095
06/2026,262112 ICT Security Specialist,105,1,45734.53776064815
06/2026,221213 External Auditor,65,247,46202.63729024306
06/2026,221213 External Auditor,75,326,46198.81707658565
06/2026,221213 External Auditor,70,346,46190.606893055556
06/2026,221213 External Auditor,80,349,46196.62675744213
06/2026,221213 External Auditor,95,47,46201.60710729167
06/2026,221213 External Auditor,90,214,46202.11129811343
06/2026,221213 External Auditor,85,364,46190.765657488424
06/2026,221213 External Auditor,55,7,46176.76359699074
06/2026,221213 External Auditor,60,54,46177.77091103009
06/2026,221213 External Auditor,50,3,46186.58819730324
06/2026,221213 External Auditor,100,12,46141.49199675926
06/2026,234515 Botanist,65,4,46171.83965185185
06/2026,234515 Botanist,75,2,46084.91681284722
06/2026,234515 Botanist,70,1,45752.55801681713
06/2026,234515 Botanist,80,1,45618.90309768519
06/2026,234515 Botanist,60,1,45605.90761469907
06/2026,234515 Botanist,50,1,45786.63971084491
06/2026,233512 Mechanical Engineer,65,545,46203.75952685185
06/2026,233512 Mechanical Engineer,75,653,46203.581908946755
06/2026,233512 Mechanical Engineer,70,578,46203.85345899306
06/2026,233512 Mechanical Engineer,80,497,46203.606892627315
06/2026,233512 Mechanical Engineer,95,104,46199.80964039352
06/2026,233512 Mechanical Engineer,90,338,46202.926569131945
06/2026,233512 Mechanical Engineer,85,544,46203.7240625
06/2026,233512 Mechanical Engineer,55,77,46200.678206365745
06/2026,233512 Mechanical Engineer,60,198,46200.890416863425
06/2026,233512 Mechanical Engineer,50,26,46174.7722287037
06/2026,233512 Mechanical Engineer,100,26,46148.48848267361
06/2026,233512 Mechanical Engineer,105,1,45546.7210565162
06/2026,233512 Mechanical Engineer,40,3,45777.39887048611
06/2026,233512 Mechanical Engineer,45,4,46022.63324174769
06/2026,233512 Mechanical Engineer,35,1,45650.08781157408
06/2026,233999 Engineering Professionals nec,65,85,46198.891205092594
06/2026,233999 Engineering Professionals nec,75,112,46199.48197422454
06/2026,233999 Engineering Professionals nec,70,88,46199.46492962963
06/2026,233999 Engineering Professionals nec,80,107,46201.720978240744
06/2026,233999 Engineering Professionals nec,95,33,46190.95709884259
06/2026,233999 Engineering Professionals nec,90,58,46171.79829186342
06/2026,233999 Engineering Professionals nec,85,121,46202.96867326389
06/2026,233999 Engineering Professionals nec,55,14,46173.08667962963
06/2026,233999 Engineering Professionals nec,60,17,46133.046552314816
06/2026,233999 Engineering Professionals nec,50,5,46116.67184957176
06/2026,233999 Engineering Professionals nec,100,12,46142.807181331016
06/2026,233999 Engineering Professionals nec,105,1,45723.70032665509
06/2026,233999 Engineering Professionals nec,40,1,45774.72333059028
06/2026,234111 Agricultural Consultant,65,105,46192.556341435185
06/2026,234111 Agricultural Consultant,75,58,46199.70351119213
06/2026,234111 Agricultural Consultant,70,76,46203.940062650465
06/2026,234111 Agricultural Consultant,80,20,46191.91520358797
06/2026,234111 Agricultural Consultant,85,1,46112.892301388885
06/2026,234111 Agricultural Consultant,55,18,46203.63456886574
06/2026,234111 Agricultural Consultant,60,25,46191.86364849537
06/2026,234111 Agricultural Consultant,50,3,46134.84011238426
06/2026,234111 Agricultural Consultant,45,2,45789.085624768515
06/2026,254418 Registered Nurse (Medical),65,219,46200.678892592594
06/2026,254418 Registered Nurse (Medical),75,115,46203.9355371875
06/2026,254418 Registered Nurse (Medical),70,151,46199.867730405094
06/2026,254418 Registered Nurse (Medical),80,9,46202.53868341435
06/2026,254418 Registered Nurse (Medical),85,1,46203.48290162037
06/2026,254418 Registered Nurse (Medical),55,24,46107.68671998843
06/2026,254418 Registered Nurse (Medical),60,54,46157.821917824076
06/2026,254418 Registered Nurse (Medical),50,4,46158.594165625
06/2026,254418 Registered Nurse (Medical),40,1,46175.65039247685
06/2026,351311 Chef,65,795,46203.70928619213
06/2026,351311 Chef,75,695,46202.40661967592
06/2026,351311 Chef,70,852,46202.801849421296
06/2026,351311 Chef,80,457,46203.725972569446
06/2026,351311 Chef,95,40,46181.671340775465
06/2026,351311 Chef,90,135,46196.66289583333
06/2026,351311 Chef,85,209,46197.526405937504
06/2026,351311 Chef,55,71,46177.623182870375
06/2026,351311 Chef,60,190,46203.579613657406
06/2026,351311 Chef,50,30,46203.8665741088
06/2026,351311 Chef,100,3,45902.65436003472
06/2026,351311 Chef,105,3,45706.760803240744
06/2026,351311 Chef,40,1,45924.01809907408
