StatusMonth,Occupation,Score,n
2026-06,399111 Boat Builder and Repairer,80,1
2026-06,399111 Boat Builder and Repairer,85,2
2026-06,253312 Cardiologist,80,1
2026-06,333212 Solid Plasterer,65,4
2026-06,333212 Solid Plasterer,70,2
2026-06,333212 Solid Plasterer,95,1
2026-06,333212 Solid Plasterer,85,1
2026-06,333411 Wall and Floor Tiler,65,22
2026-06,333411 Wall and Floor Tiler,75,5
2026-06,333411 Wall and Floor Tiler,70,16
2026-06,333411 Wall and Floor Tiler,80,1
2026-06,333411 Wall and Floor Tiler,85,1
2026-06,254414 Registered Nurse (Community Health),75,2
2026-06,254414 Registered Nurse (Community Health),80,2
2026-06,254414 Registered Nurse (Community Health),85,3
2026-06,254413 Registered Nurse (Child and Family Health),80,2
2026-06,254413 Registered Nurse (Child and Family Health),100,1
2026-06,252711 Audiologist,75,2
2026-06,252711 Audiologist,80,12
2026-06,252711 Audiologist,85,4
2026-06,252711 Audiologist,100,1
2026-06,134213 Primary Health Organisation Manager,80,2
2026-06,134213 Primary Health Organisation Manager,90,1
2026-06,134213 Primary Health Organisation Manager,85,2
2026-06,253321 Paediatrician,80,2
2026-06,253317 Intensive Care Specialist,80,1
2026-06,331213 Joiner,65,3
2026-06,272313 Organisational Psychologist,80,1
2026-06,211213 Musician (Instrumental),95,1
2026-06,211213 Musician (Instrumental),90,1
2026-06,211213 Musician (Instrumental),100,1
2026-06,321111 Automotive Electrician,80,4
2026-06,321111 Automotive Electrician,85,1
2026-06,253411 Psychiatrist,90,1
2026-06,253411 Psychiatrist,85,1
2026-06,251411 Optometrist,80,4
2026-06,251411 Optometrist,95,1
2026-06,251411 Optometrist,85,1
2026-06,253399 Specialist Physicians nec,80,1
2026-06,251214 Sonographer,85,1
2026-06,334112 Airconditioning and Mechanical Services Plumber,65,7
2026-06,334112 Airconditioning and Mechanical Services Plumber,75,1
2026-06,334112 Airconditioning and Mechanical Services Plumber,70,1
2026-06,334112 Airconditioning and Mechanical Services Plumber,95,1
2026-06,334115 Roof Plumber,65,1
2026-06,334115 Roof Plumber,70,2
2026-06,272311 Clinical Psychologist,80,1
2026-06,272311 Clinical Psychologist,95,1
2026-06,272311 Clinical Psychologist,90,1
2026-06,272311 Clinical Psychologist,85,1
2026-06,251212 Medical Radiation Therapist,80,2
2026-06,341113 Lift Mechanic,80,1
2026-06,252611 Podiatrist,75,1
2026-06,252611 Podiatrist,80,3
2026-06,252611 Podiatrist,85,2
2026-06,241599 Special Education Teachers nec,85,1
2026-06,253311 Specialist Physician (General Medicine),80,2
2026-06,211112 Dancer or Choreographer,80,3
2026-06,211112 Dancer or Choreographer,85,1
2026-06,134214 Welfare Centre Manager,85,1
2026-06,253324 Thoracic Medicine Specialist,95,1
2026-06,333211 Fibrous Plasterer,75,1
2026-06,333211 Fibrous Plasterer,70,2
2026-06,334113 Drainer,65,1
2026-06,334113 Drainer,75,1
2026-06,334114 Gasfitter,70,1
2026-06,253514 Orthopaedic Surgeon,85,1
2026-06,254416 Registered Nurse (Developmental Disability),80,1
2026-06,254416 Registered Nurse (Developmental Disability),90,1
2026-06,253316 Gastroenterologist,85,1
2026-06,331112 Stonemason,65,2
2026-06,331112 Stonemason,90,1
2026-06,253518 Urologist,100,1
2026-06,253914 Ophthalmologist,80,1
2025-08,241111 Early Childhood (Pre-primary School) Teacher,95,3
2025-08,241111 Early Childhood (Pre-primary School) Teacher,90,38
2025-08,241111 Early Childhood (Pre-primary School) Teacher,85,324
2025-08,234111 Agricultural Consultant,95,4
2025-08,234111 Agricultural Consultant,90,13
2025-08,234111 Agricultural Consultant,100,1
2025-08,254418 Registered Nurse (Medical),80,34
2025-08,254418 Registered Nurse (Medical),90,4
2025-08,254418 Registered Nurse (Medical),85,17
2025-08,233411 Electronics Engineer,95,7
2025-08,233411 Electronics Engineer,100,6
2025-08,234211 Chemist,95,3
2025-08,234211 Chemist,90,10
2025-08,234211 Chemist,110,1
2025-08,234211 Chemist,100,4
2025-08,234211 Chemist,105,1
2025-08,271311 Solicitor,95,8
2025-08,271311 Solicitor,90,51
2025-08,271311 Solicitor,100,1
2025-08,233111 Chemical Engineer,95,19
2025-08,233111 Chemical Engineer,90,26
2025-08,233111 Chemical Engineer,100,6
2025-08,233111 Chemical Engineer,105,1
2025-08,312312 Electrical Engineering Technician,90,5
2025-08,232111 Architect,90,6
2025-08,232111 Architect,110,1
2025-08,234212 Food Technologist,95,7
2025-08,234212 Food Technologist,90,9
2025-08,234212 Food Technologist,100,2
2025-08,312311 Electrical Engineering Draftsperson,90,1
2025-08,224711 Management Consultant,95,3
2025-08,224711 Management Consultant,90,24
2025-08,234711 Veterinarian,95,3
2025-08,234711 Veterinarian,90,11
2025-08,241411 Secondary School Teacher,90,8
2025-08,241411 Secondary School Teacher,85,44
2025-08,224111 Actuary,95,6
2025-08,224111 Actuary,90,29
2025-08,333111 Glazier,65,6
2025-08,333111 Glazier,75,1
2025-08,333111 Glazier,70,1
2025-08,242111 University Lecturer,95,35
2025-08,242111 University Lecturer,90,84
2025-08,242111 University Lecturer,85,84
2025-08,242111 University Lecturer,110,1
2025-08,242111 University Lecturer,100,14
2025-08,242111 University Lecturer,105,4
2025-08,133211 Engineering Manager,90,1
2025-08,234599 Life Scientists nec,95,5
2025-08,234599 Life Scientists nec,100,4
2025-08,254422 Registered Nurse (Mental Health),80,14
2025-08,254422 Registered Nurse (Mental Health),95,1
2025-08,254422 Registered Nurse (Mental Health),90,3
2025-08,254422 Registered Nurse (Mental Health),85,13
2025-08,312211 Civil Engineering Draftsperson,95,2
2025-08,312211 Civil Engineering Draftsperson,90,2
2025-08,234511 Life Scientist (General),95,16
2025-08,234511 Life Scientist (General),90,9
2025-08,234511 Life Scientist (General),100,4
2025-08,234511 Life Scientist (General),105,4
2025-08,254423 Registered Nurse (Perioperative),80,11
2025-08,254423 Registered Nurse (Perioperative),90,3
2025-08,254423 Registered Nurse (Perioperative),85,5
2025-08,232212 Surveyor,95,1
2025-08,254499 Registered Nurses nec,80,415
2025-08,254499 Registered Nurses nec,95,2
2025-08,254499 Registered Nurses nec,90,25
2025-08,254499 Registered Nurses nec,85,183
2025-08,254499 Registered Nurses nec,105,1
2025-08,224512 Valuer,90,3
2025-08,234516 Marine Biologist,95,2
2025-08,234516 Marine Biologist,90,2
2025-08,234516 Marine Biologist,105,1
2025-08,233611 Mining Engineer (excluding Petroleum),95,2
2025-08,233611 Mining Engineer (excluding Petroleum),90,7
2025-08,254417 Registered Nurse (Disability and Rehabilitation),80,2
2025-08,322313 Welder (First Class),90,1
2025-08,234912 Metallurgist,95,2
2025-08,234912 Metallurgist,90,1
2025-08,234912 Metallurgist,100,2
2025-08,232214 Other Spatial Scientist,90,6
2025-08,133111 Construction Project Manager,95,1
2025-08,133111 Construction Project Manager,90,8
2025-08,133111 Construction Project Manager,100,1
2025-08,253111 General Practitioner,80,92
2025-08,253111 General Practitioner,95,1
2025-08,253111 General Practitioner,90,23
2025-08,253111 General Practitioner,85,60
2025-08,234313 Environmental Research Scientist,95,7
2025-08,234313 Environmental Research Scientist,90,1
2025-08,234313 Environmental Research Scientist,100,6
2025-08,234112 Agricultural Scientist,95,11
2025-08,234112 Agricultural Scientist,90,9
2025-08,234112 Agricultural Scientist,100,3
2025-08,234113 Forester,95,3
2025-08,234113 Forester,90,1
2025-08,271111 Barrister,95,1
2025-08,331212 Carpenter,65,134
2025-08,331212 Carpenter,75,71
2025-08,331212 Carpenter,70,145
2025-08,331212 Carpenter,80,26
2025-08,331212 Carpenter,90,1
2025-08,331212 Carpenter,85,9
2025-08,272511 Social Worker,95,1
2025-08,272511 Social Worker,90,10
2025-08,272511 Social Worker,85,56
2025-08,332211 Painting Trades Worker,75,39
2025-08,332211 Painting Trades Worker,70,42
2025-08,332211 Painting Trades Worker,80,12
2025-08,332211 Painting Trades Worker,85,3
2025-08,342313 Electronic Equipment Trades Worker,110,1
2025-08,233612 Petroleum Engineer,95,1
2025-08,233612 Petroleum Engineer,90,1
2025-08,254415 Registered Nurse (Critical Care and Emergency),80,33
2025-08,254415 Registered Nurse (Critical Care and Emergency),95,1
2025-08,254415 Registered Nurse (Critical Care and Emergency),90,1
2025-08,254415 Registered Nurse (Critical Care and Emergency),85,16
2025-08,224311 Economist,95,4
2025-08,224311 Economist,90,4
2025-08,234514 Biotechnologist,95,8
2025-08,234514 Biotechnologist,90,9
2025-08,234514 Biotechnologist,100,6
2025-08,331111 Bricklayer,65,23
2025-08,331111 Bricklayer,75,5
2025-08,331111 Bricklayer,70,15
2025-08,331111 Bricklayer,80,3
2025-08,331111 Bricklayer,90,1
2025-08,331111 Bricklayer,85,1
2025-08,139912 Environmental Manager,95,1
2025-08,139912 Environmental Manager,90,1
2025-08,139911 Arts Administrator or Manager,95,1
2025-08,139911 Arts Administrator or Manager,90,1
2025-08,254412 Registered Nurse (Aged Care),80,57
2025-08,254412 Registered Nurse (Aged Care),90,2
2025-08,254412 Registered Nurse (Aged Care),85,17
2025-08,253999 Medical Practitioners nec,80,65
2025-08,253999 Medical Practitioners nec,90,13
2025-08,253999 Medical Practitioners nec,85,54
2025-08,253999 Medical Practitioners nec,100,1
2025-08,234412 Geophysicist,95,1
2025-08,234412 Geophysicist,90,1
2025-08,224113 Statistician,95,22
2025-08,224113 Statistician,90,32
2025-08,224113 Statistician,100,2
2025-08,341111 Electrician (General),65,36
2025-08,341111 Electrician (General),75,12
2025-08,341111 Electrician (General),70,18
2025-08,341111 Electrician (General),80,6
2025-08,341111 Electrician (General),85,1
2025-08,341111 Electrician (General),100,1
2025-08,252511 Physiotherapist,80,52
2025-08,252511 Physiotherapist,95,2
2025-08,252511 Physiotherapist,90,9
2025-08,252511 Physiotherapist,85,34
2025-08,251211 Medical Diagnostic Radiographer,80,14
2025-08,251211 Medical Diagnostic Radiographer,90,3
2025-08,251211 Medical Diagnostic Radiographer,85,5
2025-08,232213 Cartographer,90,1
2025-08,312212 Civil Engineering Technician,95,1
2025-08,312212 Civil Engineering Technician,90,2
2025-08,253912 Emergency Medicine Specialist,80,6
2025-08,253912 Emergency Medicine Specialist,95,1
2025-08,253912 Emergency Medicine Specialist,90,2
2025-08,253912 Emergency Medicine Specialist,85,3
2025-08,234312 Environmental Consultant,95,8
2025-08,234312 Environmental Consultant,90,21
2025-08,234312 Environmental Consultant,110,1
2025-08,234312 Environmental Consultant,100,2
2025-08,234517 Microbiologist,95,2
2025-08,234517 Microbiologist,90,4
2025-08,234517 Microbiologist,100,1
2025-08,232112 Landscape Architect,90,3
2025-08,252712 Speech Pathologist,80,13
2025-08,252712 Speech Pathologist,90,5
2025-08,252712 Speech Pathologist,85,15
2025-08,234999 Natural and Physical Science Professionals nec,90,1
2025-08,234914 Physicist,95,2
2025-08,234914 Physicist,90,2
2025-08,234914 Physicist,100,4
2025-08,234914 Physicist,115,1
2025-08,233112 Materials Engineer,95,10
2025-08,233112 Materials Engineer,90,9
2025-08,233112 Materials Engineer,100,3
2025-08,252411 Occupational Therapist,80,36
2025-08,252411 Occupational Therapist,95,1
2025-08,252411 Occupational Therapist,90,2
2025-08,252411 Occupational Therapist,85,12
2025-08,234513 Biochemist,95,1
2025-08,234513 Biochemist,90,5
2025-08,234611 Medical Laboratory Scientist,95,1
2025-08,234611 Medical Laboratory Scientist,90,3
2025-08,234611 Medical Laboratory Scientist,100,1
2025-08,254425 Registered Nurse (Paediatrics),80,4
2025-08,254425 Registered Nurse (Paediatrics),90,2
2025-08,254425 Registered Nurse (Paediatrics),85,7
2025-08,272399 Psychologists nec,95,1
2025-08,272399 Psychologists nec,90,1
2025-08,272399 Psychologists nec,85,6
2025-08,331211 Carpenter and Joiner,65,5
2025-08,331211 Carpenter and Joiner,75,4
2025-08,331211 Carpenter and Joiner,70,7
2025-08,331211 Carpenter and Joiner,80,1
2025-08,254111 Midwife,80,12
2025-08,254111 Midwife,85,4
2025-08,334111 Plumber (General),65,13
2025-08,334111 Plumber (General),75,4
2025-08,334111 Plumber (General),70,7
2025-08,334111 Plumber (General),80,3
2025-08,234413 Hydrogeologist,90,1
2025-08,254421 Registered Nurse (Medical Practice),80,3
2025-08,254421 Registered Nurse (Medical Practice),85,1
2025-08,254424 Registered Nurse (Surgical),80,17
2025-08,254424 Registered Nurse (Surgical),95,1
2025-08,254424 Registered Nurse (Surgical),90,1
2025-08,254424 Registered Nurse (Surgical),85,7
2025-08,324111 Panelbeater,90,1
2025-08,224511 Land Economist,90,1
2025-08,452316 Tennis Coach,95,1
2025-08,399111 Boat Builder and Repairer,90,1
2025-08,253312 Cardiologist,80,1
2025-08,333212 Solid Plasterer,65,5
2025-08,333212 Solid Plasterer,75,3
2025-08,333411 Wall and Floor Tiler,65,37
2025-08,333411 Wall and Floor Tiler,75,1
2025-08,333411 Wall and Floor Tiler,70,13
2025-08,333411 Wall and Floor Tiler,80,1
2025-08,333411 Wall and Floor Tiler,85,1
2025-08,254414 Registered Nurse (Community Health),80,4
2025-08,254414 Registered Nurse (Community Health),90,1
2025-08,254414 Registered Nurse (Community Health),85,2
2025-08,254414 Registered Nurse (Community Health),100,1
2025-08,254413 Registered Nurse (Child and Family Health),80,2
2025-08,252711 Audiologist,80,7
2025-08,252711 Audiologist,90,1
2025-08,252711 Audiologist,85,3
2025-08,134213 Primary Health Organisation Manager,90,1
2025-08,253321 Paediatrician,85,1
2025-08,253317 Intensive Care Specialist,80,1
2025-08,253317 Intensive Care Specialist,90,2
2025-08,253917 Diagnostic and Interventional Radiologist,85,2
2025-08,331213 Joiner,65,2
2025-08,331213 Joiner,70,1
2025-08,331213 Joiner,80,1
2025-08,234518 Zoologist,90,2
2025-08,253411 Psychiatrist,80,1
2025-08,253411 Psychiatrist,85,2
2025-08,251411 Optometrist,80,3
2025-08,251411 Optometrist,85,1
2025-08,251214 Sonographer,80,4
2025-08,251214 Sonographer,95,3
2025-08,251214 Sonographer,90,6
2025-08,251214 Sonographer,85,7
2025-08,334112 Airconditioning and Mechanical Services Plumber,65,12
2025-08,334112 Airconditioning and Mechanical Services Plumber,75,3
2025-08,334112 Airconditioning and Mechanical Services Plumber,70,5
2025-08,334112 Airconditioning and Mechanical Services Plumber,90,1
2025-08,334112 Airconditioning and Mechanical Services Plumber,85,1
2025-08,253318 Neurologist,80,2
2025-08,334115 Roof Plumber,65,2
2025-08,334115 Roof Plumber,70,1
2025-08,334115 Roof Plumber,85,1
2025-08,272311 Clinical Psychologist,85,2
2025-08,254411 Nurse Practitioner,95,1
2025-08,254411 Nurse Practitioner,85,1
2025-08,251212 Medical Radiation Therapist,80,1
2025-08,252611 Podiatrist,80,1
2025-08,252611 Podiatrist,90,2
2025-08,253311 Specialist Physician (General Medicine),80,2
2025-08,253311 Specialist Physician (General Medicine),90,1
2025-08,253324 Thoracic Medicine Specialist,80,1
2025-08,333211 Fibrous Plasterer,65,1
2025-08,333211 Fibrous Plasterer,75,1
2025-08,334114 Gasfitter,65,2
2025-08,334114 Gasfitter,75,1
2025-08,334114 Gasfitter,70,1
2025-08,253514 Orthopaedic Surgeon,85,1
2025-08,331112 Stonemason,65,1
2025-08,331112 Stonemason,75,1
2025-08,253914 Ophthalmologist,80,1
2024-11,261312 Developer Programmer,95,143
2024-11,261312 Developer Programmer,100,16
2024-11,261312 Developer Programmer,105,2
2024-11,321211 Motor Mechanic (General),95,3
2024-11,321211 Motor Mechanic (General),90,6
2024-11,233211 Civil Engineer,95,20
2024-11,233211 Civil Engineer,90,260
2024-11,233211 Civil Engineer,85,13
2024-11,233211 Civil Engineer,100,1
2024-11,233211 Civil Engineer,105,1
2024-11,241111 Early Childhood (Pre-primary School) Teacher,75,341
2024-11,241111 Early Childhood (Pre-primary School) Teacher,70,2
2024-11,241111 Early Childhood (Pre-primary School) Teacher,80,203
2024-11,241111 Early Childhood (Pre-primary School) Teacher,95,1
2024-11,241111 Early Childhood (Pre-primary School) Teacher,90,2
2024-11,241111 Early Childhood (Pre-primary School) Teacher,85,41
2024-11,261111 ICT Business Analyst,95,233
2024-11,261111 ICT Business Analyst,110,1
2024-11,261111 ICT Business Analyst,100,28
2024-11,261313 Software Engineer,95,224
2024-11,261313 Software Engineer,100,32
2024-11,261313 Software Engineer,105,1
2024-11,221111 Accountant (General),95,259
2024-11,221111 Accountant (General),100,30
2024-11,262112 ICT Security Specialist,95,167
2024-11,262112 ICT Security Specialist,100,3
2024-11,221213 External Auditor,95,13
2024-11,221213 External Auditor,90,277
2024-11,221213 External Auditor,85,34
2024-11,233512 Mechanical Engineer,95,22
2024-11,233512 Mechanical Engineer,90,277
2024-11,233512 Mechanical Engineer,85,22
2024-11,233512 Mechanical Engineer,100,2
2024-11,233999 Engineering Professionals nec,95,2
2024-11,233999 Engineering Professionals nec,90,35
2024-11,233999 Engineering Professionals nec,85,2
2024-11,234111 Agricultural Consultant,95,3
2024-11,234111 Agricultural Consultant,90,6
2024-11,234111 Agricultural Consultant,85,2
2024-11,254418 Registered Nurse (Medical),75,55
2024-11,254418 Registered Nurse (Medical),70,1
2024-11,254418 Registered Nurse (Medical),80,6
2024-11,254418 Registered Nurse (Medical),90,3
2024-11,254418 Registered Nurse (Medical),85,4
2024-11,351311 Chef,95,1
2024-11,351311 Chef,90,53
2024-11,351311 Chef,85,1
2024-11,351311 Chef,100,1
2024-11,233411 Electronics Engineer,95,12
2024-11,233411 Electronics Engineer,90,77
2024-11,233411 Electronics Engineer,85,8
2024-11,233411 Electronics Engineer,100,2
2024-11,261112 Systems Analyst,95,71
2024-11,261112 Systems Analyst,100,6
2024-11,233912 Agricultural Engineer,90,3
2024-11,263111 Computer Network and Systems Engineer,95,94
2024-11,263111 Computer Network and Systems Engineer,100,6
2024-11,234211 Chemist,90,10
2024-11,234211 Chemist,100,1
2024-11,271311 Solicitor,95,4
2024-11,271311 Solicitor,90,61
2024-11,271311 Solicitor,85,1
2024-11,233111 Chemical Engineer,95,9
2024-11,233111 Chemical Engineer,90,43
2024-11,233111 Chemical Engineer,85,4
2024-11,233111 Chemical Engineer,100,2
2024-11,233914 Engineering Technologist,95,9
2024-11,233914 Engineering Technologist,90,144
2024-11,233914 Engineering Technologist,85,13
2024-11,233914 Engineering Technologist,100,2
2024-11,233914 Engineering Technologist,105,1
2024-11,312312 Electrical Engineering Technician,90,1
2024-11,233913 Biomedical Engineer,90,23
2024-11,233913 Biomedical Engineer,85,1
2024-11,221214 Internal Auditor,95,2
2024-11,221214 Internal Auditor,90,13
2024-11,261399 Software and Applications Programmers nec,95,23
2024-11,261399 Software and Applications Programmers nec,90,82
2024-11,261399 Software and Applications Programmers nec,85,3
2024-11,261399 Software and Applications Programmers nec,100,1
2024-11,261399 Software and Applications Programmers nec,105,1
2024-11,233513 Production or Plant Engineer,95,2
2024-11,233513 Production or Plant Engineer,90,34
2024-11,233311 Electrical Engineer,95,10
2024-11,233311 Electrical Engineer,90,117
2024-11,233311 Electrical Engineer,85,6
2024-11,232111 Architect,75,117
2024-11,232111 Architect,70,21
2024-11,232111 Architect,80,63
2024-11,232111 Architect,95,1
2024-11,232111 Architect,90,5
2024-11,232111 Architect,85,23
2024-11,232111 Architect,105,1
2024-11,234212 Food Technologist,90,17
2024-11,221112 Management Accountant,95,24
2024-11,221112 Management Accountant,100,4
2024-11,224711 Management Consultant,95,4
2024-11,224711 Management Consultant,90,28
2024-11,224711 Management Consultant,85,1
2024-11,234711 Veterinarian,90,10
2024-11,234711 Veterinarian,85,1
2024-11,234711 Veterinarian,115,1
2024-11,241411 Secondary School Teacher,75,88
2024-11,241411 Secondary School Teacher,70,3
2024-11,241411 Secondary School Teacher,80,43
2024-11,241411 Secondary School Teacher,95,1
2024-11,241411 Secondary School Teacher,85,9
2024-11,134111 Child Care Centre Manager,75,1
2024-11,224111 Actuary,95,2
2024-11,224111 Actuary,90,28
2024-11,224111 Actuary,85,1
2024-11,242111 University Lecturer,95,14
2024-11,242111 University Lecturer,90,71
2024-11,242111 University Lecturer,100,4
2024-11,263312 Telecommunications Network Engineer,95,1
2024-11,263312 Telecommunications Network Engineer,90,8
2024-11,263312 Telecommunications Network Engineer,85,1
2024-11,133211 Engineering Manager,90,1
2024-11,233213 Quantity Surveyor,75,82
2024-11,233213 Quantity Surveyor,70,19
2024-11,233213 Quantity Surveyor,80,53
2024-11,233213 Quantity Surveyor,90,3
2024-11,233213 Quantity Surveyor,85,19
2024-11,234599 Life Scientists nec,95,1
2024-11,234599 Life Scientists nec,90,3
2024-11,254422 Registered Nurse (Mental Health),75,18
2024-11,254422 Registered Nurse (Mental Health),80,2
2024-11,254422 Registered Nurse (Mental Health),90,1
2024-11,254422 Registered Nurse (Mental Health),85,1
2024-11,254422 Registered Nurse (Mental Health),100,1
2024-11,312211 Civil Engineering Draftsperson,75,297
2024-11,312211 Civil Engineering Draftsperson,70,41
2024-11,312211 Civil Engineering Draftsperson,80,126
2024-11,312211 Civil Engineering Draftsperson,95,2
2024-11,312211 Civil Engineering Draftsperson,90,6
2024-11,312211 Civil Engineering Draftsperson,85,25
2024-11,321212 Diesel Motor Mechanic,95,1
2024-11,234511 Life Scientist (General),95,3
2024-11,234511 Life Scientist (General),90,15
2024-11,234511 Life Scientist (General),100,2
2024-11,234511 Life Scientist (General),105,1
2024-11,254423 Registered Nurse (Perioperative),75,14
2024-11,254423 Registered Nurse (Perioperative),80,7
2024-11,254423 Registered Nurse (Perioperative),85,1
2024-11,233212 Geotechnical Engineer,75,13
2024-11,233212 Geotechnical Engineer,70,3
2024-11,233212 Geotechnical Engineer,80,11
2024-11,233212 Geotechnical Engineer,90,1
2024-11,233212 Geotechnical Engineer,85,1
2024-11,232212 Surveyor,90,1
2024-11,254499 Registered Nurses nec,75,404
2024-11,254499 Registered Nurses nec,70,4
2024-11,254499 Registered Nurses nec,80,80
2024-11,254499 Registered Nurses nec,90,2
2024-11,254499 Registered Nurses nec,85,21
2024-11,254499 Registered Nurses nec,105,1
2024-11,221113 Taxation Accountant,95,15
2024-11,221113 Taxation Accountant,90,111
2024-11,221113 Taxation Accountant,85,4
2024-11,221113 Taxation Accountant,100,3
2024-11,224512 Valuer,95,1
2024-11,224512 Valuer,90,2
2024-11,261311 Analyst Programmer,95,46
2024-11,261311 Analyst Programmer,90,162
2024-11,261311 Analyst Programmer,85,5
2024-11,261311 Analyst Programmer,100,2
2024-11,234516 Marine Biologist,90,3
2024-11,234516 Marine Biologist,100,1
2024-11,233215 Transport Engineer,75,20
2024-11,233215 Transport Engineer,70,2
2024-11,233215 Transport Engineer,80,9
2024-11,233215 Transport Engineer,90,1
2024-11,233215 Transport Engineer,85,2
2024-11,233214 Structural Engineer,75,49
2024-11,233214 Structural Engineer,70,5
2024-11,233214 Structural Engineer,80,17
2024-11,233214 Structural Engineer,90,4
2024-11,233214 Structural Engineer,85,13
2024-11,233611 Mining Engineer (excluding Petroleum),95,2
2024-11,233611 Mining Engineer (excluding Petroleum),90,8
2024-11,233611 Mining Engineer (excluding Petroleum),105,1
2024-11,254417 Registered Nurse (Disability and Rehabilitation),75,2
2024-11,254417 Registered Nurse (Disability and Rehabilitation),80,1
2024-11,261211 Multimedia Specialist,95,4
2024-11,261211 Multimedia Specialist,90,32
2024-11,261211 Multimedia Specialist,85,4
2024-11,263311 Telecommunications Engineer,95,7
2024-11,263311 Telecommunications Engineer,90,50
2024-11,263311 Telecommunications Engineer,85,3
2024-11,322313 Welder (First Class),75,17
2024-11,322313 Welder (First Class),70,4
2024-11,322313 Welder (First Class),80,7
2024-11,322313 Welder (First Class),85,5
2024-11,234912 Metallurgist,90,3
2024-11,234912 Metallurgist,100,1
2024-11,232214 Other Spatial Scientist,95,1
2024-11,232214 Other Spatial Scientist,90,16
2024-11,133111 Construction Project Manager,75,254
2024-11,133111 Construction Project Manager,70,36
2024-11,133111 Construction Project Manager,80,90
2024-11,133111 Construction Project Manager,85,30
2024-11,133111 Construction Project Manager,100,1
2024-11,253111 General Practitioner,75,47
2024-11,253111 General Practitioner,80,36
2024-11,253111 General Practitioner,90,3
2024-11,253111 General Practitioner,85,15
2024-11,253111 General Practitioner,110,1
2024-11,234313 Environmental Research Scientist,95,2
2024-11,234313 Environmental Research Scientist,90,4
2024-11,233911 Aeronautical Engineer,95,1
2024-11,233911 Aeronautical Engineer,90,14
2024-11,233911 Aeronautical Engineer,85,2
2024-11,233911 Aeronautical Engineer,100,1
2024-11,234112 Agricultural Scientist,95,2
2024-11,234112 Agricultural Scientist,90,14
2024-11,234112 Agricultural Scientist,100,2
2024-11,234113 Forester,90,3
2024-11,234113 Forester,105,1
2024-11,313213 Telecommunications Network Planner,90,2
2024-11,331212 Carpenter,65,9
2024-11,331212 Carpenter,75,21
2024-11,331212 Carpenter,70,46
2024-11,331212 Carpenter,80,9
2024-11,331212 Carpenter,90,1
2024-11,331212 Carpenter,85,3
2024-11,272511 Social Worker,75,69
2024-11,272511 Social Worker,70,1
2024-11,272511 Social Worker,80,32
2024-11,272511 Social Worker,90,3
2024-11,272511 Social Worker,85,17
2024-11,272511 Social Worker,100,1
2024-11,332211 Painting Trades Worker,65,9
2024-11,332211 Painting Trades Worker,75,14
2024-11,332211 Painting Trades Worker,70,32
2024-11,332211 Painting Trades Worker,80,2
2024-11,332211 Painting Trades Worker,90,3
2024-11,233612 Petroleum Engineer,90,15
2024-11,233612 Petroleum Engineer,85,2
2024-11,252111 Chiropractor,75,3
2024-11,252111 Chiropractor,80,1
2024-11,313212 Telecommunications Field Engineer,90,1
2024-11,313212 Telecommunications Field Engineer,85,1
2024-11,233915 Environmental Engineer,90,16
2024-11,233915 Environmental Engineer,85,1
2024-11,394111 Cabinetmaker,75,2
2024-11,394111 Cabinetmaker,70,3
2024-11,394111 Cabinetmaker,85,2
2024-11,254415 Registered Nurse (Critical Care and Emergency),75,53
2024-11,254415 Registered Nurse (Critical Care and Emergency),70,1
2024-11,254415 Registered Nurse (Critical Care and Emergency),80,9
2024-11,254415 Registered Nurse (Critical Care and Emergency),85,1
2024-11,224311 Economist,90,11
2024-11,234514 Biotechnologist,95,2
2024-11,234514 Biotechnologist,90,21
2024-11,234514 Biotechnologist,100,1
2024-11,234514 Biotechnologist,105,1
2024-11,331111 Bricklayer,65,3
2024-11,331111 Bricklayer,75,1
2024-11,331111 Bricklayer,70,1
2024-11,331111 Bricklayer,90,1
2024-11,139912 Environmental Manager,95,3
2024-11,139912 Environmental Manager,90,3
2024-11,233511 Industrial Engineer,95,4
2024-11,233511 Industrial Engineer,90,16
2024-11,233511 Industrial Engineer,85,1
2024-11,254412 Registered Nurse (Aged Care),75,50
2024-11,254412 Registered Nurse (Aged Care),70,1
2024-11,254412 Registered Nurse (Aged Care),80,10
2024-11,254412 Registered Nurse (Aged Care),90,1
2024-11,254412 Registered Nurse (Aged Care),85,2
2024-11,253999 Medical Practitioners nec,75,29
2024-11,253999 Medical Practitioners nec,80,28
2024-11,253999 Medical Practitioners nec,90,5
2024-11,253999 Medical Practitioners nec,85,8
2024-11,234412 Geophysicist,90,2
2024-11,224113 Statistician,95,3
2024-11,224113 Statistician,90,38
2024-11,341111 Electrician (General),65,4
2024-11,341111 Electrician (General),75,6
2024-11,341111 Electrician (General),70,4
2024-11,341111 Electrician (General),100,1
2024-11,252511 Physiotherapist,75,69
2024-11,252511 Physiotherapist,80,36
2024-11,252511 Physiotherapist,95,1
2024-11,252511 Physiotherapist,90,6
2024-11,252511 Physiotherapist,85,9
2024-11,251211 Medical Diagnostic Radiographer,75,14
2024-11,251211 Medical Diagnostic Radiographer,80,2
2024-11,251211 Medical Diagnostic Radiographer,85,3
2024-11,312212 Civil Engineering Technician,75,98
2024-11,312212 Civil Engineering Technician,70,11
2024-11,312212 Civil Engineering Technician,80,32
2024-11,312212 Civil Engineering Technician,95,1
