AsAt,Occupation,Score,only
05/2026,221111 Accountant (General),80,442
05/2026,221111 Accountant (General),95,187
05/2026,221111 Accountant (General),90,317
05/2026,221111 Accountant (General),85,441
05/2026,221111 Accountant (General),55,23
05/2026,221111 Accountant (General),60,88
05/2026,221111 Accountant (General),50,5
05/2026,221111 Accountant (General),110,1
05/2026,221111 Accountant (General),100,58
05/2026,221111 Accountant (General),105,3
05/2026,221111 Accountant (General),45,6
05/2026,221111 Accountant (General),35,1
05/2026,262112 ICT Security Specialist,65,190
05/2026,262112 ICT Security Specialist,75,237
05/2026,262112 ICT Security Specialist,70,209
05/2026,262112 ICT Security Specialist,80,260
05/2026,262112 ICT Security Specialist,95,128
05/2026,262112 ICT Security Specialist,90,228
05/2026,262112 ICT Security Specialist,85,222
05/2026,262112 ICT Security Specialist,55,20
05/2026,262112 ICT Security Specialist,60,36
05/2026,262112 ICT Security Specialist,50,6
05/2026,262112 ICT Security Specialist,100,32
05/2026,262112 ICT Security Specialist,105,1
05/2026,221213 External Auditor,65,240
05/2026,221213 External Auditor,75,329
05/2026,221213 External Auditor,70,354
05/2026,221213 External Auditor,80,355
05/2026,221213 External Auditor,95,46
05/2026,221213 External Auditor,90,215
05/2026,221213 External Auditor,85,356
05/2026,221213 External Auditor,55,5
05/2026,221213 External Auditor,60,57
05/2026,221213 External Auditor,50,2
05/2026,221213 External Auditor,100,10
05/2026,234515 Botanist,65,6
05/2026,234515 Botanist,75,2
05/2026,234515 Botanist,80,1
05/2026,234515 Botanist,50,1
05/2026,233512 Mechanical Engineer,65,525
05/2026,233512 Mechanical Engineer,75,635
05/2026,233512 Mechanical Engineer,70,576
05/2026,233512 Mechanical Engineer,80,498
05/2026,233512 Mechanical Engineer,95,88
05/2026,233512 Mechanical Engineer,90,325
05/2026,233512 Mechanical Engineer,85,546
05/2026,233512 Mechanical Engineer,55,75
05/2026,233512 Mechanical Engineer,60,186
05/2026,233512 Mechanical Engineer,50,25
05/2026,233512 Mechanical Engineer,100,23
05/2026,233512 Mechanical Engineer,105,2
05/2026,233512 Mechanical Engineer,40,4
05/2026,233512 Mechanical Engineer,45,4
05/2026,233999 Engineering Professionals nec,65,83
05/2026,233999 Engineering Professionals nec,75,106
05/2026,233999 Engineering Professionals nec,70,93
05/2026,233999 Engineering Professionals nec,80,101
05/2026,233999 Engineering Professionals nec,95,36
05/2026,233999 Engineering Professionals nec,90,58
05/2026,233999 Engineering Professionals nec,85,117
05/2026,233999 Engineering Professionals nec,55,15
05/2026,233999 Engineering Professionals nec,60,16
05/2026,233999 Engineering Professionals nec,50,5
05/2026,233999 Engineering Professionals nec,100,8
05/2026,233999 Engineering Professionals nec,105,1
05/2026,233999 Engineering Professionals nec,40,1
05/2026,234111 Agricultural Consultant,65,93
05/2026,234111 Agricultural Consultant,75,58
05/2026,234111 Agricultural Consultant,70,75
05/2026,234111 Agricultural Consultant,80,49
05/2026,234111 Agricultural Consultant,95,3
05/2026,234111 Agricultural Consultant,90,11
05/2026,234111 Agricultural Consultant,85,22
05/2026,234111 Agricultural Consultant,55,15
05/2026,234111 Agricultural Consultant,60,24
05/2026,234111 Agricultural Consultant,50,3
05/2026,234111 Agricultural Consultant,45,1
05/2026,254418 Registered Nurse (Medical),65,217
05/2026,254418 Registered Nurse (Medical),75,119
05/2026,254418 Registered Nurse (Medical),70,154
05/2026,254418 Registered Nurse (Medical),80,54
05/2026,254418 Registered Nurse (Medical),90,5
05/2026,254418 Registered Nurse (Medical),85,13
05/2026,254418 Registered Nurse (Medical),55,25
05/2026,254418 Registered Nurse (Medical),60,49
05/2026,254418 Registered Nurse (Medical),50,3
05/2026,351311 Chef,65,766
05/2026,351311 Chef,75,684
05/2026,351311 Chef,70,843
05/2026,351311 Chef,80,425
05/2026,351311 Chef,95,33
05/2026,351311 Chef,90,136
05/2026,351311 Chef,85,207
05/2026,351311 Chef,55,64
05/2026,351311 Chef,60,177
05/2026,351311 Chef,50,29
05/2026,351311 Chef,100,3
05/2026,351311 Chef,105,3
05/2026,351311 Chef,40,2
05/2026,351311 Chef,45,5
05/2026,233411 Electronics Engineer,65,219
05/2026,233411 Electronics Engineer,75,205
05/2026,233411 Electronics Engineer,70,217
05/2026,233411 Electronics Engineer,80,179
05/2026,233411 Electronics Engineer,95,32
05/2026,233411 Electronics Engineer,90,90
05/2026,233411 Electronics Engineer,85,171
05/2026,233411 Electronics Engineer,55,27
05/2026,233411 Electronics Engineer,60,72
05/2026,233411 Electronics Engineer,50,14
05/2026,233411 Electronics Engineer,100,5
05/2026,233411 Electronics Engineer,105,1
05/2026,233411 Electronics Engineer,45,5
05/2026,233411 Electronics Engineer,25,1
05/2026,323212 Fitter and Turner,70,1
05/2026,323212 Fitter and Turner,55,1
05/2026,323212 Fitter and Turner,60,1
05/2026,261112 Systems Analyst,65,263
05/2026,261112 Systems Analyst,75,434
05/2026,261112 Systems Analyst,70,328
05/2026,261112 Systems Analyst,80,461
05/2026,261112 Systems Analyst,95,270
05/2026,261112 Systems Analyst,90,498
05/2026,261112 Systems Analyst,85,435
05/2026,261112 Systems Analyst,55,17
05/2026,261112 Systems Analyst,60,46
05/2026,261112 Systems Analyst,50,7
05/2026,261112 Systems Analyst,100,107
05/2026,261112 Systems Analyst,105,5
05/2026,261112 Systems Analyst,40,1
05/2026,233912 Agricultural Engineer,65,19
05/2026,233912 Agricultural Engineer,75,9
05/2026,233912 Agricultural Engineer,70,9
05/2026,233912 Agricultural Engineer,80,3
05/2026,233912 Agricultural Engineer,95,1
05/2026,233912 Agricultural Engineer,90,3
05/2026,233912 Agricultural Engineer,85,5
05/2026,233912 Agricultural Engineer,55,1
05/2026,233912 Agricultural Engineer,60,3
05/2026,263111 Computer Network and Systems Engineer,65,222
05/2026,263111 Computer Network and Systems Engineer,75,398
05/2026,263111 Computer Network and Systems Engineer,70,260
05/2026,263111 Computer Network and Systems Engineer,80,308
05/2026,263111 Computer Network and Systems Engineer,95,133
05/2026,263111 Computer Network and Systems Engineer,90,278
05/2026,263111 Computer Network and Systems Engineer,85,271
05/2026,263111 Computer Network and Systems Engineer,55,34
05/2026,263111 Computer Network and Systems Engineer,60,54
05/2026,263111 Computer Network and Systems Engineer,50,8
05/2026,263111 Computer Network and Systems Engineer,100,70
05/2026,263111 Computer Network and Systems Engineer,105,1
05/2026,263111 Computer Network and Systems Engineer,40,1
05/2026,263111 Computer Network and Systems Engineer,45,1
05/2026,263111 Computer Network and Systems Engineer,30,1
05/2026,234211 Chemist,65,66
05/2026,234211 Chemist,75,69
05/2026,234211 Chemist,70,52
05/2026,234211 Chemist,80,47
05/2026,234211 Chemist,95,3
05/2026,234211 Chemist,90,15
05/2026,234211 Chemist,85,36
05/2026,234211 Chemist,55,6
05/2026,234211 Chemist,60,15
05/2026,234211 Chemist,50,3
05/2026,234211 Chemist,100,3
05/2026,234211 Chemist,105,1
05/2026,271311 Solicitor,65,39
05/2026,271311 Solicitor,75,72
05/2026,271311 Solicitor,70,63
05/2026,271311 Solicitor,80,103
05/2026,271311 Solicitor,95,3
05/2026,271311 Solicitor,90,50
05/2026,271311 Solicitor,85,98
05/2026,271311 Solicitor,55,3
05/2026,271311 Solicitor,60,17
05/2026,271311 Solicitor,50,1
05/2026,271311 Solicitor,45,1
05/2026,233111 Chemical Engineer,65,85
05/2026,233111 Chemical Engineer,75,133
05/2026,233111 Chemical Engineer,70,122
05/2026,233111 Chemical Engineer,80,114
05/2026,233111 Chemical Engineer,95,9
05/2026,233111 Chemical Engineer,90,38
05/2026,233111 Chemical Engineer,85,68
05/2026,233111 Chemical Engineer,55,11
05/2026,233111 Chemical Engineer,60,28
05/2026,233111 Chemical Engineer,50,4
05/2026,233111 Chemical Engineer,100,1
05/2026,233111 Chemical Engineer,40,1
05/2026,233914 Engineering Technologist,65,460
05/2026,233914 Engineering Technologist,75,495
05/2026,233914 Engineering Technologist,70,529
05/2026,233914 Engineering Technologist,80,427
05/2026,233914 Engineering Technologist,95,77
05/2026,233914 Engineering Technologist,90,269
05/2026,233914 Engineering Technologist,85,434
05/2026,233914 Engineering Technologist,55,51
05/2026,233914 Engineering Technologist,60,122
05/2026,233914 Engineering Technologist,50,17
05/2026,233914 Engineering Technologist,100,26
05/2026,233914 Engineering Technologist,105,1
05/2026,233914 Engineering Technologist,45,6
05/2026,233914 Engineering Technologist,30,1
05/2026,312312 Electrical Engineering Technician,65,42
05/2026,312312 Electrical Engineering Technician,75,39
05/2026,312312 Electrical Engineering Technician,70,32
05/2026,312312 Electrical Engineering Technician,80,18
05/2026,312312 Electrical Engineering Technician,90,25
05/2026,312312 Electrical Engineering Technician,85,34
05/2026,312312 Electrical Engineering Technician,55,4
05/2026,312312 Electrical Engineering Technician,60,12
05/2026,312312 Electrical Engineering Technician,40,1
05/2026,233913 Biomedical Engineer,65,39
05/2026,233913 Biomedical Engineer,75,38
05/2026,233913 Biomedical Engineer,70,44
05/2026,233913 Biomedical Engineer,80,51
05/2026,233913 Biomedical Engineer,95,12
05/2026,233913 Biomedical Engineer,90,22
05/2026,233913 Biomedical Engineer,85,43
05/2026,233913 Biomedical Engineer,55,8
05/2026,233913 Biomedical Engineer,60,9
05/2026,233913 Biomedical Engineer,50,1
05/2026,233913 Biomedical Engineer,100,5
05/2026,233913 Biomedical Engineer,105,1
05/2026,233913 Biomedical Engineer,45,1
05/2026,221214 Internal Auditor,65,61
05/2026,221214 Internal Auditor,75,54
05/2026,221214 Internal Auditor,70,49
05/2026,221214 Internal Auditor,80,35
05/2026,221214 Internal Auditor,95,4
05/2026,221214 Internal Auditor,90,15
05/2026,221214 Internal Auditor,85,36
05/2026,221214 Internal Auditor,55,8
05/2026,221214 Internal Auditor,60,11
05/2026,221214 Internal Auditor,100,4
05/2026,221214 Internal Auditor,45,1
05/2026,323211 Fitter (General),65,25
05/2026,323211 Fitter (General),75,15
05/2026,323211 Fitter (General),70,20
05/2026,323211 Fitter (General),80,5
05/2026,323211 Fitter (General),85,4
05/2026,323211 Fitter (General),55,1
05/2026,323211 Fitter (General),60,7
05/2026,323211 Fitter (General),50,1
05/2026,323211 Fitter (General),40,1
05/2026,323211 Fitter (General),45,1
05/2026,323211 Fitter (General),35,1
05/2026,261399 Software and Applications Programmers nec,65,182
05/2026,261399 Software and Applications Programmers nec,75,311
05/2026,261399 Software and Applications Programmers nec,70,268
05/2026,261399 Software and Applications Programmers nec,80,307
05/2026,261399 Software and Applications Programmers nec,95,287
05/2026,261399 Software and Applications Programmers nec,90,485
05/2026,261399 Software and Applications Programmers nec,85,346
05/2026,261399 Software and Applications Programmers nec,55,13
05/2026,261399 Software and Applications Programmers nec,60,31
05/2026,261399 Software and Applications Programmers nec,50,6
05/2026,261399 Software and Applications Programmers nec,100,155
05/2026,261399 Software and Applications Programmers nec,105,26
05/2026,261399 Software and Applications Programmers nec,45,1
05/2026,233513 Production or Plant Engineer,65,64
05/2026,233513 Production or Plant Engineer,75,79
05/2026,233513 Production or Plant Engineer,70,68
05/2026,233513 Production or Plant Engineer,80,58
05/2026,233513 Production or Plant Engineer,95,7
05/2026,233513 Production or Plant Engineer,90,20
05/2026,233513 Production or Plant Engineer,85,43
05/2026,233513 Production or Plant Engineer,55,17
05/2026,233513 Production or Plant Engineer,60,18
05/2026,233513 Production or Plant Engineer,50,3
05/2026,233513 Production or Plant Engineer,40,1
05/2026,233311 Electrical Engineer,65,308
05/2026,233311 Electrical Engineer,75,380
05/2026,233311 Electrical Engineer,70,352
05/2026,233311 Electrical Engineer,80,311
05/2026,233311 Electrical Engineer,95,53
05/2026,233311 Electrical Engineer,90,141
05/2026,233311 Electrical Engineer,85,263
05/2026,233311 Electrical Engineer,55,43
05/2026,233311 Electrical Engineer,60,104
05/2026,233311 Electrical Engineer,50,8
05/2026,233311 Electrical Engineer,100,12
05/2026,233311 Electrical Engineer,105,1
05/2026,233311 Electrical Engineer,45,11
05/2026,232111 Architect,65,75
05/2026,232111 Architect,75,141
05/2026,232111 Architect,70,124
05/2026,232111 Architect,80,90
05/2026,232111 Architect,95,3
05/2026,232111 Architect,90,24
05/2026,232111 Architect,85,93
05/2026,232111 Architect,55,5
05/2026,232111 Architect,60,24
05/2026,234212 Food Technologist,65,51
05/2026,234212 Food Technologist,75,71
05/2026,234212 Food Technologist,70,65
05/2026,234212 Food Technologist,80,62
05/2026,234212 Food Technologist,95,6
05/2026,234212 Food Technologist,90,36
05/2026,234212 Food Technologist,85,26
05/2026,234212 Food Technologist,55,10
05/2026,234212 Food Technologist,60,18
05/2026,234212 Food Technologist,50,2
05/2026,234212 Food Technologist,100,1
05/2026,234212 Food Technologist,105,1
05/2026,234212 Food Technologist,45,1
05/2026,221112 Management Accountant,65,81
05/2026,221112 Management Accountant,75,135
05/2026,221112 Management Accountant,70,139
05/2026,221112 Management Accountant,80,120
05/2026,221112 Management Accountant,95,38
05/2026,221112 Management Accountant,90,82
05/2026,221112 Management Accountant,85,124
05/2026,221112 Management Accountant,55,6
05/2026,221112 Management Accountant,60,20
05/2026,221112 Management Accountant,50,2
05/2026,221112 Management Accountant,100,15
05/2026,221112 Management Accountant,105,1
05/2026,221112 Management Accountant,45,1
05/2026,312311 Electrical Engineering Draftsperson,65,8
05/2026,312311 Electrical Engineering Draftsperson,75,10
05/2026,312311 Electrical Engineering Draftsperson,70,12
05/2026,312311 Electrical Engineering Draftsperson,80,4
05/2026,312311 Electrical Engineering Draftsperson,90,1
05/2026,312311 Electrical Engineering Draftsperson,85,1
05/2026,312311 Electrical Engineering Draftsperson,55,1
05/2026,312311 Electrical Engineering Draftsperson,60,4
05/2026,224711 Management Consultant,65,27
05/2026,224711 Management Consultant,75,76
05/2026,224711 Management Consultant,70,46
05/2026,224711 Management Consultant,80,70
05/2026,224711 Management Consultant,95,3
05/2026,224711 Management Consultant,90,40
05/2026,224711 Management Consultant,85,70
05/2026,224711 Management Consultant,55,1
05/2026,224711 Management Consultant,60,13
05/2026,224711 Management Consultant,50,1
05/2026,224711 Management Consultant,45,1
05/2026,234711 Veterinarian,65,9
05/2026,234711 Veterinarian,75,23
05/2026,234711 Veterinarian,70,8
05/2026,234711 Veterinarian,80,19
05/2026,234711 Veterinarian,95,4
05/2026,234711 Veterinarian,90,15
05/2026,234711 Veterinarian,85,26
05/2026,234711 Veterinarian,55,1
05/2026,234711 Veterinarian,100,1
05/2026,241411 Secondary School Teacher,65,210
05/2026,241411 Secondary School Teacher,75,273
05/2026,241411 Secondary School Teacher,70,287
05/2026,241411 Secondary School Teacher,80,165
05/2026,241411 Secondary School Teacher,95,1
05/2026,241411 Secondary School Teacher,90,16
05/2026,241411 Secondary School Teacher,85,81
05/2026,241411 Secondary School Teacher,55,14
05/2026,241411 Secondary School Teacher,60,38
05/2026,241411 Secondary School Teacher,50,4
05/2026,241411 Secondary School Teacher,100,1
05/2026,241411 Secondary School Teacher,40,1
05/2026,241411 Secondary School Teacher,45,2
05/2026,134111 Child Care Centre Manager,65,2
05/2026,134111 Child Care Centre Manager,70,6
05/2026,134111 Child Care Centre Manager,80,2
05/2026,134111 Child Care Centre Manager,60,2
05/2026,224111 Actuary,65,4
05/2026,224111 Actuary,75,25
05/2026,224111 Actuary,70,8
05/2026,224111 Actuary,80,23
05/2026,224111 Actuary,95,3
05/2026,224111 Actuary,90,14
05/2026,224111 Actuary,85,27
05/2026,224111 Actuary,55,1
05/2026,224111 Actuary,60,2
05/2026,224111 Actuary,45,1
05/2026,333111 Glazier,65,3
05/2026,333111 Glazier,75,1
05/2026,333111 Glazier,60,1
05/2026,242111 University Lecturer,65,208
05/2026,242111 University Lecturer,75,185
05/2026,242111 University Lecturer,70,180
05/2026,242111 University Lecturer,80,165
05/2026,242111 University Lecturer,95,43
05/2026,242111 University Lecturer,90,97
05/2026,242111 University Lecturer,85,116
05/2026,242111 University Lecturer,55,21
05/2026,242111 University Lecturer,60,59
05/2026,242111 University Lecturer,50,9
05/2026,242111 University Lecturer,100,21
05/2026,242111 University Lecturer,105,10
05/2026,242111 University Lecturer,45,1
05/2026,263312 Telecommunications Network Engineer,65,36
05/2026,263312 Telecommunications Network Engineer,75,25
05/2026,263312 Telecommunications Network Engineer,70,33
05/2026,263312 Telecommunications Network Engineer,80,25
05/2026,263312 Telecommunications Network Engineer,95,4
05/2026,263312 Telecommunications Network Engineer,90,14
05/2026,263312 Telecommunications Network Engineer,85,17
05/2026,263312 Telecommunications Network Engineer,55,4
05/2026,263312 Telecommunications Network Engineer,60,3
05/2026,133211 Engineering Manager,65,56
05/2026,133211 Engineering Manager,75,49
05/2026,133211 Engineering Manager,70,51
05/2026,133211 Engineering Manager,80,14
05/2026,133211 Engineering Manager,95,1
05/2026,133211 Engineering Manager,90,2
05/2026,133211 Engineering Manager,85,15
05/2026,133211 Engineering Manager,55,17
05/2026,133211 Engineering Manager,60,13
05/2026,133211 Engineering Manager,50,1
05/2026,133211 Engineering Manager,40,1
05/2026,133211 Engineering Manager,45,3
05/2026,233213 Quantity Surveyor,65,92
05/2026,233213 Quantity Surveyor,75,125
05/2026,233213 Quantity Surveyor,70,115
05/2026,233213 Quantity Surveyor,80,85
05/2026,233213 Quantity Surveyor,95,2
05/2026,233213 Quantity Surveyor,90,35
05/2026,233213 Quantity Surveyor,85,68
05/2026,233213 Quantity Surveyor,55,8
05/2026,233213 Quantity Surveyor,60,27
05/2026,233213 Quantity Surveyor,40,1
05/2026,234599 Life Scientists nec,65,3
05/2026,234599 Life Scientists nec,75,9
05/2026,234599 Life Scientists nec,70,7
05/2026,234599 Life Scientists nec,80,2
05/2026,234599 Life Scientists nec,95,2
05/2026,234599 Life Scientists nec,90,8
05/2026,234599 Life Scientists nec,85,7
05/2026,234599 Life Scientists nec,55,3
05/2026,234599 Life Scientists nec,50,1
05/2026,234599 Life Scientists nec,100,3
05/2026,254422 Registered Nurse (Mental Health),65,17
05/2026,254422 Registered Nurse (Mental Health),75,47
05/2026,254422 Registered Nurse (Mental Health),70,31
05/2026,254422 Registered Nurse (Mental Health),80,23
05/2026,254422 Registered Nurse (Mental Health),90,1
05/2026,254422 Registered Nurse (Mental Health),85,11
05/2026,254422 Registered Nurse (Mental Health),55,3
05/2026,254422 Registered Nurse (Mental Health),60,6
05/2026,254422 Registered Nurse (Mental Health),45,2
05/2026,312211 Civil Engineering Draftsperson,65,536
05/2026,312211 Civil Engineering Draftsperson,75,538
05/2026,312211 Civil Engineering Draftsperson,70,633
05/2026,312211 Civil Engineering Draftsperson,80,342
05/2026,312211 Civil Engineering Draftsperson,95,7
05/2026,312211 Civil Engineering Draftsperson,90,32
05/2026,312211 Civil Engineering Draftsperson,85,196
05/2026,312211 Civil Engineering Draftsperson,55,69
05/2026,312211 Civil Engineering Draftsperson,60,149
05/2026,312211 Civil Engineering Draftsperson,50,23
05/2026,312211 Civil Engineering Draftsperson,40,2
05/2026,312211 Civil Engineering Draftsperson,45,10
05/2026,321212 Diesel Motor Mechanic,65,20
05/2026,321212 Diesel Motor Mechanic,75,15
05/2026,321212 Diesel Motor Mechanic,70,9
05/2026,321212 Diesel Motor Mechanic,80,3
05/2026,321212 Diesel Motor Mechanic,95,2
05/2026,321212 Diesel Motor Mechanic,85,2
05/2026,321212 Diesel Motor Mechanic,55,3
05/2026,321212 Diesel Motor Mechanic,60,4
05/2026,321212 Diesel Motor Mechanic,50,1
05/2026,234511 Life Scientist (General),65,15
05/2026,234511 Life Scientist (General),75,25
05/2026,234511 Life Scientist (General),70,16
05/2026,234511 Life Scientist (General),80,9
05/2026,234511 Life Scientist (General),95,7
05/2026,234511 Life Scientist (General),90,10
05/2026,234511 Life Scientist (General),85,26
05/2026,234511 Life Scientist (General),55,4
05/2026,234511 Life Scientist (General),60,9
05/2026,234511 Life Scientist (General),50,1
05/2026,234511 Life Scientist (General),100,4
05/2026,254423 Registered Nurse (Perioperative),65,64
05/2026,254423 Registered Nurse (Perioperative),75,40
05/2026,254423 Registered Nurse (Perioperative),70,50
05/2026,254423 Registered Nurse (Perioperative),80,18
05/2026,254423 Registered Nurse (Perioperative),90,2
05/2026,254423 Registered Nurse (Perioperative),85,2
05/2026,254423 Registered Nurse (Perioperative),55,6
05/2026,254423 Registered Nurse (Perioperative),60,6
05/2026,254423 Registered Nurse (Perioperative),50,2
05/2026,233212 Geotechnical Engineer,65,13
05/2026,233212 Geotechnical Engineer,75,23
05/2026,233212 Geotechnical Engineer,70,26
05/2026,233212 Geotechnical Engineer,80,21
05/2026,233212 Geotechnical Engineer,95,1
05/2026,233212 Geotechnical Engineer,90,5
05/2026,233212 Geotechnical Engineer,85,18
05/2026,233212 Geotechnical Engineer,60,7
05/2026,233212 Geotechnical Engineer,100,1
05/2026,232212 Surveyor,65,24
05/2026,232212 Surveyor,75,23
05/2026,232212 Surveyor,70,11
05/2026,232212 Surveyor,80,7
05/2026,232212 Surveyor,90,4
05/2026,232212 Surveyor,85,5
05/2026,232212 Surveyor,55,5
05/2026,232212 Surveyor,60,3
05/2026,254499 Registered Nurses nec,65,665
05/2026,254499 Registered Nurses nec,75,954
05/2026,254499 Registered Nurses nec,70,940
05/2026,254499 Registered Nurses nec,80,597
05/2026,254499 Registered Nurses nec,90,26
05/2026,254499 Registered Nurses nec,85,214
05/2026,254499 Registered Nurses nec,55,48
05/2026,254499 Registered Nurses nec,60,111
05/2026,254499 Registered Nurses nec,50,14
05/2026,254499 Registered Nurses nec,45,2
05/2026,221113 Taxation Accountant,65,86
05/2026,221113 Taxation Accountant,75,161
05/2026,221113 Taxation Accountant,70,173
05/2026,221113 Taxation Accountant,80,156
05/2026,221113 Taxation Accountant,95,55
05/2026,221113 Taxation Accountant,90,117
05/2026,221113 Taxation Accountant,85,190
05/2026,221113 Taxation Accountant,55,3
05/2026,221113 Taxation Accountant,60,15
05/2026,221113 Taxation Accountant,50,2
05/2026,221113 Taxation Accountant,100,24
05/2026,323313 Locksmith,75,1
05/2026,323313 Locksmith,70,2
05/2026,323313 Locksmith,55,1
05/2026,224512 Valuer,65,5
05/2026,224512 Valuer,75,12
05/2026,224512 Valuer,70,6
05/2026,224512 Valuer,80,15
05/2026,224512 Valuer,90,2
05/2026,224512 Valuer,85,8
05/2026,224512 Valuer,60,1
05/2026,224512 Valuer,30,1
05/2026,261311 Analyst Programmer,65,240
05/2026,261311 Analyst Programmer,75,423
05/2026,261311 Analyst Programmer,70,304
05/2026,261311 Analyst Programmer,80,437
05/2026,261311 Analyst Programmer,95,338
05/2026,261311 Analyst Programmer,90,685
05/2026,261311 Analyst Programmer,85,540
05/2026,261311 Analyst Programmer,55,21
05/2026,261311 Analyst Programmer,60,52
05/2026,261311 Analyst Programmer,50,7
05/2026,261311 Analyst Programmer,110,1
05/2026,261311 Analyst Programmer,100,127
05/2026,261311 Analyst Programmer,105,8
05/2026,261311 Analyst Programmer,45,1
05/2026,234516 Marine Biologist,65,3
05/2026,234516 Marine Biologist,75,5
05/2026,234516 Marine Biologist,70,1
05/2026,234516 Marine Biologist,80,6
05/2026,234516 Marine Biologist,95,1
05/2026,234516 Marine Biologist,90,3
05/2026,234516 Marine Biologist,85,3
05/2026,234516 Marine Biologist,60,2
05/2026,234516 Marine Biologist,100,1
05/2026,234516 Marine Biologist,105,1
05/2026,233215 Transport Engineer,65,25
05/2026,233215 Transport Engineer,75,31
05/2026,233215 Transport Engineer,70,23
05/2026,233215 Transport Engineer,80,23
05/2026,233215 Transport Engineer,95,1
05/2026,233215 Transport Engineer,90,3
05/2026,233215 Transport Engineer,85,17
05/2026,233215 Transport Engineer,55,4
05/2026,233215 Transport Engineer,60,2
05/2026,233215 Transport Engineer,50,1
05/2026,233215 Transport Engineer,100,2
05/2026,233214 Structural Engineer,65,77
05/2026,233214 Structural Engineer,75,76
05/2026,233214 Structural Engineer,70,65
05/2026,233214 Structural Engineer,80,74
05/2026,233214 Structural Engineer,95,8
05/2026,233214 Structural Engineer,90,34
05/2026,233214 Structural Engineer,85,48
05/2026,233214 Structural Engineer,55,5
05/2026,233214 Structural Engineer,60,8
05/2026,233214 Structural Engineer,110,1
05/2026,233214 Structural Engineer,100,2
05/2026,233611 Mining Engineer (excluding Petroleum),65,36
05/2026,233611 Mining Engineer (excluding Petroleum),75,29
05/2026,233611 Mining Engineer (excluding Petroleum),70,42
05/2026,233611 Mining Engineer (excluding Petroleum),80,21
05/2026,233611 Mining Engineer (excluding Petroleum),95,2
05/2026,233611 Mining Engineer (excluding Petroleum),90,7
05/2026,233611 Mining Engineer (excluding Petroleum),85,26
05/2026,233611 Mining Engineer (excluding Petroleum),55,3
05/2026,233611 Mining Engineer (excluding Petroleum),60,5
05/2026,233611 Mining Engineer (excluding Petroleum),50,2
05/2026,233611 Mining Engineer (excluding Petroleum),45,2
05/2026,254417 Registered Nurse (Disability and Rehabilitation),65,10
05/2026,254417 Registered Nurse (Disability and Rehabilitation),75,13
05/2026,254417 Registered Nurse (Disability and Rehabilitation),70,12
05/2026,254417 Registered Nurse (Disability and Rehabilitation),80,4
05/2026,254417 Registered Nurse (Disability and Rehabilitation),85,1
05/2026,261211 Multimedia Specialist,65,15
05/2026,261211 Multimedia Specialist,75,36
05/2026,261211 Multimedia Specialist,70,29
05/2026,261211 Multimedia Specialist,80,30
05/2026,261211 Multimedia Specialist,95,24
05/2026,261211 Multimedia Specialist,90,64
05/2026,261211 Multimedia Specialist,85,44
05/2026,261211 Multimedia Specialist,55,2
05/2026,261211 Multimedia Specialist,60,1
05/2026,261211 Multimedia Specialist,50,2
05/2026,261211 Multimedia Specialist,110,1
05/2026,261211 Multimedia Specialist,100,6
05/2026,261211 Multimedia Specialist,105,1
05/2026,263311 Telecommunications Engineer,65,80
05/2026,263311 Telecommunications Engineer,75,171
05/2026,263311 Telecommunications Engineer,70,66
05/2026,263311 Telecommunications Engineer,80,95
05/2026,263311 Telecommunications Engineer,95,15
05/2026,263311 Telecommunications Engineer,90,45
05/2026,263311 Telecommunications Engineer,85,85
05/2026,263311 Telecommunications Engineer,55,14
05/2026,263311 Telecommunications Engineer,60,32
05/2026,263311 Telecommunications Engineer,50,3
05/2026,263311 Telecommunications Engineer,100,2
05/2026,263311 Telecommunications Engineer,45,3
05/2026,322313 Welder (First Class),65,58
05/2026,322313 Welder (First Class),75,52
05/2026,322313 Welder (First Class),70,52
05/2026,322313 Welder (First Class),80,38
05/2026,322313 Welder (First Class),90,6
05/2026,322313 Welder (First Class),85,8
05/2026,322313 Welder (First Class),55,5
05/2026,322313 Welder (First Class),60,22
05/2026,322313 Welder (First Class),45,1
05/2026,234912 Metallurgist,65,15
05/2026,234912 Metallurgist,75,9
05/2026,234912 Metallurgist,70,8
05/2026,234912 Metallurgist,80,4
05/2026,234912 Metallurgist,85,4
05/2026,234912 Metallurgist,55,3
05/2026,234912 Metallurgist,60,4
05/2026,234912 Metallurgist,100,1
05/2026,234912 Metallurgist,105,1
05/2026,232214 Other Spatial Scientist,65,9
05/2026,232214 Other Spatial Scientist,75,15
05/2026,232214 Other Spatial Scientist,70,14
05/2026,232214 Other Spatial Scientist,80,9
05/2026,232214 Other Spatial Scientist,95,1
05/2026,232214 Other Spatial Scientist,85,18
05/2026,232214 Other Spatial Scientist,60,2
05/2026,133111 Construction Project Manager,65,289
05/2026,133111 Construction Project Manager,75,320
05/2026,133111 Construction Project Manager,70,287
05/2026,133111 Construction Project Manager,80,165
05/2026,133111 Construction Project Manager,95,5
05/2026,133111 Construction Project Manager,90,34
05/2026,133111 Construction Project Manager,85,93
05/2026,133111 Construction Project Manager,55,46
05/2026,133111 Construction Project Manager,60,63
05/2026,133111 Construction Project Manager,50,13
05/2026,133111 Construction Project Manager,40,3
05/2026,133111 Construction Project Manager,45,7
05/2026,253111 General Practitioner,65,35
05/2026,253111 General Practitioner,75,93
05/2026,253111 General Practitioner,70,66
