AsAt,OccGroup,Score,n,pool_doe_max,pool_doe_min
06/2026,2321 Architects and Landscape Architects,85,82,46262.20508101852,46002.66758101852
06/2026,2321 Architects and Landscape Architects,55,8,46181.204513888886,45707.80295138889
06/2026,2321 Architects and Landscape Architects,60,31,46252.205925925926,45537.25188657407
06/2026,2531 General Practitioners and Resident Medical officers,65,37,46229.212847222225,45569.20505787037
06/2026,2531 General Practitioners and Resident Medical officers,75,88,46259.20663194444,45789.679560185185
06/2026,2531 General Practitioners and Resident Medical officers,70,72,46255.208032407405,45587.20599537037
06/2026,2531 General Practitioners and Resident Medical officers,80,11,46247.20653935185,46181.94954861111
06/2026,2531 General Practitioners and Resident Medical officers,85,2,46250.20707175926,46186.73167824074
06/2026,2531 General Practitioners and Resident Medical officers,55,8,46260.20512731482,45599.214479166665
06/2026,2531 General Practitioners and Resident Medical officers,60,5,46214.205358796295,45680.260613425926
06/2026,2531 General Practitioners and Resident Medical officers,50,3,46267.208703703705,45636.76997685185
06/2026,2247 Management and Organisation Analysts,65,30,46263.210752314815,45474.625497685185
06/2026,2247 Management and Organisation Analysts,75,70,46267.208703703705,45542.14837962963
06/2026,2247 Management and Organisation Analysts,70,50,46261.20773148148,45473.970729166664
06/2026,2247 Management and Organisation Analysts,80,20,46256.2065625,46119.2046412037
06/2026,2247 Management and Organisation Analysts,95,1,46188.59228009259,46188.59228009259
06/2026,2247 Management and Organisation Analysts,90,4,46216.20761574074,46181.42847222222
06/2026,2247 Management and Organisation Analysts,85,7,46203.71320601852,46181.41364583333
06/2026,2247 Management and Organisation Analysts,55,1,45986.05752314815,45986.05752314815
06/2026,2247 Management and Organisation Analysts,60,14,46224.208078703705,45776.058599537035
06/2026,2247 Management and Organisation Analysts,50,2,46209.207141203704,45851.953206018516
06/2026,2247 Management and Organisation Analysts,45,1,46223.20545138889,46075.12070601852
06/2026,2347 Veterinarians,65,13,46258.205046296294,45654.21298611111
06/2026,2347 Veterinarians,75,23,46267.208703703705,45612.855405092596
06/2026,2347 Veterinarians,70,6,46177.33943287037,46055.80025462963
06/2026,2347 Veterinarians,80,5,46182.234247685185,46148.40591435185
06/2026,2347 Veterinarians,90,1,46196.88659722222,46196.88659722222
06/2026,2347 Veterinarians,85,1,46193.59976851852,46193.59976851852
06/2026,2347 Veterinarians,55,1,46162.204560185186,45929.49712962963
06/2026,2414 Secondary School Teachers,65,219,46266.21104166667,45544.6425
06/2026,2414 Secondary School Teachers,75,270,46266.21104166667,45852.21984953704
06/2026,2414 Secondary School Teachers,70,295,46266.21104166667,45477.74364583333
06/2026,2414 Secondary School Teachers,80,14,46241.20543981482,46178.475902777776
06/2026,2414 Secondary School Teachers,90,3,46192.409004629626,46181.46938657408
06/2026,2414 Secondary School Teachers,85,4,46203.036099537036,46178.48100694444
06/2026,2414 Secondary School Teachers,55,14,46254.20762731481,45925.20496527778
06/2026,2414 Secondary School Teachers,60,44,46266.21104166667,45526.85859953704
06/2026,2414 Secondary School Teachers,50,4,46148.20650462963,45607.74234953704
06/2026,2414 Secondary School Teachers,40,1,46091.20582175926,46091.20582175926
06/2026,2414 Secondary School Teachers,45,2,46119.705509259256,46070.955925925926
06/2026,1341 Child Care Centre Managers,65,2,46099.20460648148,45547.635717592595
06/2026,1341 Child Care Centre Managers,70,6,46225.20591435185,45622.66986111111
06/2026,1341 Child Care Centre Managers,60,2,46233.2058912037,45844.20417824074
06/2026,"2241 Actuaries, Mathematicians and Statisticians",65,38,46228.21045138889,45604.567141203705
06/2026,"2241 Actuaries, Mathematicians and Statisticians",75,88,46267.208703703705,45553.526712962965
06/2026,"2241 Actuaries, Mathematicians and Statisticians",70,51,46259.20663194444,45497.95693287037
06/2026,"2241 Actuaries, Mathematicians and Statisticians",80,78,46260.20512731482,45505.783541666664
06/2026,"2241 Actuaries, Mathematicians and Statisticians",95,4,46266.21104166667,46181.439930555556
06/2026,"2241 Actuaries, Mathematicians and Statisticians",90,33,46266.21104166667,46154.57797453704
06/2026,"2241 Actuaries, Mathematicians and Statisticians",85,104,46267.208703703705,45487.965995370374
06/2026,"2241 Actuaries, Mathematicians and Statisticians",55,4,46223.20545138889,46039.2053125
06/2026,"2241 Actuaries, Mathematicians and Statisticians",60,13,46255.208032407405,45546.20328703704
06/2026,"2241 Actuaries, Mathematicians and Statisticians",50,1,46226.20528935185,46134.9949537037
06/2026,"2241 Actuaries, Mathematicians and Statisticians",45,1,46078.205104166664,46078.205104166664
06/2026,3331 Glaziers,65,2,46178.52983796296,46152.22063657407
06/2026,3331 Glaziers,80,1,46198.92998842592,46198.92998842592
06/2026,3331 Glaziers,60,1,46021.20462962963,45782.53
06/2026,2421 University Lecturers and Tutors,65,206,46262.20508101852,45495.615381944444
06/2026,2421 University Lecturers and Tutors,75,188,46262.20508101852,45478.71585648148
06/2026,2421 University Lecturers and Tutors,70,193,46267.208703703705,45533.00927083333
06/2026,2421 University Lecturers and Tutors,80,166,46263.210752314815,45545.59409722222
06/2026,2421 University Lecturers and Tutors,95,56,46250.20707175926,45748.655810185184
06/2026,2421 University Lecturers and Tutors,90,103,46267.208703703705,45660.865069444444
06/2026,2421 University Lecturers and Tutors,85,111,46263.210752314815,45575.79263888889
06/2026,2421 University Lecturers and Tutors,55,23,46235.20949074074,45610.01224537037
06/2026,2421 University Lecturers and Tutors,60,60,46263.210752314815,45545.961481481485
06/2026,2421 University Lecturers and Tutors,50,10,46198.20940972222,45909.204988425925
06/2026,2421 University Lecturers and Tutors,100,26,46260.20512731482,45899.66303240741
06/2026,2421 University Lecturers and Tutors,105,8,46190.204375,45896.01572916667
06/2026,2421 University Lecturers and Tutors,45,1,45986.204421296294,45986.204421296294
06/2026,2633 Telecommunications Engineering Professionals,65,116,46264.213784722226,45491.43002314815
06/2026,2633 Telecommunications Engineering Professionals,75,196,46266.21104166667,45473.622511574074
06/2026,2633 Telecommunications Engineering Professionals,70,102,46262.20508101852,45500.82655092593
06/2026,2633 Telecommunications Engineering Professionals,80,123,46266.21104166667,45495.635462962964
06/2026,2633 Telecommunications Engineering Professionals,95,7,46244.20744212963,46075.21965277778
06/2026,2633 Telecommunications Engineering Professionals,90,62,46267.208703703705,45705.582766203705
06/2026,2633 Telecommunications Engineering Professionals,85,102,46266.21104166667,45540.5072337963
06/2026,2633 Telecommunications Engineering Professionals,55,20,46224.208078703705,45547.741481481484
06/2026,2633 Telecommunications Engineering Professionals,60,35,46250.20707175926,45599.45390046296
06/2026,2633 Telecommunications Engineering Professionals,50,4,46209.207141203704,45617.56925925926
06/2026,2633 Telecommunications Engineering Professionals,45,3,46163.20476851852,45541.513715277775
06/2026,1332 Engineering Managers,65,60,46263.210752314815,45548.62834490741
06/2026,1332 Engineering Managers,75,46,46265.211539351854,45533.61494212963
06/2026,1332 Engineering Managers,70,56,46261.20773148148,45502.89702546296
06/2026,1332 Engineering Managers,80,4,46240.20517361111,46135.78870370371
06/2026,1332 Engineering Managers,55,15,46264.213784722226,45804.20545138889
06/2026,1332 Engineering Managers,60,14,46194.2096875,45593.9762962963
06/2026,1332 Engineering Managers,40,2,46187.21666666667,45700.34609953704
06/2026,1332 Engineering Managers,45,2,46233.2058912037,45868.204247685186
06/2026,3122 Civil Engineering Draftspersons and Technicians,65,798,46266.21104166667,45474.59939814815
06/2026,3122 Civil Engineering Draftspersons and Technicians,75,771,46266.21104166667,45497.72484953704
06/2026,3122 Civil Engineering Draftspersons and Technicians,70,909,46267.208703703705,45503.04047453704
06/2026,3122 Civil Engineering Draftspersons and Technicians,80,506,46267.208703703705,45540.48863425926
06/2026,3122 Civil Engineering Draftspersons and Technicians,95,15,46231.209652777776,45974.51453703704
06/2026,3122 Civil Engineering Draftspersons and Technicians,90,95,46264.213784722226,45875.76803240741
06/2026,3122 Civil Engineering Draftspersons and Technicians,85,328,46260.74694444444,45554.730578703704
06/2026,3122 Civil Engineering Draftspersons and Technicians,55,112,46263.210752314815,45498.52755787037
06/2026,3122 Civil Engineering Draftspersons and Technicians,60,225,46266.21104166667,45513.392384259256
06/2026,3122 Civil Engineering Draftspersons and Technicians,50,32,46265.211539351854,45540.72798611111
06/2026,3122 Civil Engineering Draftspersons and Technicians,105,1,46111.48037037037,46111.48037037037
06/2026,3122 Civil Engineering Draftspersons and Technicians,40,5,46239.20633101852,45874.205046296294
06/2026,3122 Civil Engineering Draftspersons and Technicians,45,14,46227.21060185185,45544.48674768519
06/2026,1399 Other Specialist Managers,65,22,46253.205509259256,45552.83710648148
06/2026,1399 Other Specialist Managers,75,27,46254.20762731481,45548.81215277778
06/2026,1399 Other Specialist Managers,70,19,46262.20508101852,45576.729629629626
06/2026,1399 Other Specialist Managers,80,3,46215.213530092595,46161.78108796296
06/2026,1399 Other Specialist Managers,55,5,46255.208032407405,45779.22225694444
06/2026,1399 Other Specialist Managers,60,7,46239.20633101852,45855.832916666666
06/2026,1399 Other Specialist Managers,50,1,46173.89140046296,46173.89140046296
06/2026,2322 Cartographers and Surveyors,65,33,46240.20517361111,45502.90431712963
06/2026,2322 Cartographers and Surveyors,75,35,46262.20508101852,45514.77494212963
06/2026,2322 Cartographers and Surveyors,70,26,46265.211539351854,45493.772002314814
06/2026,2322 Cartographers and Surveyors,80,5,46259.20663194444,46144.21498842593
06/2026,2322 Cartographers and Surveyors,85,2,46203.911527777775,46203.48143518518
06/2026,2322 Cartographers and Surveyors,55,6,46179.20520833333,45880.42983796296
06/2026,2322 Cartographers and Surveyors,60,6,46192.20547453704,45756.02207175926
06/2026,2322 Cartographers and Surveyors,50,1,46175.63642361111,46175.63642361111
06/2026,3233 Precision Metal Trades Workers,75,1,45965.24605324074,45965.24605324074
06/2026,3233 Precision Metal Trades Workers,70,2,46108.204722222225,45702.56925925926
06/2026,3233 Precision Metal Trades Workers,55,1,46120.204375,45773.052777777775
06/2026,2245 Land Economists and Valuers,65,9,46234.20611111111,45587.40960648148
06/2026,2245 Land Economists and Valuers,75,15,46248.20554398148,45634.45515046296
06/2026,2245 Land Economists and Valuers,70,7,46250.20707175926,45707.44872685185
06/2026,2245 Land Economists and Valuers,80,3,46205.20616898148,46114.20517361111
06/2026,2245 Land Economists and Valuers,55,1,46200.635034722225,46200.635034722225
06/2026,2245 Land Economists and Valuers,60,1,46137.204976851855,46137.204976851855
06/2026,2245 Land Economists and Valuers,30,1,45972.719618055555,45972.719618055555
06/2026,2336 Mining Engineers,65,63,46262.20508101852,45537.86775462963
06/2026,2336 Mining Engineers,75,64,46263.210752314815,45554.96158564815
06/2026,2336 Mining Engineers,70,63,46257.20914351852,45536.93481481481
06/2026,2336 Mining Engineers,80,17,46247.20653935185,46135.70888888889
06/2026,2336 Mining Engineers,85,3,46199.966215277775,46197.52688657407
06/2026,2336 Mining Engineers,55,9,46222.22326388889,45713.20611111111
06/2026,2336 Mining Engineers,60,16,46251.204930555556,45747.208761574075
06/2026,2336 Mining Engineers,50,5,46201.211909722224,45718.68070601852
06/2026,2336 Mining Engineers,40,1,46129.20722222222,45540.58460648148
06/2026,2336 Mining Engineers,45,2,45945.0108912037,45895.071805555555
06/2026,2612 Multimedia Specialists and Web Developers,65,15,46264.213784722226,45541.72954861111
06/2026,2612 Multimedia Specialists and Web Developers,75,33,46265.211539351854,45602.68814814815
06/2026,2612 Multimedia Specialists and Web Developers,70,31,46264.213784722226,45699.87671296296
06/2026,2612 Multimedia Specialists and Web Developers,80,32,46267.208703703705,45637.79857638889
06/2026,2612 Multimedia Specialists and Web Developers,95,16,46246.21188657408,46057.53724537037
06/2026,2612 Multimedia Specialists and Web Developers,90,71,46261.20773148148,45642.59174768518
06/2026,2612 Multimedia Specialists and Web Developers,85,46,46254.20762731481,45541.55435185185
06/2026,2612 Multimedia Specialists and Web Developers,55,2,46123.21460648148,45705.81482638889
06/2026,2612 Multimedia Specialists and Web Developers,60,1,46074.207037037035,45790.41674768519
06/2026,2612 Multimedia Specialists and Web Developers,50,2,46097.20496527778,45706.65724537037
06/2026,2612 Multimedia Specialists and Web Developers,100,3,46197.25530092593,46190.421898148146
06/2026,3223 Structural Steel and Welding Trades Workers,65,83,46266.21104166667,45607.422002314815
06/2026,3223 Structural Steel and Welding Trades Workers,75,64,46245.210856481484,45626.53475694444
06/2026,3223 Structural Steel and Welding Trades Workers,70,78,46262.20508101852,45566.676782407405
06/2026,3223 Structural Steel and Welding Trades Workers,80,14,46230.20935185185,46120.39386574074
06/2026,3223 Structural Steel and Welding Trades Workers,55,8,46233.2058912037,45992.572060185186
06/2026,3223 Structural Steel and Welding Trades Workers,60,25,46252.205925925926,45565.48415509259
06/2026,3223 Structural Steel and Welding Trades Workers,50,3,46174.20638888889,45672.721608796295
06/2026,3223 Structural Steel and Welding Trades Workers,45,3,46226.20528935185,45720.20563657407
06/2026,2349 Other Natural and Physical Science Professionals,65,29,46255.208032407405,45549.94678240741
06/2026,2349 Other Natural and Physical Science Professionals,75,20,46192.69746527778,45518.76121527778
06/2026,2349 Other Natural and Physical Science Professionals,70,18,46257.20914351852,45512.9216087963
06/2026,2349 Other Natural and Physical Science Professionals,95,1,46185.207395833335,46177.90027777778
06/2026,2349 Other Natural and Physical Science Professionals,85,1,46177.873703703706,46177.873703703706
06/2026,2349 Other Natural and Physical Science Professionals,55,3,46228.21045138889,45863.20371527778
06/2026,2349 Other Natural and Physical Science Professionals,60,5,46240.20517361111,45621.20721064815
06/2026,1331 Construction Managers,65,295,46265.211539351854,45500.781493055554
06/2026,1331 Construction Managers,75,324,46266.21104166667,45495.03244212963
06/2026,1331 Construction Managers,70,298,46267.208703703705,45501.04570601852
06/2026,1331 Construction Managers,80,43,46267.208703703705,45913.958703703705
06/2026,1331 Construction Managers,90,1,46084.20892361111,46079.82739583333
06/2026,1331 Construction Managers,85,2,46183.01987268519,46177.42025462963
06/2026,1331 Construction Managers,55,52,46262.20508101852,45546.256574074076
06/2026,1331 Construction Managers,60,69,46259.20663194444,45540.80107638889
06/2026,1331 Construction Managers,50,12,46237.20798611111,45587.71934027778
06/2026,1331 Construction Managers,40,3,46217.208969907406,45795.205462962964
06/2026,1331 Construction Managers,45,8,46182.204201388886,45976.72657407408
06/2026,2343 Environmental Scientists,65,39,46267.208703703705,45544.45649305556
06/2026,2343 Environmental Scientists,75,48,46262.20508101852,45517.77792824074
06/2026,2343 Environmental Scientists,70,40,46266.21104166667,45475.731157407405
06/2026,2343 Environmental Scientists,80,20,46265.211539351854,46133.25269675926
06/2026,2343 Environmental Scientists,95,1,46192.78251157407,46192.78251157407
06/2026,2343 Environmental Scientists,90,1,46199.57136574074,46199.57136574074
06/2026,2343 Environmental Scientists,85,5,46240.20517361111,46177.508368055554
06/2026,2343 Environmental Scientists,55,4,46194.2096875,45887.73119212963
06/2026,2343 Environmental Scientists,60,11,46220.20799768518,45741.5634375
06/2026,2343 Environmental Scientists,50,1,46175.918900462966,46175.918900462966
06/2026,2343 Environmental Scientists,45,1,45971.20501157407,45553.93613425926
06/2026,2711 Barristers,75,2,46244.20744212963,45741.88311342592
06/2026,2711 Barristers,70,1,46108.204722222225,46108.204722222225
06/2026,3132 Telecommunications Technical Specialists,65,87,46262.20508101852,45544.37800925926
06/2026,3132 Telecommunications Technical Specialists,75,95,46255.208032407405,45553.65542824074
06/2026,3132 Telecommunications Technical Specialists,70,95,46255.208032407405,45539.841458333336
06/2026,3132 Telecommunications Technical Specialists,80,49,46242.20569444444,45484.60283564815
06/2026,3132 Telecommunications Technical Specialists,90,27,46231.209652777776,45807.58478009259
06/2026,3132 Telecommunications Technical Specialists,85,27,46267.208703703705,45775.20538194444
06/2026,3132 Telecommunications Technical Specialists,55,16,46219.20814814815,45758.51553240741
06/2026,3132 Telecommunications Technical Specialists,60,36,46262.20508101852,45537.792083333334
06/2026,3132 Telecommunications Technical Specialists,50,10,46255.208032407405,45968.624247685184
06/2026,3132 Telecommunications Technical Specialists,40,2,46248.20554398148,45699.83574074074
06/2026,3132 Telecommunications Technical Specialists,45,3,46187.21666666667,46140.68601851852
06/2026,3132 Telecommunications Technical Specialists,35,1,46211.20512731482,46125.82761574074
06/2026,3312 Carpenters and Joiners,65,84,46264.213784722226,46136.61703703704
06/2026,3312 Carpenters and Joiners,75,7,46243.20899305555,46178.71857638889
06/2026,3312 Carpenters and Joiners,70,12,46242.20569444444,46177.43898148148
06/2026,3312 Carpenters and Joiners,80,1,46198.91782407407,46198.91782407407
06/2026,3312 Carpenters and Joiners,55,23,46230.20935185185,45593.70689814815
06/2026,3312 Carpenters and Joiners,60,57,46264.213784722226,45542.4240625
06/2026,3312 Carpenters and Joiners,50,8,46171.3280787037,45691.20650462963
06/2026,3312 Carpenters and Joiners,40,1,46102.20518518519,45923.56070601852
06/2026,3312 Carpenters and Joiners,45,3,46195.20458333333,45637.40096064815
06/2026,3312 Carpenters and Joiners,30,1,46139.204247685186,46135.596863425926
06/2026,2725 Social Workers,65,112,46264.213784722226,45539.587696759256
06/2026,2725 Social Workers,75,198,46259.20663194444,45871.90555555555
06/2026,2725 Social Workers,70,218,46263.210752314815,45475.723032407404
06/2026,2725 Social Workers,80,21,46239.20633101852,46177.42020833334
06/2026,2725 Social Workers,85,6,46237.44496527778,46178.64282407407
06/2026,2725 Social Workers,55,8,46195.20458333333,45593.78550925926
06/2026,2725 Social Workers,60,13,46198.47252314815,45816.82922453704
06/2026,2725 Social Workers,50,2,46197.49638888889,46114.18787037037
06/2026,3322 Painting Trades Workers,65,169,46262.20508101852,45546.590219907404
06/2026,3322 Painting Trades Workers,75,73,46256.2065625,45948.001921296294
06/2026,3322 Painting Trades Workers,70,149,46265.211539351854,45616.70825231481
06/2026,3322 Painting Trades Workers,80,23,46239.20633101852,45902.84972222222
06/2026,3322 Painting Trades Workers,90,1,46035.20686342593,45939.90016203704
06/2026,3322 Painting Trades Workers,85,3,46198.5591087963,46116.20584490741
06/2026,3322 Painting Trades Workers,55,8,46181.204513888886,45860.75388888889
06/2026,3322 Painting Trades Workers,60,35,46257.20914351852,45540.403912037036
06/2026,3322 Painting Trades Workers,50,3,46210.20827546297,45936.78467592593
06/2026,3423 Electronics Trades Workers,65,58,46262.20508101852,45574.72797453704
06/2026,3423 Electronics Trades Workers,75,30,46259.20663194444,45551.03256944445
06/2026,3423 Electronics Trades Workers,70,52,46265.211539351854,45549.52515046296
06/2026,3423 Electronics Trades Workers,80,2,46154.9025,46130.20706018519
06/2026,3423 Electronics Trades Workers,55,12,46227.21060185185,45685.207141203704
06/2026,3423 Electronics Trades Workers,60,16,46260.20512731482,45726.832766203705
06/2026,3423 Electronics Trades Workers,45,1,46099.20460648148,45734.20653935185
06/2026,2521 Chiropractors and Osteopaths,65,4,46154.20450231482,45734.36775462963
06/2026,2521 Chiropractors and Osteopaths,75,58,46248.20554398148,45740.208449074074
06/2026,2521 Chiropractors and Osteopaths,70,7,46244.20744212963,45771.92670138889
06/2026,2521 Chiropractors and Osteopaths,55,1,46209.207141203704,45797.66138888889
06/2026,2521 Chiropractors and Osteopaths,60,1,46201.211909722224,45836.20675925926
06/2026,3941 Cabinetmakers,65,19,46246.21188657408,45559.796747685185
06/2026,3941 Cabinetmakers,75,10,46254.20762731481,45667.57696759259
06/2026,3941 Cabinetmakers,70,17,46201.211909722224,45603.863657407404
06/2026,3941 Cabinetmakers,80,1,46245.210856481484,46172.94268518518
06/2026,3941 Cabinetmakers,55,1,46171.20490740741,45806.20425925926
06/2026,3941 Cabinetmakers,60,7,46255.208032407405,45914.216412037036
06/2026,3941 Cabinetmakers,50,2,46266.21104166667,45914.5225
06/2026,3941 Cabinetmakers,45,1,46021.20462962963,46021.20462962963
06/2026,2243 Economists,65,18,46262.20508101852,45574.99586805556
06/2026,2243 Economists,75,19,46244.20744212963,45590.661458333336
06/2026,2243 Economists,70,11,46254.20762731481,45721.60710648148
06/2026,2243 Economists,80,6,46253.205509259256,46112.94021990741
06/2026,2243 Economists,90,3,46202.7865625,46186.73846064815
06/2026,2243 Economists,85,3,46198.52190972222,46179.8825462963
06/2026,2243 Economists,60,4,46225.20591435185,45531.20321759259
06/2026,2243 Economists,45,1,46079.7312962963,46079.7312962963
06/2026,3311 Bricklayers and Stonemasons,65,12,46241.20543981482,46146.94667824074
06/2026,3311 Bricklayers and Stonemasons,75,3,46202.7771875,46191.68824074074
06/2026,3311 Bricklayers and Stonemasons,70,4,46191.63658564815,46183.80179398148
06/2026,3311 Bricklayers and Stonemasons,55,7,46259.20663194444,45776.63287037037
06/2026,3311 Bricklayers and Stonemasons,60,9,46236.209548611114,45849.71349537037
06/2026,3311 Bricklayers and Stonemasons,45,1,46010.20518518519,46002.814722222225
06/2026,1342 Health and Welfare Services Managers,65,13,46231.209652777776,45558.92429398148
06/2026,1342 Health and Welfare Services Managers,75,6,46224.208078703705,45623.5450462963
06/2026,1342 Health and Welfare Services Managers,70,8,46256.2065625,45645.207337962966
06/2026,1342 Health and Welfare Services Managers,80,1,46156.126967592594,46156.126967592594
06/2026,1342 Health and Welfare Services Managers,55,2,46096.20976851852,45942.210069444445
06/2026,1342 Health and Welfare Services Managers,60,7,46162.204560185186,45814.95407407408
06/2026,1342 Health and Welfare Services Managers,50,1,45969.15841435185,45969.15841435185
06/2026,2539 Other Medical Practitioners,65,43,46253.205509259256,45687.39328703703
06/2026,2539 Other Medical Practitioners,75,73,46262.20508101852,45776.798738425925
06/2026,2539 Other Medical Practitioners,70,53,46259.20663194444,45570.452048611114
06/2026,2539 Other Medical Practitioners,80,6,46251.204930555556,46177.82910879629
06/2026,2539 Other Medical Practitioners,90,2,46193.98478009259,46181.53192129629
06/2026,2539 Other Medical Practitioners,85,10,46209.207141203704,46178.68162037037
06/2026,2539 Other Medical Practitioners,55,5,46249.20521990741,45620.48200231481
06/2026,2539 Other Medical Practitioners,60,9,46252.205925925926,45735.53271990741
06/2026,2539 Other Medical Practitioners,50,3,46200.211064814815,45846.76908564815
06/2026,3411 Electricians,65,20,46266.227488425924,45589.0503125
06/2026,3411 Electricians,75,1,46083.20883101852,45973.903969907406
06/2026,3411 Electricians,70,4,46203.262037037035,45642.97363425926
06/2026,3411 Electricians,55,8,46267.208703703705,45687.93340277778
06/2026,3411 Electricians,60,7,46191.205555555556,45564.901655092595
06/2026,3411 Electricians,50,2,46266.21104166667,45556.74638888889
06/2026,3411 Electricians,45,2,46227.21060185185,46079.20512731482
06/2026,2525 Physiotherapists,65,46,46240.20517361111,45511.772141203706
06/2026,2525 Physiotherapists,75,74,46248.20554398148,45790.68172453704
06/2026,2525 Physiotherapists,70,83,46266.21104166667,45526.819548611114
06/2026,2525 Physiotherapists,80,7,46232.20520833333,46178.20513888889
06/2026,2525 Physiotherapists,90,1,46240.87505787037,46192.35046296296
06/2026,2525 Physiotherapists,85,2,46200.71840277778,46193.860983796294
06/2026,2525 Physiotherapists,55,10,46257.20914351852,45556.61675925926
06/2026,2525 Physiotherapists,60,9,46197.21107638889,45575.69230324074
06/2026,2525 Physiotherapists,50,3,46173.20553240741,45722.137337962966
06/2026,2525 Physiotherapists,40,1,46123.21460648148,45758.2184837963
06/2026,2512 Medical Imaging Professionals,65,19,46265.211539351854,45545.53863425926
06/2026,2512 Medical Imaging Professionals,75,38,46265.211539351854,45782.96894675926
06/2026,2512 Medical Imaging Professionals,70,19,46204.207719907405,45705.56054398148
06/2026,2512 Medical Imaging Professionals,80,2,46239.20633101852,46182.88383101852
06/2026,2512 Medical Imaging Professionals,90,1,46209.207141203704,46182.859606481485
06/2026,2512 Medical Imaging Professionals,55,2,46199.2091087963,45834.203888888886
06/2026,2512 Medical Imaging Professionals,60,2,46175.20494212963,45808.22398148148
06/2026,"4523 Sports Coaches, Instructors and Officials",65,2,46054.20521990741,45959.204733796294
06/2026,"4523 Sports Coaches, Instructors and Officials",75,4,46235.20949074074,46076.51461805555
06/2026,"4523 Sports Coaches, Instructors and Officials",60,1,46108.204722222225,45743.205972222226
06/2026,3222 Sheetmetal Trades Workers,65,1,46120.75444444444,46120.75444444444
06/2026,3222 Sheetmetal Trades Workers,75,1,45946.204247685186,45837.20831018518
06/2026,2527 Speech Professionals and Audiologists,65,32,46248.20554398148,45560.04603009259
06/2026,2527 Speech Professionals and Audiologists,75,39,46262.20508101852,45793.7187962963
06/2026,2527 Speech Professionals and Audiologists,70,33,46264.213784722226,45538.74034722222
06/2026,2527 Speech Professionals and Audiologists,80,1,46181.54079861111,46181.54079861111
06/2026,2527 Speech Professionals and Audiologists,85,2,46256.2065625,46189.910405092596
06/2026,2527 Speech Professionals and Audiologists,55,5,46232.20520833333,45776.86744212963
06/2026,2527 Speech Professionals and Audiologists,60,5,46256.2065625,45771.20439814815
06/2026,2524 Occupational Therapists,65,37,46228.963587962964,45540.82671296296
06/2026,2524 Occupational Therapists,75,67,46248.20554398148,45791.87975694444
06/2026,2524 Occupational Therapists,70,56,46261.20773148148,45491.260787037034
06/2026,2524 Occupational Therapists,80,1,46202.910995370374,46202.910995370374
06/2026,2524 Occupational Therapists,90,1,46189.92591435185,46189.92591435185
06/2026,2524 Occupational Therapists,85,1,46201.63627314815,46201.63627314815
06/2026,2524 Occupational Therapists,55,2,46168.20662037037,45803.22064814815
06/2026,2524 Occupational Therapists,60,6,46174.20638888889,45588.60884259259
06/2026,2524 Occupational Therapists,50,2,46263.210752314815,45979.20769675926
06/2026,2524 Occupational Therapists,45,1,46049.21060185185,45939.782534722224
06/2026,2519 Other Health Diagnostic and Promotion Professionals,65,2,46087.752071759256,45993.85292824074
06/2026,2519 Other Health Diagnostic and Promotion Professionals,75,2,46188.20481481482,46142.20444444445
06/2026,2519 Other Health Diagnostic and Promotion Professionals,70,1,45981.82429398148,45981.82429398148
06/2026,3421 Airconditioning and Refrigeration Mechanics,65,8,46247.20653935185,45657.690104166664
06/2026,3421 Airconditioning and Refrigeration Mechanics,75,1,46061.20533564815,45977.27578703704
06/2026,3421 Airconditioning and Refrigeration Mechanics,70,7,46186.20513888889,45631.20539351852
06/2026,3421 Airconditioning and Refrigeration Mechanics,55,2,46183.20481481482,46005.21184027778
06/2026,3421 Airconditioning and Refrigeration Mechanics,60,1,46090.206030092595,45744.70517361111
06/2026,3421 Airconditioning and Refrigeration Mechanics,50,1,46191.205555555556,45691.65675925926
06/2026,2346 Medical Laboratory Scientists,65,50,46248.20554398148,45603.95229166667
06/2026,2346 Medical Laboratory Scientists,75,93,46264.213784722226,45506.78152777778
06/2026,2346 Medical Laboratory Scientists,70,66,46251.204930555556,45597.81306712963
06/2026,2346 Medical Laboratory Scientists,80,13,46209.207141203704,46112.2065625
06/2026,2346 Medical Laboratory Scientists,85,3,46223.20545138889,46177.78209490741
06/2026,2346 Medical Laboratory Scientists,55,4,46199.866875,45724.208645833336
06/2026,2346 Medical Laboratory Scientists,60,10,46184.2065625,45763.478125
06/2026,2346 Medical Laboratory Scientists,50,1,46190.28439814815,46190.28439814815
06/2026,2415 Special Education Teachers,65,5,46203.38025462963,45783.43121527778
06/2026,2415 Special Education Teachers,75,6,46256.2065625,45923.91748842593
06/2026,2415 Special Education Teachers,70,8,46247.20653935185,45595.21034722222
06/2026,2415 Special Education Teachers,55,1,45908.205196759256,45908.205196759256
06/2026,2415 Special Education Teachers,60,1,46084.20892361111,45931.57471064815
06/2026,2723 Psychologists,65,14,46164.79116898148,45693.02761574074
06/2026,2723 Psychologists,75,19,46226.20528935185,45887.69495370371
06/2026,2723 Psychologists,70,18,46239.20633101852,45646.38976851852
06/2026,2723 Psychologists,80,2,46177.72584490741,45981.82842592592
06/2026,2723 Psychologists,55,1,45980.20628472222,45980.20628472222
06/2026,2723 Psychologists,60,2,46197.21107638889,45911.20431712963
06/2026,2541 Midwives,65,7,46243.20899305555,45861.876863425925
06/2026,2541 Midwives,75,11,46251.204930555556,45921.99896990741
06/2026,2541 Midwives,70,10,46183.634201388886,45646.79722222222
