Visa,OccGroup,State,n
190SAS Skilled Australian Sponsored,3613 Veterinary Nurses,ANY,29
190SAS Skilled Australian Sponsored,3613 Veterinary Nurses,NSW,91
190SAS Skilled Australian Sponsored,3613 Veterinary Nurses,QLD,46
190SAS Skilled Australian Sponsored,3613 Veterinary Nurses,SA,79
190SAS Skilled Australian Sponsored,3613 Veterinary Nurses,WA,90
190SAS Skilled Australian Sponsored,3613 Veterinary Nurses,ACT,45
190SAS Skilled Australian Sponsored,3613 Veterinary Nurses,TAS,20
190SAS Skilled Australian Sponsored,3613 Veterinary Nurses,NT,24
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,VIC,227
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,ANY,90
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,NSW,315
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,QLD,212
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,SA,183
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,WA,148
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,ACT,104
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,TAS,63
190SAS Skilled Australian Sponsored,2343 Environmental Scientists,NT,54
190SAS Skilled Australian Sponsored,2711 Barristers,ANY,1
190SAS Skilled Australian Sponsored,2711 Barristers,SA,1
190SAS Skilled Australian Sponsored,2711 Barristers,WA,2
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,VIC,231
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,ANY,126
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,NSW,92
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,QLD,94
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,SA,106
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,WA,205
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,ACT,34
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,TAS,40
190SAS Skilled Australian Sponsored,3132 Telecommunications Technical Specialists,NT,29
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,VIC,652
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,ANY,119
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,NSW,493
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,QLD,246
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,SA,314
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,WA,1128
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,ACT,40
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,TAS,38
190SAS Skilled Australian Sponsored,3312 Carpenters and Joiners,NT,32
190SAS Skilled Australian Sponsored,1334 Manufacturers,VIC,21
190SAS Skilled Australian Sponsored,1334 Manufacturers,ANY,8
190SAS Skilled Australian Sponsored,1334 Manufacturers,NSW,36
190SAS Skilled Australian Sponsored,1334 Manufacturers,QLD,19
190SAS Skilled Australian Sponsored,1334 Manufacturers,SA,41
190SAS Skilled Australian Sponsored,1334 Manufacturers,WA,11
190SAS Skilled Australian Sponsored,1334 Manufacturers,ACT,8
190SAS Skilled Australian Sponsored,1334 Manufacturers,TAS,8
190SAS Skilled Australian Sponsored,1334 Manufacturers,NT,7
190SAS Skilled Australian Sponsored,2725 Social Workers,VIC,508
190SAS Skilled Australian Sponsored,2725 Social Workers,ANY,141
190SAS Skilled Australian Sponsored,2725 Social Workers,NSW,607
190SAS Skilled Australian Sponsored,2725 Social Workers,QLD,196
190SAS Skilled Australian Sponsored,2725 Social Workers,SA,173
190SAS Skilled Australian Sponsored,2725 Social Workers,WA,316
190SAS Skilled Australian Sponsored,2725 Social Workers,ACT,97
190SAS Skilled Australian Sponsored,2725 Social Workers,TAS,82
190SAS Skilled Australian Sponsored,2725 Social Workers,NT,88
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,VIC,134
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,ANY,55
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,NSW,108
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,QLD,56
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,SA,107
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,WA,259
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,ACT,44
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,TAS,50
190SAS Skilled Australian Sponsored,1413 Hotel and Motel Managers,NT,41
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,VIC,1108
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,ANY,276
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,NSW,726
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,QLD,307
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,SA,1000
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,WA,387
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,ACT,541
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,TAS,286
190SAS Skilled Australian Sponsored,2249 Other Information and Organisation Professionals,NT,221
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,VIC,651
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,ANY,151
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,NSW,174
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,QLD,126
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,SA,196
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,WA,854
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,ACT,31
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,TAS,62
190SAS Skilled Australian Sponsored,3322 Painting Trades Workers,NT,27
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,VIC,182
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,ANY,45
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,NSW,265
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,QLD,145
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,SA,242
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,WA,148
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,ACT,81
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,TAS,46
190SAS Skilled Australian Sponsored,3423 Electronics Trades Workers,NT,63
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,VIC,11
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,ANY,2
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,NSW,9
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,QLD,7
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,SA,9
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,WA,7
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,ACT,8
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,TAS,5
190SAS Skilled Australian Sponsored,2542 Nurse Educators and Researchers,NT,4
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,VIC,31
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,ANY,4
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,NSW,44
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,QLD,6
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,SA,10
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,WA,16
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,ACT,4
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,TAS,2
190SAS Skilled Australian Sponsored,2521 Chiropractors and Osteopaths,NT,1
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,VIC,133
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,ANY,47
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,NSW,80
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,QLD,41
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,SA,77
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,WA,134
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,ACT,60
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,TAS,39
190SAS Skilled Australian Sponsored,2493 Teachers of English to Speakers of Other Languages,NT,24
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,VIC,181
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,ANY,38
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,NSW,112
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,QLD,60
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,SA,150
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,WA,61
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,ACT,91
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,TAS,52
190SAS Skilled Australian Sponsored,2124 Journalists and Other Writers,NT,46
190SAS Skilled Australian Sponsored,1212 Crop Farmers,VIC,14
190SAS Skilled Australian Sponsored,1212 Crop Farmers,ANY,2
190SAS Skilled Australian Sponsored,1212 Crop Farmers,NSW,19
190SAS Skilled Australian Sponsored,1212 Crop Farmers,QLD,3
190SAS Skilled Australian Sponsored,1212 Crop Farmers,SA,12
190SAS Skilled Australian Sponsored,1212 Crop Farmers,WA,9
190SAS Skilled Australian Sponsored,1212 Crop Farmers,ACT,2
190SAS Skilled Australian Sponsored,1212 Crop Farmers,TAS,5
190SAS Skilled Australian Sponsored,1212 Crop Farmers,NT,1
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,VIC,73
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,ANY,15
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,NSW,47
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,QLD,34
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,SA,41
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,WA,90
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,ACT,12
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,TAS,7
190SAS Skilled Australian Sponsored,3941 Cabinetmakers,NT,6
190SAS Skilled Australian Sponsored,2243 Economists,VIC,99
190SAS Skilled Australian Sponsored,2243 Economists,ANY,41
190SAS Skilled Australian Sponsored,2243 Economists,NSW,65
190SAS Skilled Australian Sponsored,2243 Economists,QLD,36
190SAS Skilled Australian Sponsored,2243 Economists,SA,82
190SAS Skilled Australian Sponsored,2243 Economists,WA,34
190SAS Skilled Australian Sponsored,2243 Economists,ACT,37
190SAS Skilled Australian Sponsored,2243 Economists,TAS,16
190SAS Skilled Australian Sponsored,2243 Economists,NT,17
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,VIC,133
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,ANY,17
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,NSW,123
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,QLD,46
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,SA,53
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,WA,219
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,ACT,26
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,TAS,29
190SAS Skilled Australian Sponsored,3311 Bricklayers and Stonemasons,NT,23
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",VIC,153
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",ANY,50
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",NSW,313
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",QLD,65
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",SA,97
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",WA,290
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",ACT,61
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",TAS,48
190SAS Skilled Australian Sponsored,"2726 Welfare, Recreation and Community Arts Workers",NT,59
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",VIC,140
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",ANY,36
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",NSW,80
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",QLD,48
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",SA,104
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",WA,35
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",ACT,37
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",TAS,30
190SAS Skilled Australian Sponsored,"2323 Fashion, Industrial and Jewellery Designers",NT,24
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,VIC,101
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,ANY,33
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,NSW,72
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,QLD,39
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,SA,101
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,WA,80
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,ACT,72
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,TAS,36
190SAS Skilled Australian Sponsored,1336 Supply and Distribution Managers,NT,35
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,VIC,133
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,ANY,33
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,NSW,170
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,QLD,70
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,SA,152
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,WA,109
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,ACT,103
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,TAS,46
190SAS Skilled Australian Sponsored,1342 Health and Welfare Services Managers,NT,43
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",VIC,87
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",ANY,20
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",NSW,45
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",QLD,22
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",SA,72
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",WA,33
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",ACT,25
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",TAS,26
190SAS Skilled Australian Sponsored,"2123 Film, Television, Radio and Stage Directors",NT,20
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,VIC,56
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,ANY,15
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,NSW,61
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,QLD,40
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,SA,50
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,WA,34
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,ACT,32
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,TAS,10
190SAS Skilled Australian Sponsored,3231 Aircraft Maintenance Engineers,NT,14
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,VIC,135
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,ANY,41
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,NSW,79
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,QLD,44
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,SA,138
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,WA,119
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,ACT,81
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,TAS,37
190SAS Skilled Australian Sponsored,1492 Call or Contact Centre and Customer Service Managers,NT,39
190SAS Skilled Australian Sponsored,2221 Financial Brokers,VIC,73
190SAS Skilled Australian Sponsored,2221 Financial Brokers,ANY,26
190SAS Skilled Australian Sponsored,2221 Financial Brokers,NSW,48
190SAS Skilled Australian Sponsored,2221 Financial Brokers,QLD,31
190SAS Skilled Australian Sponsored,2221 Financial Brokers,SA,91
190SAS Skilled Australian Sponsored,2221 Financial Brokers,WA,43
190SAS Skilled Australian Sponsored,2221 Financial Brokers,ACT,26
190SAS Skilled Australian Sponsored,2221 Financial Brokers,TAS,23
190SAS Skilled Australian Sponsored,2221 Financial Brokers,NT,21
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,VIC,178
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,ANY,60
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,NSW,155
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,QLD,143
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,SA,43
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,WA,92
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,ACT,11
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,TAS,20
190SAS Skilled Australian Sponsored,2539 Other Medical Practitioners,NT,11
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,VIC,18
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,ANY,4
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,NSW,17
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,QLD,18
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,SA,16
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,WA,24
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,ACT,9
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,TAS,10
190SAS Skilled Australian Sponsored,1419 Other Accommodation and Hospitality Managers,NT,11
190SAS Skilled Australian Sponsored,2724 Social Professionals,VIC,56
190SAS Skilled Australian Sponsored,2724 Social Professionals,ANY,20
190SAS Skilled Australian Sponsored,2724 Social Professionals,NSW,31
190SAS Skilled Australian Sponsored,2724 Social Professionals,QLD,21
190SAS Skilled Australian Sponsored,2724 Social Professionals,SA,14
190SAS Skilled Australian Sponsored,2724 Social Professionals,WA,48
190SAS Skilled Australian Sponsored,2724 Social Professionals,ACT,18
190SAS Skilled Australian Sponsored,2724 Social Professionals,TAS,8
190SAS Skilled Australian Sponsored,2724 Social Professionals,NT,10
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,VIC,918
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,ANY,193
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,NSW,263
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,QLD,140
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,SA,337
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,WA,1088
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,ACT,72
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,TAS,174
190SAS Skilled Australian Sponsored,4114 Enrolled and Mothercraft Nurses,NT,40
190SAS Skilled Australian Sponsored,3411 Electricians,VIC,90
190SAS Skilled Australian Sponsored,3411 Electricians,ANY,47
190SAS Skilled Australian Sponsored,3411 Electricians,NSW,149
190SAS Skilled Australian Sponsored,3411 Electricians,QLD,125
190SAS Skilled Australian Sponsored,3411 Electricians,SA,104
190SAS Skilled Australian Sponsored,3411 Electricians,WA,231
190SAS Skilled Australian Sponsored,3411 Electricians,ACT,34
190SAS Skilled Australian Sponsored,3411 Electricians,TAS,37
190SAS Skilled Australian Sponsored,3411 Electricians,NT,31
190SAS Skilled Australian Sponsored,2525 Physiotherapists,VIC,208
190SAS Skilled Australian Sponsored,2525 Physiotherapists,ANY,49
190SAS Skilled Australian Sponsored,2525 Physiotherapists,NSW,242
190SAS Skilled Australian Sponsored,2525 Physiotherapists,QLD,132
190SAS Skilled Australian Sponsored,2525 Physiotherapists,SA,72
190SAS Skilled Australian Sponsored,2525 Physiotherapists,WA,184
190SAS Skilled Australian Sponsored,2525 Physiotherapists,ACT,28
190SAS Skilled Australian Sponsored,2525 Physiotherapists,TAS,34
190SAS Skilled Australian Sponsored,2525 Physiotherapists,NT,22
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,VIC,22
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,ANY,15
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,NSW,20
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,QLD,11
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,SA,22
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,WA,31
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,ACT,4
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,TAS,6
190SAS Skilled Australian Sponsored,1494 Transport Services Managers,NT,5
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,VIC,188
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,ANY,49
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,NSW,108
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,QLD,50
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,SA,166
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,WA,60
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,ACT,101
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,TAS,51
190SAS Skilled Australian Sponsored,2253 Public Relations Professionals,NT,62
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,VIC,85
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,ANY,19
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,NSW,112
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,QLD,64
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,SA,55
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,WA,59
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,ACT,23
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,TAS,17
190SAS Skilled Australian Sponsored,2512 Medical Imaging Professionals,NT,13
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,VIC,97
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,ANY,49
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,NSW,115
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,QLD,45
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,SA,133
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,WA,65
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,ACT,85
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,TAS,34
190SAS Skilled Australian Sponsored,3131 ICT Support Technicians,NT,32
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",VIC,63
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",ANY,17
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",NSW,38
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",QLD,30
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",SA,67
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",WA,28
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",ACT,16
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",TAS,9
190SAS Skilled Australian Sponsored,"4523 Sports Coaches, Instructors and Officials",NT,10
190SAS Skilled Australian Sponsored,3911 Hairdressers,VIC,52
190SAS Skilled Australian Sponsored,3911 Hairdressers,ANY,40
190SAS Skilled Australian Sponsored,3911 Hairdressers,NSW,43
190SAS Skilled Australian Sponsored,3911 Hairdressers,QLD,26
190SAS Skilled Australian Sponsored,3911 Hairdressers,SA,33
190SAS Skilled Australian Sponsored,3911 Hairdressers,WA,45
190SAS Skilled Australian Sponsored,3911 Hairdressers,ACT,9
190SAS Skilled Australian Sponsored,3911 Hairdressers,TAS,28
190SAS Skilled Australian Sponsored,3911 Hairdressers,NT,13
190SAS Skilled Australian Sponsored,3222 Sheetmetal Trades Workers,VIC,8
190SAS Skilled Australian Sponsored,3222 Sheetmetal Trades Workers,ANY,3
190SAS Skilled Australian Sponsored,3222 Sheetmetal Trades Workers,NSW,4
190SAS Skilled Australian Sponsored,3222 Sheetmetal Trades Workers,QLD,2
190SAS Skilled Australian Sponsored,3222 Sheetmetal Trades Workers,SA,2
190SAS Skilled Australian Sponsored,3222 Sheetmetal Trades Workers,WA,7
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,VIC,77
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,ANY,37
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,NSW,90
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,QLD,45
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,SA,76
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,WA,78
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,ACT,44
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,TAS,29
190SAS Skilled Australian Sponsored,2513 Occupational and Environmental Health Professionals,NT,32
190SAS Skilled Australian Sponsored,3923 Printers,QLD,1
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,VIC,161
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,ANY,27
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,NSW,136
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,QLD,108
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,SA,109
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,WA,96
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,ACT,70
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,TAS,49
190SAS Skilled Australian Sponsored,2527 Speech Professionals and Audiologists,NT,43
190SAS Skilled Australian Sponsored,1213 Livestock Farmers,VIC,15
190SAS Skilled Australian Sponsored,1213 Livestock Farmers,ANY,6
