OccGroup,Score,DoEMonth,n
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2026-07,16
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2026-06,13
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2026-05,11
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2024-10,1
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2024-12,4
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2024-11,2
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-03,2
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-04,3
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-05,3
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-07,9
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-08,6
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-09,5
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-10,7
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-12,12
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2026-04,7
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2025-11,8
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2026-01,4
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2026-02,6
"2621 Database and Systems Administrators, and ICT Security Specialists",60,2026-03,10
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2026-08,5
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2026-07,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2026-06,3
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2024-09,3
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-03,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-02,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-04,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-05,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-06,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-07,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-08,3
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-10,3
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-12,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2026-04,1
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2025-11,2
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2026-01,3
"2621 Database and Systems Administrators, and ICT Security Specialists",50,2026-02,4
"2621 Database and Systems Administrators, and ICT Security Specialists",110,2026-08,1
"2621 Database and Systems Administrators, and ICT Security Specialists",110,2026-04,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2026-08,15
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2026-07,13
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2026-06,9
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2026-05,15
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2024-10,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2024-11,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2025-03,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2025-02,2
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2025-05,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2025-08,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2025-09,4
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2025-10,6
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2025-12,5
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2026-04,10
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2025-11,3
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2026-01,5
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2026-02,11
"2621 Database and Systems Administrators, and ICT Security Specialists",100,2026-03,5
"2621 Database and Systems Administrators, and ICT Security Specialists",105,2026-08,2
"2621 Database and Systems Administrators, and ICT Security Specialists",105,2025-09,2
"2621 Database and Systems Administrators, and ICT Security Specialists",105,2025-10,1
"2621 Database and Systems Administrators, and ICT Security Specialists",105,2025-12,1
"2621 Database and Systems Administrators, and ICT Security Specialists",40,2025-03,1
"2621 Database and Systems Administrators, and ICT Security Specialists",40,2025-08,1
"2621 Database and Systems Administrators, and ICT Security Specialists",40,2025-11,1
"2621 Database and Systems Administrators, and ICT Security Specialists",45,2026-07,3
"2621 Database and Systems Administrators, and ICT Security Specialists",45,2024-12,1
"2621 Database and Systems Administrators, and ICT Security Specialists",45,2024-11,1
"2621 Database and Systems Administrators, and ICT Security Specialists",45,2025-12,1
"2621 Database and Systems Administrators, and ICT Security Specialists",45,2026-03,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-09,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-08,69
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-07,71
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-06,91
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2024-09,16
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-05,50
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2024-10,10
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2024-12,30
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2024-11,14
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-01,35
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-03,38
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-02,23
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-04,34
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-05,47
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-06,51
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-07,42
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-08,50
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-09,42
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-10,47
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-12,75
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-04,48
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2025-11,69
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-01,72
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-02,36
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,2026-03,67
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-09,14
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-08,89
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-07,77
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-06,66
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2024-09,10
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-05,70
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2024-10,18
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2024-12,17
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2024-11,32
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-01,39
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-03,35
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-02,30
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-04,38
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-05,51
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-06,38
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-07,52
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-08,67
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-09,62
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-10,62
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-12,63
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-04,93
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2025-11,78
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-01,87
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-02,54
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,2026-03,54
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-09,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-08,99
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-07,79
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-06,73
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2024-09,15
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-05,88
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2024-10,15
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2024-12,23
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2024-11,16
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-01,31
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-03,51
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-02,27
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-04,52
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-05,58
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-06,50
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-07,43
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-08,63
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-09,61
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-10,76
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-12,74
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-04,61
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2025-11,96
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-01,60
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-02,69
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,2026-03,54
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-09,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-08,84
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-07,58
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-06,73
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2024-09,14
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-05,59
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2024-10,16
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2024-12,14
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2024-11,26
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-01,26
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-03,36
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-02,30
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-04,38
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-05,45
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-06,30
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-07,35
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-08,53
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-09,57
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-10,72
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-12,65
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-04,68
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2025-11,73
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-01,58
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-02,55
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,2026-03,83
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2026-08,20
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2026-07,15
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2026-06,17
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2026-05,12
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-01,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-03,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-02,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-04,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-05,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-06,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-07,7
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-08,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-09,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-10,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-12,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2026-04,15
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2025-11,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2026-01,7
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2026-02,12
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,2026-03,8
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-09,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-08,45
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-07,55
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-06,54
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2024-09,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-05,39
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2024-10,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2024-12,8
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2024-11,8
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-01,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-03,14
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-02,12
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-04,16
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-05,16
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-06,25
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-07,23
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-08,29
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-09,36
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-10,40
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-12,46
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-04,48
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2025-11,34
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-01,49
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-02,40
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,2026-03,53
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-09,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-08,101
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-07,86
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-06,63
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2024-09,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-05,60
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2024-10,12
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2024-12,16
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2024-11,23
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-01,22
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-03,33
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-02,38
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-04,39
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-05,34
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-06,30
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-07,38
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-08,54
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-09,50
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-10,62
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-12,69
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-04,55
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2025-11,63
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-01,73
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-02,81
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,2026-03,65
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2026-08,10
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2026-07,8
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2026-06,8
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2024-09,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2026-05,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2024-12,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2025-04,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2025-05,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2025-07,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2025-08,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2025-09,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2025-10,6
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2025-12,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2026-04,7
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2025-11,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2026-01,8
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2026-02,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,2026-03,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-09,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-08,24
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-07,13
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-06,18
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2024-09,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-05,18
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2024-10,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2024-12,6
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2024-11,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-01,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-03,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-02,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-04,9
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-05,8
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-06,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-07,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-08,8
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-09,11
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-10,16
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-12,17
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-04,10
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2025-11,17
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-01,11
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-02,9
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,2026-03,15
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2026-07,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2026-06,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2026-05,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2025-03,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2025-02,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2025-04,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2025-07,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2025-09,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2025-10,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2025-12,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2026-04,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2025-11,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2026-01,9
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2026-02,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2026-03,6
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-09,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-08,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-07,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-06,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-05,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2025-12,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-04,3
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2025-11,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-01,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-02,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2026-03,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",105,2026-08,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",105,2026-07,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",40,2026-07,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,2026-08,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,2024-10,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,2025-09,2
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,2025-10,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,2026-01,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,2026-02,1
2345 Life Scientists,65,2026-09,3
2345 Life Scientists,65,2026-08,30
2345 Life Scientists,65,2026-07,19
2345 Life Scientists,65,2026-06,23
2345 Life Scientists,65,2026-05,20
2345 Life Scientists,65,2024-10,2
2345 Life Scientists,65,2024-12,5
2345 Life Scientists,65,2024-11,5
2345 Life Scientists,65,2025-01,5
2345 Life Scientists,65,2025-03,8
2345 Life Scientists,65,2025-02,13
2345 Life Scientists,65,2025-04,9
2345 Life Scientists,65,2025-05,10
2345 Life Scientists,65,2025-06,8
2345 Life Scientists,65,2025-07,2
2345 Life Scientists,65,2025-08,13
2345 Life Scientists,65,2025-09,22
2345 Life Scientists,65,2025-10,23
2345 Life Scientists,65,2025-12,16
2345 Life Scientists,65,2026-04,28
2345 Life Scientists,65,2025-11,15
2345 Life Scientists,65,2026-01,18
2345 Life Scientists,65,2026-02,17
2345 Life Scientists,65,2026-03,25
2345 Life Scientists,75,2026-09,1
2345 Life Scientists,75,2026-08,35
2345 Life Scientists,75,2026-07,39
2345 Life Scientists,75,2026-06,38
2345 Life Scientists,75,2024-09,1
2345 Life Scientists,75,2026-05,24
2345 Life Scientists,75,2024-10,2
2345 Life Scientists,75,2024-12,3
2345 Life Scientists,75,2024-11,6
2345 Life Scientists,75,2025-01,7
2345 Life Scientists,75,2025-03,7
2345 Life Scientists,75,2025-02,3
2345 Life Scientists,75,2025-04,10
2345 Life Scientists,75,2025-05,4
2345 Life Scientists,75,2025-06,9
2345 Life Scientists,75,2025-07,21
2345 Life Scientists,75,2025-08,21
2345 Life Scientists,75,2025-09,21
2345 Life Scientists,75,2025-10,14
2345 Life Scientists,75,2025-12,30
2345 Life Scientists,75,2026-04,29
2345 Life Scientists,75,2025-11,22
2345 Life Scientists,75,2026-01,13
2345 Life Scientists,75,2026-02,23
2345 Life Scientists,75,2026-03,18
2345 Life Scientists,70,2026-09,2
2345 Life Scientists,70,2026-08,48
2345 Life Scientists,70,2026-07,25
2345 Life Scientists,70,2026-06,23
2345 Life Scientists,70,2024-09,6
2345 Life Scientists,70,2026-05,27
2345 Life Scientists,70,2024-10,7
2345 Life Scientists,70,2024-12,4
2345 Life Scientists,70,2024-11,5
2345 Life Scientists,70,2025-01,9
2345 Life Scientists,70,2025-03,9
2345 Life Scientists,70,2025-02,8
2345 Life Scientists,70,2025-04,1
2345 Life Scientists,70,2025-05,3
2345 Life Scientists,70,2025-06,11
2345 Life Scientists,70,2025-07,9
2345 Life Scientists,70,2025-08,19
2345 Life Scientists,70,2025-09,13
2345 Life Scientists,70,2025-10,17
2345 Life Scientists,70,2025-12,13
2345 Life Scientists,70,2026-04,15
2345 Life Scientists,70,2025-11,21
2345 Life Scientists,70,2026-01,19
2345 Life Scientists,70,2026-02,22
2345 Life Scientists,70,2026-03,17
2345 Life Scientists,80,2026-09,2
2345 Life Scientists,80,2026-08,26
2345 Life Scientists,80,2026-07,37
2345 Life Scientists,80,2026-06,27
2345 Life Scientists,80,2026-05,21
2345 Life Scientists,80,2024-10,2
2345 Life Scientists,80,2024-12,2
2345 Life Scientists,80,2025-01,1
2345 Life Scientists,80,2025-03,2
2345 Life Scientists,80,2025-02,5
2345 Life Scientists,80,2025-04,4
2345 Life Scientists,80,2025-05,5
2345 Life Scientists,80,2025-06,5
2345 Life Scientists,80,2025-07,5
2345 Life Scientists,80,2025-08,12
2345 Life Scientists,80,2025-09,7
2345 Life Scientists,80,2025-10,13
2345 Life Scientists,80,2025-12,16
2345 Life Scientists,80,2026-04,11
2345 Life Scientists,80,2025-11,19
2345 Life Scientists,80,2026-01,18
2345 Life Scientists,80,2026-02,22
2345 Life Scientists,80,2026-03,18
2345 Life Scientists,95,2026-08,20
2345 Life Scientists,95,2026-07,11
2345 Life Scientists,95,2026-06,13
2345 Life Scientists,95,2026-05,6
2345 Life Scientists,95,2025-12,2
2345 Life Scientists,95,2026-04,8
2345 Life Scientists,90,2026-09,2
2345 Life Scientists,90,2026-08,34
2345 Life Scientists,90,2026-07,24
2345 Life Scientists,90,2026-06,35
2345 Life Scientists,90,2026-05,16
2345 Life Scientists,90,2025-05,1
2345 Life Scientists,90,2025-06,1
2345 Life Scientists,90,2025-07,2
2345 Life Scientists,90,2025-08,5
2345 Life Scientists,90,2025-09,3
2345 Life Scientists,90,2025-10,6
2345 Life Scientists,90,2025-12,6
2345 Life Scientists,90,2026-04,21
2345 Life Scientists,90,2025-11,8
2345 Life Scientists,90,2026-01,10
2345 Life Scientists,90,2026-02,16
2345 Life Scientists,90,2026-03,15
2345 Life Scientists,85,2026-09,1
2345 Life Scientists,85,2026-08,29
2345 Life Scientists,85,2026-07,44
2345 Life Scientists,85,2026-06,26
2345 Life Scientists,85,2026-05,49
2345 Life Scientists,85,2024-10,1
2345 Life Scientists,85,2024-12,1
2345 Life Scientists,85,2025-01,1
2345 Life Scientists,85,2025-03,3
2345 Life Scientists,85,2025-02,1
2345 Life Scientists,85,2025-04,2
2345 Life Scientists,85,2025-05,1
2345 Life Scientists,85,2025-06,1
2345 Life Scientists,85,2025-07,2
2345 Life Scientists,85,2025-08,5
2345 Life Scientists,85,2025-09,6
2345 Life Scientists,85,2025-10,15
2345 Life Scientists,85,2025-12,8
2345 Life Scientists,85,2026-04,18
2345 Life Scientists,85,2025-11,23
