AsAt,OccGroup,Score,n
02/2026,2525 Physiotherapists,55,20
02/2026,2525 Physiotherapists,60,24
02/2026,2525 Physiotherapists,50,6
02/2026,2525 Physiotherapists,40,2
02/2026,2512 Medical Imaging Professionals,65,38
02/2026,2512 Medical Imaging Professionals,75,56
02/2026,2512 Medical Imaging Professionals,70,60
02/2026,2512 Medical Imaging Professionals,80,25
02/2026,2512 Medical Imaging Professionals,90,3
02/2026,2512 Medical Imaging Professionals,85,4
02/2026,2512 Medical Imaging Professionals,55,4
02/2026,2512 Medical Imaging Professionals,60,4
02/2026,"4523 Sports Coaches, Instructors and Officials",65,2
02/2026,"4523 Sports Coaches, Instructors and Officials",75,1
02/2026,"4523 Sports Coaches, Instructors and Officials",70,3
02/2026,"4523 Sports Coaches, Instructors and Officials",80,3
02/2026,"4523 Sports Coaches, Instructors and Officials",90,1
02/2026,"4523 Sports Coaches, Instructors and Officials",85,2
02/2026,"4523 Sports Coaches, Instructors and Officials",60,3
02/2026,3222 Sheetmetal Trades Workers,65,1
02/2026,3222 Sheetmetal Trades Workers,75,3
02/2026,3222 Sheetmetal Trades Workers,70,5
02/2026,3222 Sheetmetal Trades Workers,80,1
02/2026,3222 Sheetmetal Trades Workers,60,1
02/2026,2527 Speech Professionals and Audiologists,65,53
02/2026,2527 Speech Professionals and Audiologists,75,64
02/2026,2527 Speech Professionals and Audiologists,70,63
02/2026,2527 Speech Professionals and Audiologists,80,39
02/2026,2527 Speech Professionals and Audiologists,90,4
02/2026,2527 Speech Professionals and Audiologists,85,19
02/2026,2527 Speech Professionals and Audiologists,55,12
02/2026,2527 Speech Professionals and Audiologists,60,14
02/2026,2527 Speech Professionals and Audiologists,50,1
02/2026,2524 Occupational Therapists,65,76
02/2026,2524 Occupational Therapists,75,127
02/2026,2524 Occupational Therapists,70,123
02/2026,2524 Occupational Therapists,80,32
02/2026,2524 Occupational Therapists,90,1
02/2026,2524 Occupational Therapists,85,15
02/2026,2524 Occupational Therapists,55,14
02/2026,2524 Occupational Therapists,60,18
02/2026,2524 Occupational Therapists,50,2
02/2026,2524 Occupational Therapists,45,1
02/2026,2519 Other Health Diagnostic and Promotion Professionals,65,2
02/2026,2519 Other Health Diagnostic and Promotion Professionals,70,4
02/2026,2519 Other Health Diagnostic and Promotion Professionals,80,3
02/2026,3421 Airconditioning and Refrigeration Mechanics,65,13
02/2026,3421 Airconditioning and Refrigeration Mechanics,75,4
02/2026,3421 Airconditioning and Refrigeration Mechanics,70,13
02/2026,3421 Airconditioning and Refrigeration Mechanics,80,1
02/2026,3421 Airconditioning and Refrigeration Mechanics,55,7
02/2026,3421 Airconditioning and Refrigeration Mechanics,60,5
02/2026,3421 Airconditioning and Refrigeration Mechanics,50,2
02/2026,3421 Airconditioning and Refrigeration Mechanics,45,1
02/2026,3421 Airconditioning and Refrigeration Mechanics,35,1
02/2026,2346 Medical Laboratory Scientists,65,68
02/2026,2346 Medical Laboratory Scientists,75,168
02/2026,2346 Medical Laboratory Scientists,70,123
02/2026,2346 Medical Laboratory Scientists,80,100
02/2026,2346 Medical Laboratory Scientists,90,7
02/2026,2346 Medical Laboratory Scientists,85,48
02/2026,2346 Medical Laboratory Scientists,55,4
02/2026,2346 Medical Laboratory Scientists,60,18
02/2026,2346 Medical Laboratory Scientists,40,1
02/2026,2346 Medical Laboratory Scientists,45,1
02/2026,2415 Special Education Teachers,65,15
02/2026,2415 Special Education Teachers,75,17
02/2026,2415 Special Education Teachers,70,15
02/2026,2415 Special Education Teachers,80,2
02/2026,2415 Special Education Teachers,90,1
02/2026,2415 Special Education Teachers,85,3
02/2026,2415 Special Education Teachers,55,2
02/2026,2415 Special Education Teachers,60,8
02/2026,2723 Psychologists,65,35
02/2026,2723 Psychologists,75,45
02/2026,2723 Psychologists,70,40
02/2026,2723 Psychologists,80,22
02/2026,2723 Psychologists,95,1
02/2026,2723 Psychologists,90,1
02/2026,2723 Psychologists,85,19
02/2026,2723 Psychologists,55,6
02/2026,2723 Psychologists,60,11
02/2026,2723 Psychologists,50,3
02/2026,2541 Midwives,65,14
02/2026,2541 Midwives,75,26
02/2026,2541 Midwives,70,21
02/2026,2541 Midwives,80,14
02/2026,2541 Midwives,85,5
02/2026,2541 Midwives,55,1
02/2026,2541 Midwives,60,3
02/2026,2541 Midwives,50,1
02/2026,2541 Midwives,40,1
02/2026,3341 Plumbers,65,17
02/2026,3341 Plumbers,75,5
02/2026,3341 Plumbers,70,13
02/2026,3341 Plumbers,95,1
02/2026,3341 Plumbers,85,1
02/2026,3341 Plumbers,55,6
02/2026,3341 Plumbers,60,10
02/2026,3341 Plumbers,50,1
02/2026,3341 Plumbers,40,1
02/2026,3341 Plumbers,45,3
02/2026,3241 Panelbeaters,65,3
02/2026,3241 Panelbeaters,75,1
02/2026,3241 Panelbeaters,70,4
02/2026,3241 Panelbeaters,80,1
02/2026,3241 Panelbeaters,85,1
02/2026,3241 Panelbeaters,60,3
02/2026,3241 Panelbeaters,45,1
02/2026,3991 Boat Builders and Shipwrights,65,9
02/2026,3991 Boat Builders and Shipwrights,75,5
02/2026,3991 Boat Builders and Shipwrights,70,4
02/2026,3991 Boat Builders and Shipwrights,80,7
02/2026,3991 Boat Builders and Shipwrights,85,2
02/2026,3991 Boat Builders and Shipwrights,55,1
02/2026,3991 Boat Builders and Shipwrights,60,2
02/2026,2533 Internal Medicine Specialists,65,9
02/2026,2533 Internal Medicine Specialists,75,12
02/2026,2533 Internal Medicine Specialists,70,11
02/2026,2533 Internal Medicine Specialists,80,10
02/2026,2533 Internal Medicine Specialists,90,1
02/2026,2533 Internal Medicine Specialists,85,3
02/2026,2533 Internal Medicine Specialists,55,1
02/2026,2533 Internal Medicine Specialists,60,7
02/2026,2533 Internal Medicine Specialists,50,4
02/2026,2533 Internal Medicine Specialists,40,1
02/2026,3332 Plasterers,65,10
02/2026,3332 Plasterers,75,2
02/2026,3332 Plasterers,70,4
02/2026,3332 Plasterers,80,2
02/2026,3332 Plasterers,55,6
02/2026,3332 Plasterers,60,9
02/2026,3611 Animal Attendants and Trainers,65,2
02/2026,3611 Animal Attendants and Trainers,75,1
02/2026,3334 Wall and Floor Tilers,65,47
02/2026,3334 Wall and Floor Tilers,75,7
02/2026,3334 Wall and Floor Tilers,70,22
02/2026,3334 Wall and Floor Tilers,80,2
02/2026,3334 Wall and Floor Tilers,95,1
02/2026,3334 Wall and Floor Tilers,85,2
02/2026,3334 Wall and Floor Tilers,55,9
02/2026,3334 Wall and Floor Tilers,60,25
02/2026,3334 Wall and Floor Tilers,50,4
02/2026,2112 Music Professionals,65,8
02/2026,2112 Music Professionals,70,3
02/2026,2112 Music Professionals,80,3
02/2026,2112 Music Professionals,90,1
02/2026,2112 Music Professionals,85,2
02/2026,2112 Music Professionals,60,1
02/2026,2112 Music Professionals,50,1
02/2026,3211 Automotive Electricians,65,23
02/2026,3211 Automotive Electricians,75,12
02/2026,3211 Automotive Electricians,70,11
02/2026,3211 Automotive Electricians,80,5
02/2026,3211 Automotive Electricians,85,1
02/2026,3211 Automotive Electricians,55,8
02/2026,3211 Automotive Electricians,60,9
02/2026,3211 Automotive Electricians,50,16
02/2026,3211 Automotive Electricians,40,1
02/2026,3211 Automotive Electricians,45,2
02/2026,2534 Psychiatrists,65,3
02/2026,2534 Psychiatrists,75,1
02/2026,2534 Psychiatrists,70,3
02/2026,2534 Psychiatrists,80,1
02/2026,2534 Psychiatrists,85,6
02/2026,2534 Psychiatrists,55,1
02/2026,2534 Psychiatrists,60,3
02/2026,2514 Optometrists and Orthoptists,65,2
02/2026,2514 Optometrists and Orthoptists,75,17
02/2026,2514 Optometrists and Orthoptists,70,6
02/2026,2514 Optometrists and Orthoptists,80,5
02/2026,2514 Optometrists and Orthoptists,85,1
02/2026,2514 Optometrists and Orthoptists,60,2
02/2026,2535 Surgeons,65,5
02/2026,2535 Surgeons,75,4
02/2026,2535 Surgeons,70,2
02/2026,2535 Surgeons,80,1
02/2026,2535 Surgeons,95,1
02/2026,2535 Surgeons,90,1
02/2026,2535 Surgeons,85,1
02/2026,2535 Surgeons,55,2
02/2026,2535 Surgeons,50,1
02/2026,3422 Electrical Distribution Trades Workers,65,1
02/2026,3422 Electrical Distribution Trades Workers,60,1
02/2026,2526 Podiatrists,65,7
02/2026,2526 Podiatrists,75,11
02/2026,2526 Podiatrists,70,8
02/2026,2526 Podiatrists,80,2
02/2026,2526 Podiatrists,85,3
02/2026,2526 Podiatrists,55,1
02/2026,2526 Podiatrists,60,3
02/2026,"2111 Actors, Dancers and Other Entertainers",65,2
02/2026,"2111 Actors, Dancers and Other Entertainers",75,4
02/2026,"2111 Actors, Dancers and Other Entertainers",80,4
02/2026,4524 Sportspersons,65,1
02/2026,4524 Sportspersons,80,1
01/2026,2613 Software and Applications Programmers,65,2444
01/2026,2613 Software and Applications Programmers,75,3560
01/2026,2613 Software and Applications Programmers,70,3055
01/2026,2613 Software and Applications Programmers,80,3465
01/2026,2613 Software and Applications Programmers,95,1901
01/2026,2613 Software and Applications Programmers,90,3601
01/2026,2613 Software and Applications Programmers,85,3268
01/2026,2613 Software and Applications Programmers,55,331
01/2026,2613 Software and Applications Programmers,60,737
01/2026,2613 Software and Applications Programmers,50,115
01/2026,2613 Software and Applications Programmers,110,5
01/2026,2613 Software and Applications Programmers,100,540
01/2026,2613 Software and Applications Programmers,105,83
01/2026,2613 Software and Applications Programmers,40,5
01/2026,2613 Software and Applications Programmers,45,45
01/2026,2613 Software and Applications Programmers,30,7
01/2026,2613 Software and Applications Programmers,25,1
01/2026,2613 Software and Applications Programmers,120,2
01/2026,2613 Software and Applications Programmers,115,1
01/2026,2613 Software and Applications Programmers,125,1
01/2026,2613 Software and Applications Programmers,35,1
01/2026,3212 Motor Mechanics,65,766
01/2026,3212 Motor Mechanics,75,550
01/2026,3212 Motor Mechanics,70,703
01/2026,3212 Motor Mechanics,80,307
01/2026,3212 Motor Mechanics,95,14
01/2026,3212 Motor Mechanics,90,50
01/2026,3212 Motor Mechanics,85,136
01/2026,3212 Motor Mechanics,55,140
01/2026,3212 Motor Mechanics,60,359
01/2026,3212 Motor Mechanics,50,53
01/2026,3212 Motor Mechanics,100,1
01/2026,3212 Motor Mechanics,40,2
01/2026,3212 Motor Mechanics,45,9
01/2026,3212 Motor Mechanics,30,1
01/2026,3212 Motor Mechanics,35,3
01/2026,2332 Civil Engineering Professionals,65,1751
01/2026,2332 Civil Engineering Professionals,75,1945
01/2026,2332 Civil Engineering Professionals,70,1855
01/2026,2332 Civil Engineering Professionals,80,1470
01/2026,2332 Civil Engineering Professionals,95,155
01/2026,2332 Civil Engineering Professionals,90,637
01/2026,2332 Civil Engineering Professionals,85,1182
01/2026,2332 Civil Engineering Professionals,55,330
01/2026,2332 Civil Engineering Professionals,60,521
01/2026,2332 Civil Engineering Professionals,50,103
01/2026,2332 Civil Engineering Professionals,110,1
01/2026,2332 Civil Engineering Professionals,100,32
01/2026,2332 Civil Engineering Professionals,105,4
01/2026,2332 Civil Engineering Professionals,40,6
01/2026,2332 Civil Engineering Professionals,45,29
01/2026,2332 Civil Engineering Professionals,30,2
01/2026,2332 Civil Engineering Professionals,115,1
01/2026,2332 Civil Engineering Professionals,35,2
01/2026,2411 Early Childhood (Pre-primary School) Teachers,65,1370
01/2026,2411 Early Childhood (Pre-primary School) Teachers,75,1825
01/2026,2411 Early Childhood (Pre-primary School) Teachers,70,2181
01/2026,2411 Early Childhood (Pre-primary School) Teachers,80,1557
01/2026,2411 Early Childhood (Pre-primary School) Teachers,95,2
01/2026,2411 Early Childhood (Pre-primary School) Teachers,90,83
01/2026,2411 Early Childhood (Pre-primary School) Teachers,85,974
01/2026,2411 Early Childhood (Pre-primary School) Teachers,55,140
01/2026,2411 Early Childhood (Pre-primary School) Teachers,60,506
01/2026,2411 Early Childhood (Pre-primary School) Teachers,50,58
01/2026,2411 Early Childhood (Pre-primary School) Teachers,40,4
01/2026,2411 Early Childhood (Pre-primary School) Teachers,45,16
01/2026,2611 ICT Business and Systems Analysts,65,1204
01/2026,2611 ICT Business and Systems Analysts,75,1935
01/2026,2611 ICT Business and Systems Analysts,70,1459
01/2026,2611 ICT Business and Systems Analysts,80,1850
01/2026,2611 ICT Business and Systems Analysts,95,966
01/2026,2611 ICT Business and Systems Analysts,90,1904
01/2026,2611 ICT Business and Systems Analysts,85,1753
01/2026,2611 ICT Business and Systems Analysts,55,139
01/2026,2611 ICT Business and Systems Analysts,60,323
01/2026,2611 ICT Business and Systems Analysts,50,42
01/2026,2611 ICT Business and Systems Analysts,110,1
01/2026,2611 ICT Business and Systems Analysts,100,260
01/2026,2611 ICT Business and Systems Analysts,105,8
01/2026,2611 ICT Business and Systems Analysts,40,6
01/2026,2611 ICT Business and Systems Analysts,45,11
01/2026,2211 Accountants,65,1391
01/2026,2211 Accountants,75,2087
01/2026,2211 Accountants,70,2142
01/2026,2211 Accountants,80,1732
01/2026,2211 Accountants,95,444
01/2026,2211 Accountants,90,932
01/2026,2211 Accountants,85,1548
01/2026,2211 Accountants,55,115
01/2026,2211 Accountants,60,345
01/2026,2211 Accountants,50,56
01/2026,2211 Accountants,110,1
01/2026,2211 Accountants,100,118
01/2026,2211 Accountants,105,5
01/2026,2211 Accountants,40,2
01/2026,2211 Accountants,45,16
01/2026,2211 Accountants,115,1
01/2026,2211 Accountants,35,3
01/2026,2344 Geologists Geophysicists and Hydrogeologists,65,24
01/2026,2344 Geologists Geophysicists and Hydrogeologists,75,29
01/2026,2344 Geologists Geophysicists and Hydrogeologists,70,12
01/2026,2344 Geologists Geophysicists and Hydrogeologists,80,8
01/2026,2344 Geologists Geophysicists and Hydrogeologists,90,4
01/2026,2344 Geologists Geophysicists and Hydrogeologists,85,6
01/2026,2344 Geologists Geophysicists and Hydrogeologists,55,5
01/2026,2344 Geologists Geophysicists and Hydrogeologists,60,6
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",65,321
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",75,475
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",70,382
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",80,492
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",95,194
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",90,410
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",85,429
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",55,45
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",60,86
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",50,18
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",100,36
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",105,4
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",40,1
01/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",45,3
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,592
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,742
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,750
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",80,698
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,73
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,369
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",85,657
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",55,39
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",60,130
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",50,22
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,14
01/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",45,4
01/2026,2345 Life Scientists,65,179
01/2026,2345 Life Scientists,75,212
01/2026,2345 Life Scientists,70,184
01/2026,2345 Life Scientists,80,162
01/2026,2345 Life Scientists,95,17
01/2026,2345 Life Scientists,90,53
01/2026,2345 Life Scientists,85,136
01/2026,2345 Life Scientists,55,51
01/2026,2345 Life Scientists,60,61
01/2026,2345 Life Scientists,50,14
01/2026,2345 Life Scientists,110,2
01/2026,2345 Life Scientists,100,5
01/2026,2345 Life Scientists,40,1
01/2026,2345 Life Scientists,45,7
01/2026,"2335 Industrial, Mechanical and Production Engineers",65,1311
01/2026,"2335 Industrial, Mechanical and Production Engineers",75,1568
01/2026,"2335 Industrial, Mechanical and Production Engineers",70,1445
01/2026,"2335 Industrial, Mechanical and Production Engineers",80,1193
01/2026,"2335 Industrial, Mechanical and Production Engineers",95,158
01/2026,"2335 Industrial, Mechanical and Production Engineers",90,629
01/2026,"2335 Industrial, Mechanical and Production Engineers",85,1140
01/2026,"2335 Industrial, Mechanical and Production Engineers",55,280
01/2026,"2335 Industrial, Mechanical and Production Engineers",60,521
01/2026,"2335 Industrial, Mechanical and Production Engineers",50,87
01/2026,"2335 Industrial, Mechanical and Production Engineers",100,39
01/2026,"2335 Industrial, Mechanical and Production Engineers",105,3
01/2026,"2335 Industrial, Mechanical and Production Engineers",40,12
01/2026,"2335 Industrial, Mechanical and Production Engineers",45,30
01/2026,"2335 Industrial, Mechanical and Production Engineers",25,1
01/2026,"2335 Industrial, Mechanical and Production Engineers",35,3
01/2026,2339 Other Engineering Professionals,65,1225
01/2026,2339 Other Engineering Professionals,75,1274
01/2026,2339 Other Engineering Professionals,70,1321
01/2026,2339 Other Engineering Professionals,80,1118
01/2026,2339 Other Engineering Professionals,95,171
01/2026,2339 Other Engineering Professionals,90,588
01/2026,2339 Other Engineering Professionals,85,1058
01/2026,2339 Other Engineering Professionals,55,271
01/2026,2339 Other Engineering Professionals,60,474
01/2026,2339 Other Engineering Professionals,50,74
01/2026,2339 Other Engineering Professionals,100,43
01/2026,2339 Other Engineering Professionals,105,5
01/2026,2339 Other Engineering Professionals,40,5
01/2026,2339 Other Engineering Professionals,45,29
01/2026,2339 Other Engineering Professionals,30,3
01/2026,2339 Other Engineering Professionals,35,1
01/2026,2341 Agricultural and Forestry Scientists,65,260
01/2026,2341 Agricultural and Forestry Scientists,75,157
01/2026,2341 Agricultural and Forestry Scientists,70,196
01/2026,2341 Agricultural and Forestry Scientists,80,137
01/2026,2341 Agricultural and Forestry Scientists,95,5
01/2026,2341 Agricultural and Forestry Scientists,90,18
01/2026,2341 Agricultural and Forestry Scientists,85,70
01/2026,2341 Agricultural and Forestry Scientists,55,26
01/2026,2341 Agricultural and Forestry Scientists,60,73
01/2026,2341 Agricultural and Forestry Scientists,50,25
01/2026,2341 Agricultural and Forestry Scientists,100,1
01/2026,2341 Agricultural and Forestry Scientists,105,1
01/2026,2341 Agricultural and Forestry Scientists,40,1
01/2026,2341 Agricultural and Forestry Scientists,45,6
01/2026,2341 Agricultural and Forestry Scientists,30,1
01/2026,2544 Registered Nurses,65,2940
01/2026,2544 Registered Nurses,75,2985
01/2026,2544 Registered Nurses,70,3534
01/2026,2544 Registered Nurses,80,901
01/2026,2544 Registered Nurses,95,1
01/2026,2544 Registered Nurses,90,30
01/2026,2544 Registered Nurses,85,244
01/2026,2544 Registered Nurses,55,314
01/2026,2544 Registered Nurses,60,781
01/2026,2544 Registered Nurses,50,103
01/2026,2544 Registered Nurses,40,8
01/2026,2544 Registered Nurses,45,37
01/2026,2544 Registered Nurses,30,1
01/2026,2544 Registered Nurses,35,7
01/2026,3513 Chefs,65,2365
01/2026,3513 Chefs,75,1947
01/2026,3513 Chefs,70,2365
01/2026,3513 Chefs,80,970
01/2026,3513 Chefs,95,46
01/2026,3513 Chefs,90,238
01/2026,3513 Chefs,85,472
01/2026,3513 Chefs,55,461
01/2026,3513 Chefs,60,1069
01/2026,3513 Chefs,50,199
01/2026,3513 Chefs,100,5
01/2026,3513 Chefs,105,3
01/2026,3513 Chefs,40,8
01/2026,3513 Chefs,45,41
01/2026,3513 Chefs,30,2
01/2026,3513 Chefs,35,2
01/2026,2334 Electronics Engineers,65,443
01/2026,2334 Electronics Engineers,75,416
01/2026,2334 Electronics Engineers,70,393
01/2026,2334 Electronics Engineers,80,305
01/2026,2334 Electronics Engineers,95,188
01/2026,2334 Electronics Engineers,90,146
01/2026,2334 Electronics Engineers,85,285
01/2026,2334 Electronics Engineers,55,100
01/2026,2334 Electronics Engineers,60,160
01/2026,2334 Electronics Engineers,50,42
01/2026,2334 Electronics Engineers,100,8
01/2026,2334 Electronics Engineers,40,2
01/2026,2334 Electronics Engineers,45,13
01/2026,2334 Electronics Engineers,25,1
01/2026,2334 Electronics Engineers,35,1
01/2026,3232 Metal Fitters and Machinists,65,80
01/2026,3232 Metal Fitters and Machinists,75,44
01/2026,3232 Metal Fitters and Machinists,70,62
01/2026,3232 Metal Fitters and Machinists,80,22
01/2026,3232 Metal Fitters and Machinists,90,3
01/2026,3232 Metal Fitters and Machinists,85,3
01/2026,3232 Metal Fitters and Machinists,55,28
01/2026,3232 Metal Fitters and Machinists,60,61
01/2026,3232 Metal Fitters and Machinists,50,45
01/2026,3232 Metal Fitters and Machinists,40,6
01/2026,3232 Metal Fitters and Machinists,45,9
01/2026,3232 Metal Fitters and Machinists,30,1
01/2026,3232 Metal Fitters and Machinists,35,1
01/2026,2631 Computer Network Professionals,65,384
01/2026,2631 Computer Network Professionals,75,679
01/2026,2631 Computer Network Professionals,70,495
01/2026,2631 Computer Network Professionals,80,535
01/2026,2631 Computer Network Professionals,95,256
01/2026,2631 Computer Network Professionals,90,494
01/2026,2631 Computer Network Professionals,85,567
01/2026,2631 Computer Network Professionals,55,74
01/2026,2631 Computer Network Professionals,60,127
01/2026,2631 Computer Network Professionals,50,20
01/2026,2631 Computer Network Professionals,100,99
01/2026,2631 Computer Network Professionals,105,2
01/2026,2631 Computer Network Professionals,40,4
01/2026,2631 Computer Network Professionals,45,4
01/2026,2631 Computer Network Professionals,30,2
01/2026,"2342 Chemists, and Food and Wine Scientists",65,224
01/2026,"2342 Chemists, and Food and Wine Scientists",75,217
01/2026,"2342 Chemists, and Food and Wine Scientists",70,229
01/2026,"2342 Chemists, and Food and Wine Scientists",80,173
01/2026,"2342 Chemists, and Food and Wine Scientists",95,8
01/2026,"2342 Chemists, and Food and Wine Scientists",90,25
01/2026,"2342 Chemists, and Food and Wine Scientists",85,126
01/2026,"2342 Chemists, and Food and Wine Scientists",55,31
01/2026,"2342 Chemists, and Food and Wine Scientists",60,55
01/2026,"2342 Chemists, and Food and Wine Scientists",50,15
01/2026,"2342 Chemists, and Food and Wine Scientists",100,2
01/2026,"2342 Chemists, and Food and Wine Scientists",105,1
01/2026,"2342 Chemists, and Food and Wine Scientists",40,1
01/2026,"2342 Chemists, and Food and Wine Scientists",45,4
01/2026,"2342 Chemists, and Food and Wine Scientists",35,1
01/2026,2713 Solicitors,65,85
01/2026,2713 Solicitors,75,140
01/2026,2713 Solicitors,70,117
01/2026,2713 Solicitors,80,180
01/2026,2713 Solicitors,95,3
01/2026,2713 Solicitors,90,51
01/2026,2713 Solicitors,85,118
01/2026,2713 Solicitors,55,7
01/2026,2713 Solicitors,60,23
01/2026,2713 Solicitors,50,2
01/2026,2713 Solicitors,45,2
01/2026,2713 Solicitors,35,2
01/2026,2331 Chemical and Materials Engineers,65,235
01/2026,2331 Chemical and Materials Engineers,75,307
01/2026,2331 Chemical and Materials Engineers,70,297
01/2026,2331 Chemical and Materials Engineers,80,321
01/2026,2331 Chemical and Materials Engineers,95,12
01/2026,2331 Chemical and Materials Engineers,90,66
01/2026,2331 Chemical and Materials Engineers,85,157
01/2026,2331 Chemical and Materials Engineers,55,54
01/2026,2331 Chemical and Materials Engineers,60,65
01/2026,2331 Chemical and Materials Engineers,50,14
01/2026,2331 Chemical and Materials Engineers,100,4
01/2026,2331 Chemical and Materials Engineers,40,1
01/2026,2331 Chemical and Materials Engineers,45,2
01/2026,2331 Chemical and Materials Engineers,30,1
01/2026,3123 Electrical Engineering Draftspersons and Technicians,65,85
01/2026,3123 Electrical Engineering Draftspersons and Technicians,75,60
01/2026,3123 Electrical Engineering Draftspersons and Technicians,70,80
01/2026,3123 Electrical Engineering Draftspersons and Technicians,80,30
01/2026,3123 Electrical Engineering Draftspersons and Technicians,90,20
01/2026,3123 Electrical Engineering Draftspersons and Technicians,85,39
01/2026,3123 Electrical Engineering Draftspersons and Technicians,55,13
01/2026,3123 Electrical Engineering Draftspersons and Technicians,60,35
01/2026,3123 Electrical Engineering Draftspersons and Technicians,50,9
01/2026,3123 Electrical Engineering Draftspersons and Technicians,40,1
01/2026,2333 Electrical Engineers,65,696
01/2026,2333 Electrical Engineers,75,716
01/2026,2333 Electrical Engineers,70,663
01/2026,2333 Electrical Engineers,80,602
01/2026,2333 Electrical Engineers,95,75
01/2026,2333 Electrical Engineers,90,254
01/2026,2333 Electrical Engineers,85,466
01/2026,2333 Electrical Engineers,55,155
01/2026,2333 Electrical Engineers,60,289
01/2026,2333 Electrical Engineers,50,65
01/2026,2333 Electrical Engineers,110,1
01/2026,2333 Electrical Engineers,100,18
01/2026,2333 Electrical Engineers,105,2
01/2026,2333 Electrical Engineers,40,4
01/2026,2333 Electrical Engineers,45,15
01/2026,2333 Electrical Engineers,120,1
01/2026,2333 Electrical Engineers,35,1
01/2026,2321 Architects and Landscape Architects,65,201
01/2026,2321 Architects and Landscape Architects,75,289
01/2026,2321 Architects and Landscape Architects,70,274
01/2026,2321 Architects and Landscape Architects,80,235
01/2026,2321 Architects and Landscape Architects,90,25
01/2026,2321 Architects and Landscape Architects,85,144
01/2026,2321 Architects and Landscape Architects,55,12
01/2026,2321 Architects and Landscape Architects,60,53
01/2026,2321 Architects and Landscape Architects,50,2
01/2026,2321 Architects and Landscape Architects,45,1
01/2026,2531 General Practitioners and Resident Medical officers,65,64
01/2026,2531 General Practitioners and Resident Medical officers,75,151
01/2026,2531 General Practitioners and Resident Medical officers,70,143
01/2026,2531 General Practitioners and Resident Medical officers,80,88
01/2026,2531 General Practitioners and Resident Medical officers,95,2
01/2026,2531 General Practitioners and Resident Medical officers,90,24
01/2026,2531 General Practitioners and Resident Medical officers,85,41
01/2026,2531 General Practitioners and Resident Medical officers,55,12
01/2026,2531 General Practitioners and Resident Medical officers,60,30
01/2026,2531 General Practitioners and Resident Medical officers,50,3
01/2026,2531 General Practitioners and Resident Medical officers,100,2
01/2026,2531 General Practitioners and Resident Medical officers,40,1
01/2026,2531 General Practitioners and Resident Medical officers,45,1
01/2026,2247 Management and Organisation Analysts,65,60
01/2026,2247 Management and Organisation Analysts,75,101
01/2026,2247 Management and Organisation Analysts,70,88
01/2026,2247 Management and Organisation Analysts,80,131
01/2026,2247 Management and Organisation Analysts,95,1
01/2026,2247 Management and Organisation Analysts,90,34
01/2026,2247 Management and Organisation Analysts,85,88
01/2026,2247 Management and Organisation Analysts,55,6
01/2026,2247 Management and Organisation Analysts,60,16
01/2026,2247 Management and Organisation Analysts,50,3
01/2026,2247 Management and Organisation Analysts,45,2
01/2026,2347 Veterinarians,65,22
01/2026,2347 Veterinarians,75,42
01/2026,2347 Veterinarians,70,31
01/2026,2347 Veterinarians,80,49
01/2026,2347 Veterinarians,95,3
01/2026,2347 Veterinarians,90,21
01/2026,2347 Veterinarians,85,51
01/2026,2347 Veterinarians,55,3
01/2026,2347 Veterinarians,60,2
01/2026,2347 Veterinarians,50,1
01/2026,2347 Veterinarians,100,1
01/2026,2414 Secondary School Teachers,65,395
01/2026,2414 Secondary School Teachers,75,437
01/2026,2414 Secondary School Teachers,70,439
01/2026,2414 Secondary School Teachers,80,199
01/2026,2414 Secondary School Teachers,95,2
01/2026,2414 Secondary School Teachers,90,13
01/2026,2414 Secondary School Teachers,85,64
01/2026,2414 Secondary School Teachers,55,51
01/2026,2414 Secondary School Teachers,60,132
01/2026,2414 Secondary School Teachers,50,22
