OccGroup,Score,Partner,n
2631 Computer Network Professionals,65,0,140
2631 Computer Network Professionals,65,5,77
2631 Computer Network Professionals,65,10,196
2631 Computer Network Professionals,75,0,63
2631 Computer Network Professionals,75,5,127
2631 Computer Network Professionals,75,10,450
2631 Computer Network Professionals,70,0,84
2631 Computer Network Professionals,70,5,186
2631 Computer Network Professionals,70,10,217
2631 Computer Network Professionals,80,0,45
2631 Computer Network Professionals,80,5,135
2631 Computer Network Professionals,80,10,368
2631 Computer Network Professionals,95,5,36
2631 Computer Network Professionals,95,10,210
2631 Computer Network Professionals,90,0,12
2631 Computer Network Professionals,90,5,95
2631 Computer Network Professionals,90,10,382
2631 Computer Network Professionals,85,0,17
2631 Computer Network Professionals,85,5,131
2631 Computer Network Professionals,85,10,365
2631 Computer Network Professionals,55,0,47
2631 Computer Network Professionals,55,5,12
2631 Computer Network Professionals,55,10,23
2631 Computer Network Professionals,60,0,55
2631 Computer Network Professionals,60,5,44
2631 Computer Network Professionals,60,10,42
2631 Computer Network Professionals,50,0,20
2631 Computer Network Professionals,50,5,5
2631 Computer Network Professionals,50,10,1
2631 Computer Network Professionals,100,5,3
2631 Computer Network Professionals,100,10,126
2631 Computer Network Professionals,105,5,1
2631 Computer Network Professionals,105,10,5
2631 Computer Network Professionals,40,0,2
2631 Computer Network Professionals,40,5,1
2631 Computer Network Professionals,40,10,1
2631 Computer Network Professionals,45,0,12
2631 Computer Network Professionals,45,10,1
2631 Computer Network Professionals,30,0,2
2631 Computer Network Professionals,35,0,2
"2342 Chemists, and Food and Wine Scientists",65,0,89
"2342 Chemists, and Food and Wine Scientists",65,5,36
"2342 Chemists, and Food and Wine Scientists",65,10,156
"2342 Chemists, and Food and Wine Scientists",75,0,34
"2342 Chemists, and Food and Wine Scientists",75,5,60
"2342 Chemists, and Food and Wine Scientists",75,10,181
"2342 Chemists, and Food and Wine Scientists",70,0,29
"2342 Chemists, and Food and Wine Scientists",70,5,77
"2342 Chemists, and Food and Wine Scientists",70,10,119
"2342 Chemists, and Food and Wine Scientists",80,0,12
"2342 Chemists, and Food and Wine Scientists",80,5,55
"2342 Chemists, and Food and Wine Scientists",80,10,144
"2342 Chemists, and Food and Wine Scientists",95,0,1
"2342 Chemists, and Food and Wine Scientists",95,5,2
"2342 Chemists, and Food and Wine Scientists",95,10,12
"2342 Chemists, and Food and Wine Scientists",90,5,3
"2342 Chemists, and Food and Wine Scientists",90,10,44
"2342 Chemists, and Food and Wine Scientists",85,0,8
"2342 Chemists, and Food and Wine Scientists",85,5,26
"2342 Chemists, and Food and Wine Scientists",85,10,119
"2342 Chemists, and Food and Wine Scientists",55,0,14
"2342 Chemists, and Food and Wine Scientists",55,5,11
"2342 Chemists, and Food and Wine Scientists",55,10,21
"2342 Chemists, and Food and Wine Scientists",60,0,17
"2342 Chemists, and Food and Wine Scientists",60,5,26
"2342 Chemists, and Food and Wine Scientists",60,10,37
"2342 Chemists, and Food and Wine Scientists",50,0,8
"2342 Chemists, and Food and Wine Scientists",50,5,4
"2342 Chemists, and Food and Wine Scientists",50,10,5
"2342 Chemists, and Food and Wine Scientists",100,5,1
"2342 Chemists, and Food and Wine Scientists",100,10,1
"2342 Chemists, and Food and Wine Scientists",40,0,1
"2342 Chemists, and Food and Wine Scientists",40,10,2
"2342 Chemists, and Food and Wine Scientists",45,0,4
"2342 Chemists, and Food and Wine Scientists",25,5,1
2713 Solicitors,65,0,23
2713 Solicitors,65,5,24
2713 Solicitors,65,10,70
2713 Solicitors,75,0,9
2713 Solicitors,75,5,22
2713 Solicitors,75,10,143
2713 Solicitors,70,0,9
2713 Solicitors,70,5,33
2713 Solicitors,70,10,78
2713 Solicitors,80,0,4
2713 Solicitors,80,5,11
2713 Solicitors,80,10,102
2713 Solicitors,95,10,3
2713 Solicitors,90,10,26
2713 Solicitors,85,0,2
2713 Solicitors,85,5,13
2713 Solicitors,85,10,62
2713 Solicitors,55,0,2
2713 Solicitors,55,5,3
2713 Solicitors,55,10,7
2713 Solicitors,60,0,3
2713 Solicitors,60,5,10
2713 Solicitors,60,10,16
2713 Solicitors,50,5,2
2713 Solicitors,100,10,1
2713 Solicitors,45,0,2
2331 Chemical and Materials Engineers,65,0,57
2331 Chemical and Materials Engineers,65,5,35
2331 Chemical and Materials Engineers,65,10,181
2331 Chemical and Materials Engineers,75,0,27
2331 Chemical and Materials Engineers,75,5,57
2331 Chemical and Materials Engineers,75,10,244
2331 Chemical and Materials Engineers,70,0,26
2331 Chemical and Materials Engineers,70,5,108
2331 Chemical and Materials Engineers,70,10,183
2331 Chemical and Materials Engineers,80,0,14
2331 Chemical and Materials Engineers,80,5,47
2331 Chemical and Materials Engineers,80,10,279
2331 Chemical and Materials Engineers,95,5,2
2331 Chemical and Materials Engineers,95,10,34
2331 Chemical and Materials Engineers,90,0,2
2331 Chemical and Materials Engineers,90,5,12
2331 Chemical and Materials Engineers,90,10,105
2331 Chemical and Materials Engineers,85,0,3
2331 Chemical and Materials Engineers,85,5,30
2331 Chemical and Materials Engineers,85,10,174
2331 Chemical and Materials Engineers,55,0,27
2331 Chemical and Materials Engineers,55,5,7
2331 Chemical and Materials Engineers,55,10,22
2331 Chemical and Materials Engineers,60,0,23
2331 Chemical and Materials Engineers,60,5,30
2331 Chemical and Materials Engineers,60,10,39
2331 Chemical and Materials Engineers,50,0,10
2331 Chemical and Materials Engineers,50,5,6
2331 Chemical and Materials Engineers,50,10,6
2331 Chemical and Materials Engineers,100,5,1
2331 Chemical and Materials Engineers,100,10,7
2331 Chemical and Materials Engineers,105,10,1
2331 Chemical and Materials Engineers,40,10,1
2331 Chemical and Materials Engineers,45,0,8
2331 Chemical and Materials Engineers,45,5,1
2331 Chemical and Materials Engineers,30,0,1
3123 Electrical Engineering Draftspersons and Technicians,65,0,19
3123 Electrical Engineering Draftspersons and Technicians,65,5,19
3123 Electrical Engineering Draftspersons and Technicians,65,10,56
3123 Electrical Engineering Draftspersons and Technicians,75,0,9
3123 Electrical Engineering Draftspersons and Technicians,75,5,7
3123 Electrical Engineering Draftspersons and Technicians,75,10,51
3123 Electrical Engineering Draftspersons and Technicians,70,0,7
3123 Electrical Engineering Draftspersons and Technicians,70,5,25
3123 Electrical Engineering Draftspersons and Technicians,70,10,63
3123 Electrical Engineering Draftspersons and Technicians,80,0,5
3123 Electrical Engineering Draftspersons and Technicians,80,5,5
3123 Electrical Engineering Draftspersons and Technicians,80,10,15
3123 Electrical Engineering Draftspersons and Technicians,90,10,24
3123 Electrical Engineering Draftspersons and Technicians,85,0,1
3123 Electrical Engineering Draftspersons and Technicians,85,5,3
3123 Electrical Engineering Draftspersons and Technicians,85,10,33
3123 Electrical Engineering Draftspersons and Technicians,55,0,12
3123 Electrical Engineering Draftspersons and Technicians,55,5,7
3123 Electrical Engineering Draftspersons and Technicians,55,10,8
3123 Electrical Engineering Draftspersons and Technicians,60,0,7
3123 Electrical Engineering Draftspersons and Technicians,60,5,15
3123 Electrical Engineering Draftspersons and Technicians,60,10,17
3123 Electrical Engineering Draftspersons and Technicians,50,0,4
3123 Electrical Engineering Draftspersons and Technicians,50,5,5
3123 Electrical Engineering Draftspersons and Technicians,50,10,2
3123 Electrical Engineering Draftspersons and Technicians,40,0,1
3123 Electrical Engineering Draftspersons and Technicians,45,5,1
2333 Electrical Engineers,65,0,158
2333 Electrical Engineers,65,5,113
2333 Electrical Engineers,65,10,453
2333 Electrical Engineers,75,0,66
2333 Electrical Engineers,75,5,143
2333 Electrical Engineers,75,10,538
2333 Electrical Engineers,70,0,79
2333 Electrical Engineers,70,5,213
2333 Electrical Engineers,70,10,457
2333 Electrical Engineers,80,0,22
2333 Electrical Engineers,80,5,151
2333 Electrical Engineers,80,10,463
2333 Electrical Engineers,95,0,2
2333 Electrical Engineers,95,5,14
2333 Electrical Engineers,95,10,87
2333 Electrical Engineers,90,0,4
2333 Electrical Engineers,90,5,33
2333 Electrical Engineers,90,10,261
2333 Electrical Engineers,85,0,7
2333 Electrical Engineers,85,5,79
2333 Electrical Engineers,85,10,373
2333 Electrical Engineers,55,0,118
2333 Electrical Engineers,55,5,27
2333 Electrical Engineers,55,10,69
2333 Electrical Engineers,60,0,78
2333 Electrical Engineers,60,5,91
2333 Electrical Engineers,60,10,145
2333 Electrical Engineers,50,0,35
2333 Electrical Engineers,50,5,23
2333 Electrical Engineers,50,10,16
2333 Electrical Engineers,100,0,1
2333 Electrical Engineers,100,5,3
2333 Electrical Engineers,100,10,20
2333 Electrical Engineers,105,10,3
2333 Electrical Engineers,40,0,5
2333 Electrical Engineers,40,10,2
2333 Electrical Engineers,45,0,11
2333 Electrical Engineers,45,5,7
2333 Electrical Engineers,45,10,2
2333 Electrical Engineers,120,10,1
2333 Electrical Engineers,35,5,1
2321 Architects and Landscape Architects,65,0,15
2321 Architects and Landscape Architects,65,5,35
2321 Architects and Landscape Architects,65,10,153
2321 Architects and Landscape Architects,75,0,8
2321 Architects and Landscape Architects,75,5,38
2321 Architects and Landscape Architects,75,10,265
2321 Architects and Landscape Architects,70,0,14
2321 Architects and Landscape Architects,70,5,46
2321 Architects and Landscape Architects,70,10,222
2321 Architects and Landscape Architects,80,0,6
2321 Architects and Landscape Architects,80,5,35
2321 Architects and Landscape Architects,80,10,219
2321 Architects and Landscape Architects,95,10,3
2321 Architects and Landscape Architects,90,5,4
2321 Architects and Landscape Architects,90,10,29
2321 Architects and Landscape Architects,85,0,1
2321 Architects and Landscape Architects,85,5,13
2321 Architects and Landscape Architects,85,10,157
2321 Architects and Landscape Architects,55,0,5
2321 Architects and Landscape Architects,55,5,7
2321 Architects and Landscape Architects,55,10,14
2321 Architects and Landscape Architects,60,0,12
2321 Architects and Landscape Architects,60,5,17
2321 Architects and Landscape Architects,60,10,56
2321 Architects and Landscape Architects,50,0,2
2321 Architects and Landscape Architects,50,10,2
2321 Architects and Landscape Architects,45,0,1
2321 Architects and Landscape Architects,45,5,1
2321 Architects and Landscape Architects,45,10,1
2531 General Practitioners and Resident Medical officers,65,0,24
2531 General Practitioners and Resident Medical officers,65,5,29
2531 General Practitioners and Resident Medical officers,65,10,40
2531 General Practitioners and Resident Medical officers,75,0,9
2531 General Practitioners and Resident Medical officers,75,5,60
2531 General Practitioners and Resident Medical officers,75,10,151
2531 General Practitioners and Resident Medical officers,70,0,20
2531 General Practitioners and Resident Medical officers,70,5,55
2531 General Practitioners and Resident Medical officers,70,10,98
2531 General Practitioners and Resident Medical officers,80,0,3
2531 General Practitioners and Resident Medical officers,80,5,39
2531 General Practitioners and Resident Medical officers,80,10,86
2531 General Practitioners and Resident Medical officers,95,10,2
2531 General Practitioners and Resident Medical officers,90,10,18
2531 General Practitioners and Resident Medical officers,85,5,6
2531 General Practitioners and Resident Medical officers,85,10,52
2531 General Practitioners and Resident Medical officers,55,0,4
2531 General Practitioners and Resident Medical officers,55,5,4
2531 General Practitioners and Resident Medical officers,55,10,6
2531 General Practitioners and Resident Medical officers,60,0,6
2531 General Practitioners and Resident Medical officers,60,5,19
2531 General Practitioners and Resident Medical officers,60,10,21
2531 General Practitioners and Resident Medical officers,50,0,3
2531 General Practitioners and Resident Medical officers,50,5,1
2531 General Practitioners and Resident Medical officers,40,5,1
2531 General Practitioners and Resident Medical officers,45,5,1
2531 General Practitioners and Resident Medical officers,125,5,1
2247 Management and Organisation Analysts,65,0,10
2247 Management and Organisation Analysts,65,5,36
2247 Management and Organisation Analysts,65,10,44
2247 Management and Organisation Analysts,75,0,9
2247 Management and Organisation Analysts,75,5,35
2247 Management and Organisation Analysts,75,10,92
2247 Management and Organisation Analysts,70,0,8
2247 Management and Organisation Analysts,70,5,45
2247 Management and Organisation Analysts,70,10,42
2247 Management and Organisation Analysts,80,0,7
2247 Management and Organisation Analysts,80,5,25
2247 Management and Organisation Analysts,80,10,68
2247 Management and Organisation Analysts,95,10,10
2247 Management and Organisation Analysts,90,5,1
2247 Management and Organisation Analysts,90,10,35
2247 Management and Organisation Analysts,85,5,12
2247 Management and Organisation Analysts,85,10,52
2247 Management and Organisation Analysts,55,0,5
2247 Management and Organisation Analysts,55,5,4
2247 Management and Organisation Analysts,55,10,4
2247 Management and Organisation Analysts,60,0,5
2247 Management and Organisation Analysts,60,5,7
2247 Management and Organisation Analysts,60,10,13
2247 Management and Organisation Analysts,50,5,2
2247 Management and Organisation Analysts,50,10,1
2247 Management and Organisation Analysts,105,10,1
2247 Management and Organisation Analysts,45,0,2
2247 Management and Organisation Analysts,45,10,1
2347 Veterinarians,65,0,5
2347 Veterinarians,65,5,4
2347 Veterinarians,65,10,13
2347 Veterinarians,75,0,1
2347 Veterinarians,75,5,9
2347 Veterinarians,75,10,45
2347 Veterinarians,70,0,1
2347 Veterinarians,70,5,5
2347 Veterinarians,70,10,24
2347 Veterinarians,80,5,3
2347 Veterinarians,80,10,27
2347 Veterinarians,95,10,1
2347 Veterinarians,90,10,13
2347 Veterinarians,85,5,3
2347 Veterinarians,85,10,29
2347 Veterinarians,55,5,5
2347 Veterinarians,55,10,2
2347 Veterinarians,60,5,2
2347 Veterinarians,60,10,6
2414 Secondary School Teachers,65,0,235
2414 Secondary School Teachers,65,5,129
2414 Secondary School Teachers,65,10,253
2414 Secondary School Teachers,75,0,59
2414 Secondary School Teachers,75,5,144
2414 Secondary School Teachers,75,10,457
2414 Secondary School Teachers,70,0,77
2414 Secondary School Teachers,70,5,230
2414 Secondary School Teachers,70,10,360
2414 Secondary School Teachers,80,0,26
2414 Secondary School Teachers,80,5,65
2414 Secondary School Teachers,80,10,167
2414 Secondary School Teachers,95,10,3
2414 Secondary School Teachers,90,5,3
2414 Secondary School Teachers,90,10,20
2414 Secondary School Teachers,85,5,8
2414 Secondary School Teachers,85,10,62
2414 Secondary School Teachers,55,0,44
2414 Secondary School Teachers,55,5,29
2414 Secondary School Teachers,55,10,18
2414 Secondary School Teachers,60,0,66
2414 Secondary School Teachers,60,5,69
2414 Secondary School Teachers,60,10,83
2414 Secondary School Teachers,50,0,20
2414 Secondary School Teachers,50,5,5
2414 Secondary School Teachers,50,10,8
2414 Secondary School Teachers,100,10,1
2414 Secondary School Teachers,40,0,2
2414 Secondary School Teachers,40,10,1
2414 Secondary School Teachers,45,0,7
2414 Secondary School Teachers,45,5,2
1341 Child Care Centre Managers,65,0,3
1341 Child Care Centre Managers,65,5,1
1341 Child Care Centre Managers,65,10,7
1341 Child Care Centre Managers,75,5,3
1341 Child Care Centre Managers,75,10,3
1341 Child Care Centre Managers,70,0,1
1341 Child Care Centre Managers,70,5,2
1341 Child Care Centre Managers,70,10,6
1341 Child Care Centre Managers,95,10,1
1341 Child Care Centre Managers,85,10,1
1341 Child Care Centre Managers,55,0,2
1341 Child Care Centre Managers,60,0,3
1341 Child Care Centre Managers,60,5,1
1341 Child Care Centre Managers,60,10,3
1341 Child Care Centre Managers,50,0,2
1341 Child Care Centre Managers,50,5,6
"2241 Actuaries, Mathematicians and Statisticians",65,0,16
"2241 Actuaries, Mathematicians and Statisticians",65,5,19
"2241 Actuaries, Mathematicians and Statisticians",65,10,48
"2241 Actuaries, Mathematicians and Statisticians",75,0,11
"2241 Actuaries, Mathematicians and Statisticians",75,5,27
"2241 Actuaries, Mathematicians and Statisticians",75,10,124
"2241 Actuaries, Mathematicians and Statisticians",70,0,13
"2241 Actuaries, Mathematicians and Statisticians",70,5,36
"2241 Actuaries, Mathematicians and Statisticians",70,10,54
"2241 Actuaries, Mathematicians and Statisticians",80,0,4
"2241 Actuaries, Mathematicians and Statisticians",80,5,27
"2241 Actuaries, Mathematicians and Statisticians",80,10,136
"2241 Actuaries, Mathematicians and Statisticians",95,5,1
"2241 Actuaries, Mathematicians and Statisticians",95,10,30
"2241 Actuaries, Mathematicians and Statisticians",90,5,10
"2241 Actuaries, Mathematicians and Statisticians",90,10,105
"2241 Actuaries, Mathematicians and Statisticians",85,0,2
"2241 Actuaries, Mathematicians and Statisticians",85,5,33
"2241 Actuaries, Mathematicians and Statisticians",85,10,135
"2241 Actuaries, Mathematicians and Statisticians",55,0,5
"2241 Actuaries, Mathematicians and Statisticians",55,5,2
"2241 Actuaries, Mathematicians and Statisticians",55,10,4
"2241 Actuaries, Mathematicians and Statisticians",60,0,4
"2241 Actuaries, Mathematicians and Statisticians",60,5,11
"2241 Actuaries, Mathematicians and Statisticians",60,10,19
"2241 Actuaries, Mathematicians and Statisticians",50,5,1
"2241 Actuaries, Mathematicians and Statisticians",100,10,5
"2241 Actuaries, Mathematicians and Statisticians",105,10,3
"2241 Actuaries, Mathematicians and Statisticians",45,0,2
"2241 Actuaries, Mathematicians and Statisticians",45,10,1
3331 Glaziers,65,10,5
3331 Glaziers,75,5,6
3331 Glaziers,75,10,2
3331 Glaziers,70,5,1
3331 Glaziers,80,5,1
3331 Glaziers,55,5,1
3331 Glaziers,60,10,1
2421 University Lecturers and Tutors,65,0,106
2421 University Lecturers and Tutors,65,5,184
2421 University Lecturers and Tutors,65,10,141
2421 University Lecturers and Tutors,75,0,61
2421 University Lecturers and Tutors,75,5,175
2421 University Lecturers and Tutors,75,10,146
2421 University Lecturers and Tutors,70,0,119
2421 University Lecturers and Tutors,70,5,124
2421 University Lecturers and Tutors,70,10,193
2421 University Lecturers and Tutors,80,0,32
2421 University Lecturers and Tutors,80,5,95
2421 University Lecturers and Tutors,80,10,160
2421 University Lecturers and Tutors,95,0,5
2421 University Lecturers and Tutors,95,5,20
2421 University Lecturers and Tutors,95,10,75
2421 University Lecturers and Tutors,90,0,10
2421 University Lecturers and Tutors,90,5,53
2421 University Lecturers and Tutors,90,10,149
2421 University Lecturers and Tutors,85,0,23
2421 University Lecturers and Tutors,85,5,83
2421 University Lecturers and Tutors,85,10,147
2421 University Lecturers and Tutors,55,0,45
2421 University Lecturers and Tutors,55,5,17
2421 University Lecturers and Tutors,55,10,12
2421 University Lecturers and Tutors,60,0,83
2421 University Lecturers and Tutors,60,5,27
2421 University Lecturers and Tutors,60,10,66
2421 University Lecturers and Tutors,50,0,28
2421 University Lecturers and Tutors,50,5,7
2421 University Lecturers and Tutors,50,10,2
2421 University Lecturers and Tutors,110,10,1
2421 University Lecturers and Tutors,100,5,8
2421 University Lecturers and Tutors,100,10,43
2421 University Lecturers and Tutors,105,5,1
2421 University Lecturers and Tutors,105,10,11
2421 University Lecturers and Tutors,40,0,2
2421 University Lecturers and Tutors,45,0,6
2633 Telecommunications Engineering Professionals,65,0,70
2633 Telecommunications Engineering Professionals,65,5,52
2633 Telecommunications Engineering Professionals,65,10,96
2633 Telecommunications Engineering Professionals,75,0,20
2633 Telecommunications Engineering Professionals,75,5,42
2633 Telecommunications Engineering Professionals,75,10,229
2633 Telecommunications Engineering Professionals,70,0,17
2633 Telecommunications Engineering Professionals,70,5,82
2633 Telecommunications Engineering Professionals,70,10,105
2633 Telecommunications Engineering Professionals,80,0,3
2633 Telecommunications Engineering Professionals,80,5,58
2633 Telecommunications Engineering Professionals,80,10,155
2633 Telecommunications Engineering Professionals,95,5,5
2633 Telecommunications Engineering Professionals,95,10,24
2633 Telecommunications Engineering Professionals,90,0,1
2633 Telecommunications Engineering Professionals,90,5,17
2633 Telecommunications Engineering Professionals,90,10,91
2633 Telecommunications Engineering Professionals,85,0,4
2633 Telecommunications Engineering Professionals,85,5,37
2633 Telecommunications Engineering Professionals,85,10,140
2633 Telecommunications Engineering Professionals,55,0,40
2633 Telecommunications Engineering Professionals,55,5,9
2633 Telecommunications Engineering Professionals,55,10,21
2633 Telecommunications Engineering Professionals,60,0,21
2633 Telecommunications Engineering Professionals,60,5,42
2633 Telecommunications Engineering Professionals,60,10,55
2633 Telecommunications Engineering Professionals,50,0,7
2633 Telecommunications Engineering Professionals,50,5,12
2633 Telecommunications Engineering Professionals,50,10,5
2633 Telecommunications Engineering Professionals,100,10,5
2633 Telecommunications Engineering Professionals,40,0,5
2633 Telecommunications Engineering Professionals,45,0,6
2633 Telecommunications Engineering Professionals,45,5,1
2633 Telecommunications Engineering Professionals,45,10,1
2633 Telecommunications Engineering Professionals,35,0,1
1332 Engineering Managers,65,0,26
1332 Engineering Managers,65,5,12
1332 Engineering Managers,65,10,37
1332 Engineering Managers,75,0,3
1332 Engineering Managers,75,5,13
1332 Engineering Managers,75,10,40
1332 Engineering Managers,70,0,4
1332 Engineering Managers,70,5,43
1332 Engineering Managers,70,10,22
1332 Engineering Managers,80,0,1
1332 Engineering Managers,80,5,13
1332 Engineering Managers,80,10,7
1332 Engineering Managers,90,10,1
1332 Engineering Managers,85,5,3
1332 Engineering Managers,85,10,3
1332 Engineering Managers,55,0,16
1332 Engineering Managers,55,5,4
1332 Engineering Managers,55,10,10
1332 Engineering Managers,60,0,2
1332 Engineering Managers,60,5,18
1332 Engineering Managers,60,10,6
1332 Engineering Managers,50,0,2
1332 Engineering Managers,40,0,1
1332 Engineering Managers,40,5,1
1332 Engineering Managers,45,0,4
3122 Civil Engineering Draftspersons and Technicians,65,0,296
3122 Civil Engineering Draftspersons and Technicians,65,5,290
3122 Civil Engineering Draftspersons and Technicians,65,10,1003
3122 Civil Engineering Draftspersons and Technicians,75,0,93
3122 Civil Engineering Draftspersons and Technicians,75,5,303
3122 Civil Engineering Draftspersons and Technicians,75,10,1016
3122 Civil Engineering Draftspersons and Technicians,70,0,157
3122 Civil Engineering Draftspersons and Technicians,70,5,471
3122 Civil Engineering Draftspersons and Technicians,70,10,1103
3122 Civil Engineering Draftspersons and Technicians,80,0,30
3122 Civil Engineering Draftspersons and Technicians,80,5,203
3122 Civil Engineering Draftspersons and Technicians,80,10,661
3122 Civil Engineering Draftspersons and Technicians,95,0,1
3122 Civil Engineering Draftspersons and Technicians,95,5,1
3122 Civil Engineering Draftspersons and Technicians,95,10,24
3122 Civil Engineering Draftspersons and Technicians,90,5,6
3122 Civil Engineering Draftspersons and Technicians,90,10,164
3122 Civil Engineering Draftspersons and Technicians,85,0,3
3122 Civil Engineering Draftspersons and Technicians,85,5,98
3122 Civil Engineering Draftspersons and Technicians,85,10,534
3122 Civil Engineering Draftspersons and Technicians,55,0,110
3122 Civil Engineering Draftspersons and Technicians,55,5,77
3122 Civil Engineering Draftspersons and Technicians,55,10,205
3122 Civil Engineering Draftspersons and Technicians,60,0,139
3122 Civil Engineering Draftspersons and Technicians,60,5,208
3122 Civil Engineering Draftspersons and Technicians,60,10,364
3122 Civil Engineering Draftspersons and Technicians,50,0,71
3122 Civil Engineering Draftspersons and Technicians,50,5,30
3122 Civil Engineering Draftspersons and Technicians,50,10,69
3122 Civil Engineering Draftspersons and Technicians,100,10,2
3122 Civil Engineering Draftspersons and Technicians,105,10,1
3122 Civil Engineering Draftspersons and Technicians,40,0,26
3122 Civil Engineering Draftspersons and Technicians,40,5,1
3122 Civil Engineering Draftspersons and Technicians,40,10,1
3122 Civil Engineering Draftspersons and Technicians,45,0,26
3122 Civil Engineering Draftspersons and Technicians,45,5,12
3122 Civil Engineering Draftspersons and Technicians,45,10,6
3122 Civil Engineering Draftspersons and Technicians,25,0,1
3122 Civil Engineering Draftspersons and Technicians,35,0,3
3122 Civil Engineering Draftspersons and Technicians,35,5,2
1399 Other Specialist Managers,65,0,10
1399 Other Specialist Managers,65,5,7
1399 Other Specialist Managers,65,10,18
1399 Other Specialist Managers,75,0,2
1399 Other Specialist Managers,75,5,10
1399 Other Specialist Managers,75,10,36
1399 Other Specialist Managers,70,0,7
1399 Other Specialist Managers,70,5,14
1399 Other Specialist Managers,70,10,21
1399 Other Specialist Managers,80,0,1
1399 Other Specialist Managers,80,5,6
1399 Other Specialist Managers,80,10,10
1399 Other Specialist Managers,90,5,1
1399 Other Specialist Managers,90,10,2
1399 Other Specialist Managers,85,5,2
1399 Other Specialist Managers,85,10,8
1399 Other Specialist Managers,55,0,14
1399 Other Specialist Managers,55,10,5
1399 Other Specialist Managers,60,0,4
1399 Other Specialist Managers,60,5,8
1399 Other Specialist Managers,60,10,13
1399 Other Specialist Managers,50,0,4
1399 Other Specialist Managers,40,0,1
1399 Other Specialist Managers,45,0,1
2322 Cartographers and Surveyors,65,0,27
2322 Cartographers and Surveyors,65,5,9
2322 Cartographers and Surveyors,65,10,41
2322 Cartographers and Surveyors,75,0,4
2322 Cartographers and Surveyors,75,5,14
2322 Cartographers and Surveyors,75,10,33
2322 Cartographers and Surveyors,70,0,12
2322 Cartographers and Surveyors,70,5,22
2322 Cartographers and Surveyors,70,10,35
2322 Cartographers and Surveyors,80,0,2
2322 Cartographers and Surveyors,80,5,5
2322 Cartographers and Surveyors,80,10,16
2322 Cartographers and Surveyors,90,5,1
2322 Cartographers and Surveyors,90,10,4
2322 Cartographers and Surveyors,85,0,1
2322 Cartographers and Surveyors,85,5,4
2322 Cartographers and Surveyors,85,10,20
2322 Cartographers and Surveyors,55,0,10
2322 Cartographers and Surveyors,55,5,7
2322 Cartographers and Surveyors,55,10,3
2322 Cartographers and Surveyors,60,0,8
2322 Cartographers and Surveyors,60,5,22
2322 Cartographers and Surveyors,60,10,14
2322 Cartographers and Surveyors,50,0,1
2322 Cartographers and Surveyors,50,5,2
2322 Cartographers and Surveyors,50,10,1
2322 Cartographers and Surveyors,40,0,1
3233 Precision Metal Trades Workers,65,0,1
3233 Precision Metal Trades Workers,65,10,2
3233 Precision Metal Trades Workers,75,10,2
3233 Precision Metal Trades Workers,70,10,3
3233 Precision Metal Trades Workers,55,0,1
3233 Precision Metal Trades Workers,55,10,1
3233 Precision Metal Trades Workers,60,10,1
3233 Precision Metal Trades Workers,45,0,1
2245 Land Economists and Valuers,65,0,2
2245 Land Economists and Valuers,65,5,1
2245 Land Economists and Valuers,65,10,17
2245 Land Economists and Valuers,75,0,1
2245 Land Economists and Valuers,75,5,3
2245 Land Economists and Valuers,75,10,31
2245 Land Economists and Valuers,70,0,4
2245 Land Economists and Valuers,70,5,3
2245 Land Economists and Valuers,70,10,8
2245 Land Economists and Valuers,80,0,1
2245 Land Economists and Valuers,80,5,3
2245 Land Economists and Valuers,80,10,12
2245 Land Economists and Valuers,90,10,1
2245 Land Economists and Valuers,85,0,1
2245 Land Economists and Valuers,85,5,1
2245 Land Economists and Valuers,85,10,3
2245 Land Economists and Valuers,55,5,2
2245 Land Economists and Valuers,60,5,1
2245 Land Economists and Valuers,60,10,3
2245 Land Economists and Valuers,50,10,1
2245 Land Economists and Valuers,40,0,1
2245 Land Economists and Valuers,45,0,1
2245 Land Economists and Valuers,30,10,1
2336 Mining Engineers,65,0,31
2336 Mining Engineers,65,5,38
2336 Mining Engineers,65,10,124
2336 Mining Engineers,75,0,9
2336 Mining Engineers,75,5,37
2336 Mining Engineers,75,10,105
2336 Mining Engineers,70,0,10
2336 Mining Engineers,70,5,55
2336 Mining Engineers,70,10,93
2336 Mining Engineers,80,0,5
2336 Mining Engineers,80,5,28
2336 Mining Engineers,80,10,63
2336 Mining Engineers,95,10,4
2336 Mining Engineers,90,0,1
2336 Mining Engineers,90,10,13
2336 Mining Engineers,85,5,5
2336 Mining Engineers,85,10,34
2336 Mining Engineers,55,0,17
2336 Mining Engineers,55,5,7
2336 Mining Engineers,55,10,10
2336 Mining Engineers,60,0,14
2336 Mining Engineers,60,5,19
2336 Mining Engineers,60,10,21
2336 Mining Engineers,50,0,10
2336 Mining Engineers,50,5,3
2336 Mining Engineers,50,10,6
2336 Mining Engineers,40,0,1
2336 Mining Engineers,45,0,5
2336 Mining Engineers,45,10,1
2612 Multimedia Specialists and Web Developers,65,0,13
2612 Multimedia Specialists and Web Developers,65,5,10
2612 Multimedia Specialists and Web Developers,65,10,22
2612 Multimedia Specialists and Web Developers,75,0,2
2612 Multimedia Specialists and Web Developers,75,5,12
2612 Multimedia Specialists and Web Developers,75,10,46
2612 Multimedia Specialists and Web Developers,70,0,7
2612 Multimedia Specialists and Web Developers,70,5,14
